Date,Open,High,Low,Close,Adj Close,Volume
2018-11-19,0.19,0.19,0.16,0.16,0.16,1826600
2018-11-20,0.16,0.16,0.16,0.16,0.16,1228800
2018-11-21,0.15,0.16,0.15,0.16,0.16,1560000
2018-11-22,0.16,0.17,0.16,0.17,0.17,3574400
2018-11-23,0.17,0.17,0.16,0.17,0.17,2342600
2018-11-26,0.16,0.16,0.16,0.16,0.16,921600
2018-11-27,0.17,0.17,0.16,0.16,0.16,3767800
2018-11-28,0.16,0.16,0.16,0.16,0.16,1958600
2018-11-29,0.15,0.15,0.15,0.15,0.15,1385300
2018-11-30,0.14,0.16,0.14,0.15,0.15,2526000
2018-12-03,0.16,0.16,0.15,0.16,0.16,6305400
2018-12-04,0.16,0.16,0.15,0.15,0.15,1518800
2018-12-07,0.15,0.15,0.15,0.15,0.15,200000
2018-12-11,0.15,0.15,0.15,0.15,0.15,1024000
2018-12-12,0.15,0.15,0.15,0.15,0.15,204800
2018-12-14,0.14,0.14,0.14,0.14,0.14,1424000
2018-12-17,0.14,0.14,0.13,0.13,0.13,204800
2018-12-18,0.13,0.14,0.13,0.14,0.14,520000
2018-12-19,0.14,0.15,0.14,0.14,0.14,1626400
2018-12-20,0.14,0.14,0.14,0.14,0.14,3067200
2018-12-21,0.14,0.14,0.13,0.13,0.13,614400
2018-12-24,0.13,0.13,0.13,0.13,0.13,409600
2018-12-25,0.11,0.11,0.09,0.09,0.09,5013200
2018-12-26,0.09,0.09,0.09,0.09,0.09,1126400
2018-12-27,0.1,0.1,0.1,0.1,0.1,604800
2018-12-28,0.08,0.08,0.08,0.08,0.08,716900
2019-01-02,0.08,0.08,0.06,0.06,0.06,2136000
2019-01-03,0.06,0.06,0.06,0.06,0.06,600000
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
