Date,Open,High,Low,Close,Adj Close,Volume
2017-01-20,2.88,2.88,2.88,2.88,2.88,2000
2017-01-23,2.92,2.92,2.92,2.92,2.92,2000
2017-01-24,3,3,3,3,3,300
2017-01-25,2.94,2.94,2.94,2.94,2.94,1200
2017-01-31,2.9,2.9,2.9,2.9,2.9,100
2017-02-01,2.9,2.9,2.9,2.9,2.9,100
2017-02-02,2.86,2.86,2.86,2.86,2.86,100
2017-02-06,2.9,2.9,2.9,2.9,2.9,100
2017-02-07,2.91,2.91,2.91,2.91,2.91,200
2017-02-08,2.84,2.84,2.84,2.84,2.84,100
2017-02-16,2.76,2.76,2.76,2.76,2.76,100
2017-02-20,2.68,2.68,2.68,2.68,2.68,200
2017-02-21,2.66,2.66,2.66,2.66,2.66,100
2017-02-22,2.65,2.65,2.65,2.65,2.65,100
2017-02-23,2.67,2.67,2.67,2.67,2.67,100
2017-02-24,2.66,2.66,2.66,2.66,2.66,200
2017-03-06,2.54,2.54,2.54,2.54,2.54,300
2017-03-07,2.56,2.56,2.56,2.56,2.56,100
2017-03-08,2.46,2.46,2.46,2.46,2.46,100
2017-03-09,2.48,2.48,2.48,2.48,2.48,200
2017-03-10,2.46,2.46,2.46,2.46,2.46,500
2017-03-15,2.52,2.52,2.52,2.52,2.52,1300
2017-03-17,2.49,2.49,2.49,2.49,2.49,530
2017-03-20,2.51,2.51,2.51,2.51,2.51,6730
2017-03-21,2.53,2.53,2.53,2.53,2.53,3400
2017-03-22,2.6,2.6,2.6,2.6,2.6,1000
2017-03-23,2.57,2.57,2.57,2.57,2.57,200
2017-03-24,2.58,2.58,2.58,2.58,2.58,528
2017-03-27,2.54,2.54,2.54,2.54,2.54,200
2017-03-28,2.55,2.55,2.55,2.55,2.55,500
2017-03-29,2.54,2.54,2.54,2.54,2.54,1800
2017-03-30,2.5,2.5,2.5,2.5,2.5,1155
2017-03-31,2.56,2.56,2.52,2.52,2.52,803
2017-04-03,2.56,2.56,2.54,2.54,2.54,3209
2017-04-04,2.51,2.51,2.51,2.51,2.51,800
2017-04-05,2.52,2.52,2.52,2.52,2.52,304
2017-04-07,2.52,2.52,2.52,2.52,2.52,705
2017-04-10,2.48,2.48,2.48,2.48,2.48,3792
2017-04-11,2.46,2.46,2.44,2.44,2.44,5853
2017-04-12,2.44,2.44,2.44,2.44,2.44,2120
2017-04-17,2.43,2.72,2.42,2.42,2.42,2018
2017-04-18,2.38,2.39,2.37,2.38,2.38,507
2017-04-19,2.41,2.41,2.41,2.41,2.41,1603
2017-04-20,2.42,2.42,2.42,2.42,2.42,200
2017-04-21,2.44,2.44,2.44,2.44,2.44,809
2017-04-24,2.4,2.4,2.4,2.4,2.4,706
2017-04-25,2.37,2.37,2.37,2.37,2.37,800
2017-04-26,2.38,2.38,2.38,2.38,2.38,1100
2017-04-27,2.38,2.38,2.38,2.38,2.38,400
2017-04-28,2.38,2.38,2.38,2.38,2.38,6201
2017-05-02,2.39,2.39,2.39,2.39,2.39,300
2017-05-03,2.42,2.42,2.42,2.42,2.42,500
2017-05-04,2.48,2.48,2.48,2.48,2.48,3521
2017-05-05,2.52,2.52,2.52,2.52,2.52,2100
2017-05-08,2.46,2.46,2.46,2.46,2.46,2600
2017-05-09,2.38,2.38,2.38,2.38,2.38,2600
2017-05-11,2.36,2.36,2.36,2.36,2.36,1300
2017-05-12,2.35,2.35,2.35,2.35,2.35,2000
2017-05-13,2.35,2.35,2.35,2.35,2.35,2000
2017-05-15,2.39,2.39,2.34,2.35,2.35,6615
2017-05-17,2.32,2.34,2.32,2.34,2.34,1965
2017-05-18,2.26,2.3,2.26,2.3,2.3,302
2017-05-19,2.22,2.27,2.22,2.27,2.27,1004
2017-05-22,2.28,2.28,2.28,2.28,2.28,5
2017-05-23,2.28,2.28,2.28,2.28,2.28,201
2017-05-25,2.34,2.34,2.34,2.34,2.34,2001
2017-05-26,2.4,2.4,2.4,2.4,2.4,8002
2017-05-29,2.37,2.37,2.37,2.37,2.37,200
2017-05-30,2.35,2.35,2.35,2.35,2.35,700
2017-05-31,2.35,2.35,2.34,2.34,2.34,502
2017-06-01,2.34,2.34,2.34,2.34,2.34,2302
2017-06-02,2.39,2.39,2.39,2.39,2.39,1900
2017-06-05,2.43,2.44,2.43,2.44,2.44,212
2017-06-06,2.46,2.46,2.43,2.43,2.43,920
2017-06-07,2.46,2.49,2.44,2.44,2.44,1717
2017-06-08,2.44,2.44,2.42,2.42,2.42,428
2017-06-09,2.41,2.41,2.38,2.38,2.38,15
2017-06-12,2.46,2.46,2.46,2.46,2.46,3
2017-06-13,2.4,2.4,2.4,2.4,2.4,300
2017-06-14,2.38,2.38,2.38,2.38,2.38,100
2017-06-15,2.4,2.4,2.4,2.4,2.4,600
2017-06-16,2.36,2.36,2.36,2.36,2.36,506
2017-06-19,2.34,2.34,2.34,2.34,2.34,400
2017-06-22,2.39,2.39,2.39,2.39,2.39,100
2017-06-23,2.38,2.38,2.38,2.38,2.38,500
2017-06-26,2.44,2.44,2.44,2.44,2.44,6
2017-06-27,2.42,2.42,2.42,2.42,2.42,200
2017-06-28,2.41,2.41,2.41,2.41,2.41,4350
2017-06-29,2.44,2.46,2.44,2.46,2.46,6351
