Date,Open,High,Low,Close,Adj Close,Volume
2016-08-16,0.3,0.3,0.3,0.3,0.3,3905600
2016-08-17,0.3,0.3,0.29,0.29,0.29,5507600
2016-08-18,0.3,0.3,0.3,0.3,0.3,5418800
2016-08-19,0.3,0.3,0.29,0.29,0.29,1911200
2016-08-22,0.29,0.29,0.29,0.29,0.29,602000
2016-08-23,0.29,0.3,0.29,0.29,0.29,3150000
2016-08-24,0.3,0.31,0.3,0.3,0.3,16466800
2016-08-25,0.3,0.3,0.29,0.29,0.29,3535600
2016-08-26,0.29,0.29,0.28,0.28,0.28,7181000
2016-08-29,0.28,0.28,0.24,0.24,0.24,14772600
2016-08-30,0.26,0.26,0.25,0.25,0.25,6176000
2016-08-31,0.24,0.25,0.24,0.25,0.25,13257200
2016-09-01,0.25,0.25,0.25,0.25,0.25,2000000
2016-09-02,0.22,0.22,0.22,0.22,0.22,2118000
2016-09-05,0.2,0.2,0.18,0.19,0.19,13493400
2016-09-06,0.19,0.21,0.19,0.21,0.21,10851800
2016-09-07,0.22,0.23,0.18,0.18,0.18,9049400
2016-09-08,0.17,0.18,0.16,0.16,0.16,11174200
2016-09-09,0.15,0.16,0.15,0.16,0.16,10207800
2016-09-12,0.15,0.15,0.13,0.13,0.13,2000000
2016-09-13,0.16,0.16,0.16,0.16,0.16,1000000
2016-09-14,0.16,0.18,0.16,0.18,0.18,6978600
2016-09-15,0.18,0.18,0.18,0.18,0.18,6332200
2016-09-16,0.18,0.18,0.18,0.18,0.18,100000
2016-09-19,0.18,0.19,0.18,0.18,0.18,11674900
2016-09-20,0.17,0.18,0.17,0.17,0.17,9886200
2016-09-21,0.18,0.19,0.18,0.18,0.18,265100
2016-09-22,0.18,0.19,0.18,0.19,0.19,7408800
2016-09-23,0.19,0.19,0.16,0.16,0.16,17347000
2016-09-26,0.16,0.16,0.16,0.16,0.16,9911200
2016-09-27,0.17,0.17,0.17,0.17,0.17,2682000
2016-09-28,0.17,0.17,0.17,0.17,0.17,100
2016-09-29,0.16,0.16,0.16,0.16,0.16,6194300
2016-09-30,0.15,0.16,0.15,0.16,0.16,4065700
2016-10-03,0.16,0.17,0.15,0.15,0.15,4060900
2016-10-04,0.17,0.17,0.17,0.17,0.17,4064000
2016-10-05,0.18,0.18,0.18,0.18,0.18,4352400
2016-10-06,0.19,0.19,0.19,0.19,0.19,8882000
2016-10-07,0.19,0.19,0.18,0.18,0.18,450000
2016-10-10,0.15,0.15,0.14,0.14,0.14,8092200
2016-10-11,0.14,0.14,0.11,0.11,0.11,10888500
2016-10-12,0.11,0.11,0.08,0.1,0.1,27778300
2016-10-13,0.1,0.11,0.1,0.11,0.11,4140000
2016-10-14,0.14,0.15,0.13,0.14,0.14,4614700
2016-10-17,0.14,0.15,0.13,0.14,0.14,15625500
2016-10-18,0.16,0.16,0.14,0.15,0.15,6374900
2016-10-19,0.15,0.16,0.15,0.16,0.16,5061700
2016-10-20,0.16,0.16,0.15,0.16,0.16,8501900
2016-10-25,0.15,0.16,0.15,0.16,0.16,6833800
2016-10-26,0.15,0.15,0.15,0.15,0.15,4187400
2016-10-27,0.14,0.14,0.14,0.14,0.14,20000
2016-10-28,0.14,0.14,0.14,0.14,0.14,406600
2016-10-31,0.13,0.14,0.13,0.14,0.14,11283400
2016-11-01,0.14,0.17,0.14,0.17,0.17,6353500
2016-11-02,0.17,0.17,0.16,0.16,0.16,3222200
2016-11-03,0.17,0.17,0.16,0.16,0.16,12301800
2016-11-04,0.16,0.16,0.15,0.15,0.15,2827800
2016-11-07,0.17,0.17,0.17,0.17,0.17,50000
2016-11-08,0.16,0.17,0.16,0.16,0.16,103200
2016-11-09,0.14,0.16,0.14,0.16,0.16,9751400
2016-11-10,0.18,0.18,0.17,0.17,0.17,2035300
2016-11-11,0.15,0.17,0.15,0.16,0.16,4705700
2016-11-14,0.15,0.15,0.14,0.14,0.14,2892600
2016-11-15,0.14,0.14,0.13,0.14,0.14,6135500
2016-11-16,0.15,0.15,0.15,0.15,0.15,100
2016-11-17,0.15,0.15,0.12,0.14,0.14,9536100
2016-11-18,0.13,0.13,0.13,0.13,0.13,1002000
2016-11-21,0.13,0.13,0.12,0.12,0.12,321000
2016-11-22,0.12,0.13,0.12,0.13,0.13,5824200
2016-11-23,0.13,0.13,0.13,0.13,0.13,2932000
2016-11-24,0.13,0.13,0.12,0.12,0.12,7495000
2016-11-25,0.14,0.14,0.13,0.13,0.13,2000000
2016-11-30,0.13,0.14,0.13,0.14,0.14,11093100
2016-12-01,0.13,0.13,0.13,0.13,0.13,200000
2016-12-02,0.12,0.12,0.11,0.11,0.11,4593900
2016-12-06,0.12,0.12,0.11,0.11,0.11,80100
2016-12-07,0.11,0.11,0.11,0.11,0.11,139000
2016-12-08,0.12,0.14,0.12,0.13,0.13,8279900
2016-12-09,0.14,0.15,0.12,0.13,0.13,22548100
2016-12-13,0.13,0.13,0.12,0.12,0.12,2828000
2016-12-14,0.12,0.12,0.1,0.1,0.1,6408200
2016-12-15,0.1,0.1,0.1,0.1,0.1,6227800
2016-12-16,0.11,0.11,0.1,0.1,0.1,4655800
2016-12-19,0.09,0.1,0.09,0.1,0.1,928300
2016-12-26,0.06,0.06,0.06,0.06,0.06,100
2016-12-27,0.07,0.07,0.07,0.07,0.07,400000
2017-01-12,0.04,0.04,0.04,0.04,0.04,62000
2017-01-16,0.03,0.03,0.03,0.03,0.03,500000
2017-01-18,0.02,0.02,0.02,0.02,0.02,600000
2017-01-20,0.01,0.01,0.01,0.01,0.01,100000
