Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,0.59,0.59,0.5,0.51,0.51,6048800
2016-12-02,0.52,0.53,0.46,0.46,0.46,7768600
2016-12-06,0.47,0.5,0.47,0.48,0.48,9624600
2016-12-07,0.49,0.5,0.48,0.49,0.49,7335000
2016-12-08,0.49,0.57,0.49,0.57,0.57,9186400
2016-12-09,0.55,0.55,0.51,0.52,0.52,3807600
2016-12-13,0.52,0.56,0.51,0.56,0.56,13885900
2016-12-14,0.55,0.55,0.53,0.54,0.54,3361500
2016-12-15,0.52,0.54,0.51,0.54,0.54,4043300
2016-12-16,0.55,0.59,0.53,0.54,0.54,16224500
2016-12-19,0.53,0.53,0.52,0.53,0.53,2732700
2016-12-20,0.53,0.53,0.48,0.49,0.49,5495100
2016-12-21,0.49,0.5,0.49,0.49,0.49,3576800
2016-12-22,0.49,0.5,0.47,0.47,0.47,3840300
2016-12-23,0.47,0.49,0.47,0.49,0.49,4889900
2016-12-26,0.48,0.49,0.48,0.48,0.48,1623000
2016-12-27,0.48,0.49,0.47,0.47,0.47,1067000
2016-12-28,0.47,0.5,0.47,0.48,0.48,7817800
2016-12-29,0.48,0.48,0.44,0.44,0.44,8277800
2016-12-30,0.45,0.46,0.45,0.46,0.46,7076800
2017-01-04,0.46,0.49,0.46,0.48,0.48,6235900
2017-01-05,0.48,0.48,0.45,0.45,0.45,2781000
2017-01-06,0.46,0.46,0.45,0.45,0.45,2993600
2017-01-09,0.44,0.44,0.41,0.41,0.41,2047700
2017-01-10,0.43,0.44,0.42,0.44,0.44,4704000
2017-01-11,0.42,0.47,0.42,0.47,0.47,5400500
2017-01-12,0.45,0.45,0.45,0.45,0.45,2736400
2017-01-13,0.44,0.45,0.44,0.44,0.44,1143200
2017-01-16,0.46,0.51,0.46,0.47,0.47,21101000
2017-01-17,0.46,0.46,0.43,0.43,0.43,2431600
2017-01-18,0.44,0.45,0.43,0.43,0.43,2705200
2017-01-19,0.42,0.42,0.4,0.41,0.41,1499100
2017-01-20,0.42,0.43,0.42,0.42,0.42,4548800
2017-01-23,0.43,0.44,0.42,0.42,0.42,1772700
2017-01-24,0.42,0.43,0.41,0.41,0.41,1526200
2017-01-25,0.41,0.41,0.38,0.38,0.38,4690900
2017-01-26,0.39,0.39,0.37,0.37,0.37,6186700
2017-01-27,0.37,0.38,0.36,0.36,0.36,1485100
2017-01-30,0.36,0.36,0.32,0.33,0.33,5331900
2017-01-31,0.32,0.34,0.31,0.32,0.32,2861600
2017-02-01,0.32,0.33,0.29,0.29,0.29,4088000
2017-02-02,0.3,0.31,0.26,0.26,0.26,7668500
2017-02-03,0.28,0.28,0.26,0.26,0.26,19629400
2017-02-06,0.25,0.27,0.23,0.23,0.23,11417100
2017-02-07,0.24,0.24,0.23,0.24,0.24,3821500
2017-02-08,0.24,0.24,0.23,0.23,0.23,5979100
2017-02-09,0.23,0.24,0.23,0.24,0.24,3654400
2017-02-10,0.24,0.28,0.24,0.28,0.28,19069800
2017-02-14,0.28,0.28,0.24,0.24,0.24,3537800
2017-02-15,0.24,0.26,0.23,0.26,0.26,10829300
2017-02-16,0.26,0.26,0.24,0.24,0.24,972600
2017-02-17,0.25,0.26,0.25,0.25,0.25,3860200
2017-02-20,0.24,0.24,0.24,0.24,0.24,2654400
2017-02-21,0.24,0.24,0.22,0.22,0.22,1521000
2017-02-22,0.21,0.22,0.21,0.21,0.21,12375000
2017-02-23,0.2,0.22,0.2,0.21,0.21,5859600
2017-02-24,0.22,0.22,0.22,0.22,0.22,200000
2017-02-27,0.21,0.22,0.21,0.21,0.21,4403000
2017-02-28,0.22,0.23,0.22,0.23,0.23,9289700
2017-03-01,0.23,0.25,0.23,0.24,0.24,3453600
2017-03-03,0.23,0.23,0.23,0.23,0.23,1224200
2017-03-06,0.21,0.21,0.2,0.2,0.2,5742600
2017-03-07,0.2,0.22,0.2,0.2,0.2,5269800
2017-03-08,0.2,0.22,0.2,0.22,0.22,1701100
2017-03-10,0.19,0.19,0.19,0.19,0.19,3236800
2017-03-13,0.18,0.19,0.18,0.18,0.18,879800
2017-03-14,0.18,0.19,0.18,0.19,0.19,4967200
2017-03-16,0.19,0.19,0.19,0.19,0.19,1963800
2017-03-17,0.19,0.19,0.19,0.19,0.19,475600
2017-03-20,0.19,0.2,0.19,0.19,0.19,3344800
2017-03-21,0.19,0.19,0.19,0.19,0.19,704200
2017-03-23,0.18,0.18,0.18,0.18,0.18,100000
2017-03-24,0.18,0.18,0.18,0.18,0.18,500000
2017-03-28,0.18,0.18,0.18,0.18,0.18,3233600
2017-03-29,0.19,0.19,0.18,0.18,0.18,2737600
2017-03-30,0.18,0.18,0.18,0.18,0.18,4664400
2017-04-03,0.17,0.17,0.17,0.17,0.17,202800
2017-04-04,0.16,0.16,0.16,0.16,0.16,585600
2017-04-05,0.15,0.15,0.15,0.15,0.15,800000
2017-04-10,0.13,0.13,0.13,0.13,0.13,811200
2017-04-11,0.12,0.12,0.12,0.12,0.12,5165800
2017-04-12,0.12,0.12,0.12,0.12,0.12,507000
2017-04-17,0.1,0.1,0.1,0.1,0.1,101400
2017-04-18,0.1,0.1,0.1,0.1,0.1,202800
2017-04-21,0.09,0.09,0.09,0.09,0.09,200000
2017-04-26,0.09,0.09,0.08,0.09,0.09,4144200
2017-04-27,0.09,0.09,0.09,0.09,0.09,500
2017-05-09,0.04,0.04,0.04,0.04,0.04,200500
