Date,Open,High,Low,Close,Adj Close,Volume
2014-08-04,0.83,0.83,0.83,0.83,0.83,20000
2014-08-05,0.81,0.81,0.8,0.81,0.81,315100
2014-08-07,0.83,0.85,0.83,0.83,0.83,170000
2014-08-08,0.82,0.84,0.82,0.84,0.84,80200
2014-08-13,0.82,0.82,0.81,0.81,0.81,10600
2014-08-14,0.83,0.83,0.83,0.83,0.83,1600
2014-08-19,0.83,0.83,0.83,0.83,0.83,100
2014-08-21,0.83,0.83,0.83,0.83,0.83,9000
2014-08-22,0.82,0.82,0.82,0.82,0.82,25000
2014-08-25,0.81,0.81,0.8,0.8,0.8,45000
2014-08-26,0.78,0.78,0.78,0.78,0.78,30000
2014-08-27,0.77,0.77,0.76,0.76,0.76,1035600
2014-08-28,0.75,0.77,0.75,0.77,0.77,3100
2014-08-29,0.76,0.76,0.76,0.76,0.76,100200
2014-09-01,0.76,0.76,0.76,0.76,0.76,23000
2014-09-02,0.77,0.78,0.77,0.78,0.78,1001000
2014-09-03,0.78,0.78,0.78,0.78,0.78,14000
2014-09-05,0.8,0.8,0.8,0.8,0.8,233000
2014-09-08,0.81,0.81,0.81,0.81,0.81,6000
2014-09-09,0.81,0.81,0.81,0.81,0.81,30000
2014-09-10,0.82,0.82,0.82,0.82,0.82,31100
2014-09-11,0.81,0.81,0.81,0.81,0.81,66000
2014-09-12,0.83,0.83,0.8,0.8,0.8,225000
2014-09-18,0.83,0.83,0.83,0.83,0.83,5000
2014-09-19,0.82,0.82,0.82,0.82,0.82,12000
2014-09-23,0.81,0.82,0.81,0.82,0.82,27000
2014-09-24,0.78,0.78,0.78,0.78,0.78,3000
2014-09-29,0.8,0.82,0.8,0.82,0.82,1000000
2014-09-30,0.81,0.81,0.81,0.81,0.81,20100
2014-10-01,0.81,0.82,0.81,0.82,0.82,58000
2014-10-02,0.81,0.84,0.81,0.84,0.84,1157000
2014-10-03,0.88,0.9,0.88,0.89,0.89,66900
2014-10-06,0.87,0.89,0.87,0.87,0.87,297200
2014-10-07,0.86,0.86,0.86,0.86,0.86,20900
2014-10-08,0.86,0.86,0.86,0.86,0.86,52000
2014-10-09,0.85,0.85,0.85,0.85,0.85,35000
2014-10-10,0.84,0.84,0.84,0.84,0.84,104000
2014-10-13,0.84,0.84,0.84,0.84,0.84,2000
2014-10-14,0.83,0.83,0.83,0.83,0.83,130000
2014-10-15,0.82,0.82,0.81,0.81,0.81,108000
2014-10-16,0.81,0.82,0.81,0.82,0.82,6000
2014-10-20,0.81,0.83,0.81,0.83,0.83,76000
2014-10-21,0.83,0.84,0.83,0.83,0.83,30000
2014-10-22,0.82,0.84,0.82,0.84,0.84,180900
2014-10-24,0.82,0.82,0.81,0.81,0.81,38200
2014-10-27,0.81,0.81,0.81,0.81,0.81,1002000
2014-10-28,0.81,0.81,0.8,0.8,0.8,38000
2014-10-29,0.78,0.78,0.76,0.76,0.76,297500
2014-10-30,0.76,0.76,0.76,0.76,0.76,3000
2014-11-03,0.74,0.74,0.74,0.74,0.74,12000
2014-11-04,0.73,0.74,0.73,0.73,0.73,25000
2014-11-05,0.76,0.76,0.76,0.76,0.76,12000
2014-11-06,0.75,0.77,0.75,0.77,0.77,31000
2014-11-07,0.81,0.86,0.81,0.86,0.86,734400
2014-11-10,0.86,0.86,0.85,0.85,0.85,84200
2014-11-11,0.89,0.89,0.87,0.87,0.87,2500
2014-11-12,0.83,0.83,0.83,0.83,0.83,159500
2014-11-13,0.82,0.83,0.82,0.82,0.82,474200
2014-11-14,0.79,0.79,0.79,0.79,0.79,1000
2014-11-17,0.81,0.82,0.81,0.81,0.81,154900
2014-11-19,0.82,0.83,0.82,0.83,0.83,367400
2014-11-20,0.82,0.89,0.82,0.88,0.88,421400
2014-11-21,0.84,0.85,0.83,0.83,0.83,32300
2014-11-24,0.81,0.82,0.81,0.82,0.82,104000
2014-11-25,0.82,0.82,0.81,0.81,0.81,192200
2014-11-26,0.78,0.81,0.78,0.8,0.8,504000
2014-11-27,0.8,0.8,0.78,0.79,0.79,48000
2014-11-28,0.75,0.78,0.75,0.78,0.78,180000
2014-12-01,0.78,0.78,0.78,0.78,0.78,556800
2014-12-02,0.76,0.76,0.76,0.76,0.76,160000
2014-12-03,0.78,0.78,0.78,0.78,0.78,160000
2014-12-04,0.77,0.77,0.77,0.77,0.77,2000
2014-12-08,0.81,0.82,0.81,0.82,0.82,1000000
2014-12-09,0.82,0.85,0.82,0.85,0.85,1428400
2014-12-11,0.84,0.88,0.84,0.88,0.88,2126100
2014-12-12,0.88,0.91,0.88,0.9,0.9,2979600
2014-12-15,0.95,1,0.95,1,1,4244200
2014-12-16,1.01,1.03,0.98,0.99,0.99,1772200
2014-12-17,0.98,1,0.98,1,1,532000
2014-12-18,0.91,0.91,0.91,0.91,0.91,2500
2014-12-19,0.85,0.89,0.85,0.89,0.89,2386000
2014-12-22,0.84,0.86,0.84,0.86,0.86,1179200
2014-12-23,0.84,0.85,0.84,0.85,0.85,872400
2014-12-25,0.88,0.9,0.88,0.9,0.9,4149800
2014-12-26,0.91,0.93,0.87,0.87,0.87,1260900
2014-12-29,0.87,0.9,0.87,0.89,0.89,1001000
2014-12-30,0.93,0.93,0.83,0.83,0.83,367000
2015-01-05,0.8,0.83,0.77,0.79,0.79,555200
2015-01-06,0.81,0.87,0.8,0.8,0.8,2793900
2015-01-07,0.77,0.78,0.74,0.74,0.74,921200
2015-01-08,0.75,0.76,0.72,0.72,0.72,1439400
2015-01-09,0.76,0.81,0.76,0.8,0.8,2235000
