Date,Open,High,Low,Close,Adj Close,Volume
2018-06-19,0.42,0.42,0.38,0.38,0.38,7266800
2018-06-20,0.36,0.38,0.36,0.37,0.37,4402500
2018-06-21,0.38,0.38,0.36,0.36,0.36,1425600
2018-06-22,0.37,0.39,0.37,0.39,0.39,6725100
2018-06-25,0.38,0.38,0.32,0.32,0.32,3931600
2018-06-26,0.31,0.34,0.3,0.34,0.34,7097400
2018-06-27,0.34,0.34,0.29,0.29,0.29,6314700
2018-06-28,0.3,0.32,0.3,0.31,0.31,6097900
2018-06-29,0.28,0.29,0.25,0.25,0.25,5247300
2018-07-02,0.27,0.29,0.27,0.29,0.29,2622200
2018-07-03,0.3,0.33,0.3,0.32,0.32,4487700
2018-07-04,0.32,0.35,0.31,0.34,0.34,15051200
2018-07-05,0.33,0.36,0.32,0.33,0.33,8740200
2018-07-06,0.33,0.39,0.33,0.36,0.36,20183000
2018-07-09,0.38,0.43,0.38,0.39,0.39,7658600
2018-07-10,0.41,0.41,0.37,0.4,0.4,5691200
2018-07-11,0.39,0.4,0.38,0.39,0.39,5902400
2018-07-12,0.39,0.41,0.31,0.31,0.31,10455400
2018-07-13,0.33,0.33,0.3,0.3,0.3,1374400
2018-07-16,0.29,0.29,0.28,0.28,0.28,1833000
2018-07-17,0.27,0.27,0.26,0.27,0.27,1147800
2018-07-18,0.29,0.29,0.27,0.29,0.29,1855000
2018-07-19,0.27,0.28,0.26,0.28,0.28,2042700
2018-07-20,0.25,0.26,0.25,0.26,0.26,2152000
2018-07-23,0.26,0.28,0.26,0.27,0.27,4033000
2018-07-24,0.28,0.28,0.26,0.26,0.26,3419400
2018-07-25,0.26,0.31,0.26,0.3,0.3,6003100
2018-07-26,0.3,0.3,0.26,0.27,0.27,6070900
2018-07-31,0.28,0.28,0.22,0.24,0.24,7203600
2018-08-01,0.24,0.25,0.23,0.25,0.25,8314000
2018-08-02,0.24,0.26,0.23,0.23,0.23,2216400
2018-08-03,0.23,0.23,0.2,0.2,0.2,3770000
2018-08-06,0.21,0.21,0.17,0.17,0.17,7584000
