Date,Open,High,Low,Close,Adj Close,Volume
2016-07-05,51.25,51.25,51.25,51.25,51.25,100
2016-07-07,52.22,52.22,52.22,52.22,52.22,100
2016-07-20,51,51.45,51,51.45,51.45,100
2016-07-29,52,52,52,52,52,50
2016-08-01,52.7,52.7,52.7,52.7,52.7,50
2016-08-17,61.55,61.55,61.55,61.55,61.55,1
2016-08-19,60,60.2,60,60.2,60.2,60
2016-08-22,60,60.2,60,60.2,60.2,60
2016-08-24,61.74,61.74,61.74,61.74,61.74,100
2016-08-25,62.71,62.71,62.71,62.71,62.71,200
2016-08-26,62.57,62.57,62.57,62.57,62.57,100
2016-09-14,59.59,59.94,59.44,59.69,59.69,6
2016-09-15,59.29,59.29,59.29,59.29,59.29,1
2016-09-16,59.2,59.2,59.2,59.2,59.2,1
2016-09-22,61.48,61.48,60,60,60,32
2016-09-29,60.77,61.25,60.77,61.14,61.14,33
2016-10-04,62.35,62.4,62.35,62.4,62.4,3
2016-10-05,62,62,62,62,62,20
2016-10-11,60.32,60.32,60,60,60,23
2016-10-12,57.65,57.65,57.65,57.65,57.65,1
2016-10-13,60.99,62.44,60.99,61.7,61.7,43
2016-10-14,61.99,61.99,61.75,61.75,61.75,1022
2016-10-17,61.77,61.77,61.77,61.77,61.77,300
2016-10-19,60.18,60.18,60.18,60.18,60.18,20
2016-10-21,60.05,61.5,60.05,61.5,61.5,6
2016-10-25,63.12,63.12,63.12,63.12,63.12,4200
2016-11-01,61.2,61.2,61.2,61.2,61.2,2300
2016-11-02,60.77,60.77,60.77,60.77,60.77,1000
2016-11-03,61.79,61.79,61.79,61.79,61.79,1
2016-11-04,60.94,60.94,60.94,60.94,60.94,2000
2016-11-07,63.64,63.64,63.64,63.64,63.64,1700
2016-11-08,61.25,61.25,61.25,61.25,61.25,1000
2016-11-11,63,63,62.29,62.29,62.29,2741
2016-11-14,61.04,61.36,61.04,61.36,61.36,1602
2016-11-15,60.5,60.5,60.5,60.5,60.5,600
2016-11-29,60.36,60.36,60.36,60.36,60.36,200
2016-11-30,59.27,59.27,59.27,59.27,59.27,1
2016-12-01,60.24,60.24,60.24,60.24,60.24,1
2016-12-02,61.72,61.72,61.2,61.72,61.72,503
