Date,Open,High,Low,Close,Adj Close,Volume
2012-10-09,1.27,1.28,1.27,1.28,1.28,200000
2012-10-10,1.3,1.3,1.24,1.25,1.25,330000
2012-10-11,1.24,1.31,1.24,1.29,1.29,340000
2012-10-12,1.25,1.25,1.25,1.25,1.25,500
2012-10-15,1.23,1.23,1.23,1.23,1.23,1060500
2012-10-16,1.23,1.23,1.23,1.23,1.23,500000
2012-10-17,1.27,1.27,1.25,1.25,1.25,180000
2012-10-18,1.25,1.25,1.2,1.2,1.2,1240000
2012-10-19,1.18,1.18,1.18,1.18,1.18,500
2012-10-22,1.18,1.18,1.18,1.18,1.18,120000
2012-10-24,1.21,1.21,1.2,1.2,1.2,32000
2012-10-25,1.19,1.19,1.17,1.17,1.17,195000
2012-10-29,1.2,1.21,1.18,1.18,1.18,810000
2012-10-30,1.17,1.17,1.15,1.16,1.16,700000
2012-10-31,1.17,1.17,1.17,1.17,1.17,20000
2012-11-01,1.16,1.2,1.16,1.19,1.19,1305000
2012-11-02,1.16,1.17,1.15,1.15,1.15,1140000
2012-11-05,1.15,1.16,1.14,1.14,1.14,2058700
2012-11-06,1.13,1.13,1.11,1.11,1.11,3690000
2012-11-07,1.1,1.1,1.07,1.08,1.08,2621100
2012-11-08,1.09,1.11,1.09,1.09,1.09,1699000
2012-11-09,1.08,1.12,1.08,1.12,1.12,2170800
2012-11-12,1.13,1.15,1.12,1.12,1.12,1301500
2012-11-13,1.25,1.26,1.21,1.24,1.24,8553000
2012-11-14,1.25,1.29,1.25,1.29,1.29,2358300
2012-11-15,1.3,1.32,1.28,1.28,1.28,2467800
2012-11-16,1.26,1.26,1.26,1.26,1.26,55000
2012-11-19,1.26,1.27,1.26,1.27,1.27,221000
2012-11-20,1.25,1.29,1.25,1.29,1.29,1835000
2012-11-21,1.3,1.3,1.28,1.28,1.28,26000
2012-11-22,1.28,1.28,1.28,1.28,1.28,103500
2012-11-23,1.28,1.28,1.27,1.28,1.28,1039300
2012-11-26,1.28,1.28,1.26,1.27,1.27,236600
2012-11-27,1.28,1.28,1.27,1.28,1.28,2530700
2012-11-28,1.25,1.25,1.25,1.25,1.25,300000
2012-11-29,1.27,1.29,1.27,1.29,1.29,2200000
2012-11-30,1.29,1.29,1.29,1.29,1.29,5000
2012-12-04,1.26,1.27,1.26,1.27,1.27,811800
2012-12-06,1.23,1.24,1.23,1.24,1.24,1252000
2012-12-07,1.24,1.25,1.24,1.25,1.25,880000
2012-12-12,1.22,1.23,1.18,1.18,1.18,1300000
2012-12-13,1.17,1.17,1.17,1.17,1.17,4000
2012-12-14,1.18,1.18,1.18,1.18,1.18,50000
2012-12-17,1.14,1.15,1.14,1.14,1.14,1154000
2012-12-18,1.11,1.12,1.11,1.11,1.11,1211800
2012-12-19,1.09,1.12,1.09,1.12,1.12,40000
2012-12-20,1.1,1.14,1.1,1.14,1.14,840000
2012-12-21,1.14,1.17,1.14,1.17,1.17,83000
2012-12-24,1.17,1.22,1.17,1.19,1.19,846000
2012-12-25,1.18,1.21,1.18,1.2,1.2,964800
2012-12-26,1.16,1.17,1.16,1.17,1.17,800000
2012-12-27,1.18,1.18,1.18,1.18,1.18,800000
2012-12-28,1.16,1.17,1.16,1.17,1.17,816600
2013-01-02,1.14,1.14,1.14,1.14,1.14,40000
2013-01-03,1.12,1.12,1.09,1.1,1.1,268000
2013-01-04,1.1,1.1,1.1,1.1,1.1,804000
2013-01-07,1.06,1.09,1.06,1.08,1.08,2131000
2013-01-08,1.13,1.14,1.13,1.13,1.13,127200
2013-01-10,1.14,1.18,1.14,1.18,1.18,1482000
2013-01-11,1.17,1.18,1.16,1.18,1.18,790000
2013-01-14,1.15,1.16,1.14,1.14,1.14,20000
2013-01-15,1.11,1.12,1.11,1.12,1.12,816200
2013-01-16,1.14,1.15,1.14,1.15,1.15,1800000
2013-01-17,1.13,1.14,1.13,1.14,1.14,805800
2013-01-18,1.13,1.13,1.11,1.11,1.11,200100
2013-01-21,1.09,1.11,1.09,1.1,1.1,1200000
2013-01-22,1.13,1.13,1.13,1.13,1.13,20000
2013-01-23,1.13,1.14,1.13,1.13,1.13,900000
2013-01-25,1.1,1.1,1.09,1.09,1.09,140000
2013-01-28,1.08,1.08,1.01,1.01,1.01,2092200
2013-01-29,0.98,0.98,0.94,0.95,0.95,1835800
2013-01-30,0.92,0.94,0.92,0.94,0.94,20000
2013-01-31,1,1.03,1,1.02,1.02,493700
2013-02-01,0.99,1,0.96,0.96,0.96,940400
2013-02-04,0.94,0.96,0.93,0.94,0.94,1810000
2013-02-05,0.95,0.96,0.95,0.96,0.96,818000
2013-02-06,0.97,1.03,0.97,1.03,1.03,2600000
2013-02-07,1.05,1.06,1.05,1.06,1.06,1800100
2013-02-08,1.07,1.09,1.07,1.08,1.08,1494400
2013-02-11,1.09,1.14,1.09,1.14,1.14,450000
2013-02-12,1.12,1.15,1.12,1.15,1.15,1987200
2013-02-13,1.14,1.15,1.12,1.15,1.15,930000
2013-02-15,1.14,1.15,1.1,1.12,1.12,2370900
2013-02-18,1.09,1.1,1.09,1.1,1.1,800000
2013-02-19,1.11,1.12,1.11,1.12,1.12,810000
2013-02-20,1.12,1.12,1.1,1.1,1.1,2000000
2013-02-21,1.11,1.12,1.1,1.11,1.11,2264000
2013-02-22,1.12,1.13,1.1,1.13,1.13,3249200
2013-02-26,1.12,1.15,1.11,1.15,1.15,4143000
2013-02-27,1.15,1.15,1.13,1.15,1.15,6152600
2013-02-28,1.14,1.17,1.14,1.17,1.17,5038600
2013-03-01,1.16,1.17,1.16,1.17,1.17,2463800
2013-03-04,1.16,1.19,1.16,1.17,1.17,1097800
2013-03-05,1.18,1.19,1.18,1.19,1.19,810000
2013-03-06,1.18,1.19,1.15,1.19,1.19,1698300
2013-03-07,1.17,1.22,1.17,1.21,1.21,3759200
2013-03-08,1.2,1.21,1.2,1.21,1.21,1592000
2013-03-11,1.19,1.21,1.12,1.14,1.14,4024800
2013-03-12,1.08,1.11,1.08,1.09,1.09,3654800
2013-03-13,1.07,1.09,1.07,1.07,1.07,2683700
2013-03-14,1.05,1.08,1.05,1.06,1.06,2429200
2013-03-15,1.03,1.04,1,1.02,1.02,3521600
2013-03-18,1,1.02,0.94,0.95,0.95,4822800
2013-03-19,0.94,1.03,0.94,1.01,1.01,9049200
