Date,Open,High,Low,Close,Adj Close,Volume
2018-03-22,0.67,0.67,0.67,0.67,0.67,2000000
2018-03-23,0.6,0.63,0.6,0.63,0.63,3600000
2018-03-26,0.59,0.59,0.59,0.59,0.59,3050000
2018-03-27,0.63,0.63,0.63,0.63,0.63,2800000
2018-03-28,0.65,0.68,0.61,0.61,0.61,3600000
2018-03-29,0.68,0.68,0.62,0.62,0.62,400000
2018-03-30,0.57,0.58,0.54,0.57,0.57,6600000
2018-04-02,0.64,0.64,0.61,0.61,0.61,700000
2018-04-03,0.61,0.61,0.57,0.57,0.57,4100000
2018-04-04,0.57,0.58,0.5,0.5,0.5,7160000
2018-04-05,0.54,0.54,0.52,0.53,0.53,4450000
2018-04-09,0.54,0.55,0.54,0.55,0.55,1450200
2018-04-10,0.55,0.56,0.47,0.5,0.5,9000000
2018-04-11,0.48,0.48,0.42,0.42,0.42,7100000
2018-04-12,0.42,0.46,0.42,0.46,0.46,4650000
2018-04-17,0.43,0.43,0.39,0.39,0.39,5300000
2018-04-19,0.42,0.43,0.4,0.41,0.41,4000000
2018-04-20,0.44,0.44,0.41,0.41,0.41,5910000
2018-04-23,0.42,0.42,0.4,0.4,0.4,1700000
2018-04-24,0.4,0.43,0.39,0.39,0.39,7400000
2018-04-25,0.41,0.47,0.41,0.45,0.45,5200000
2018-04-26,0.46,0.46,0.44,0.44,0.44,700000
2018-04-27,0.43,0.47,0.43,0.46,0.46,3500000
2018-04-30,0.48,0.49,0.46,0.46,0.46,2000000
2018-05-02,0.45,0.47,0.43,0.47,0.47,3100000
2018-05-03,0.49,0.51,0.48,0.48,0.48,2800000
2018-05-04,0.47,0.47,0.41,0.41,0.41,500000
2018-05-07,0.41,0.41,0.38,0.38,0.38,900000
2018-05-08,0.42,0.42,0.4,0.4,0.4,1400000
2018-05-09,0.41,0.41,0.38,0.38,0.38,1650000
2018-05-10,0.41,0.41,0.37,0.38,0.38,2550000
2018-05-11,0.39,0.4,0.37,0.38,0.38,4800000
2018-05-14,0.38,0.38,0.37,0.37,0.37,3800000
2018-05-15,0.38,0.49,0.38,0.49,0.49,4354000
2018-05-16,0.5,0.52,0.49,0.52,0.52,2950000
2018-05-17,0.5,0.52,0.47,0.51,0.51,4400000
2018-05-18,0.5,0.51,0.5,0.51,0.51,6310000
2018-05-21,0.54,0.54,0.54,0.54,0.54,1300000
2018-05-22,0.53,0.53,0.49,0.49,0.49,1600300
2018-05-23,0.49,0.49,0.47,0.47,0.47,400000
2018-05-24,0.46,0.47,0.44,0.45,0.45,3170800
2018-05-25,0.45,0.46,0.45,0.46,0.46,1650000
2018-05-28,0.48,0.48,0.45,0.45,0.45,2000000
2018-05-30,0.44,0.52,0.44,0.49,0.49,5200000
2018-06-01,0.54,0.54,0.54,0.54,0.54,15000
2018-06-11,0.57,0.57,0.57,0.57,0.57,200000
2018-06-12,0.6,0.63,0.6,0.6,0.6,1200000
2018-06-13,0.56,0.56,0.56,0.56,0.56,1500000
2018-06-14,0.5,0.5,0.47,0.47,0.47,2100000
2018-06-15,0.44,0.44,0.41,0.43,0.43,1560000
2018-06-18,0.42,0.43,0.42,0.43,0.43,60200
2018-06-19,0.4,0.4,0.32,0.32,0.32,1450000
2018-06-20,0.35,0.4,0.35,0.4,0.4,3100000
2018-06-21,0.37,0.39,0.37,0.39,0.39,2100000
2018-06-22,0.41,0.42,0.41,0.42,0.42,1000000
2018-06-25,0.4,0.41,0.4,0.4,0.4,3100000
2018-06-26,0.38,0.39,0.38,0.39,0.39,2000000
2018-06-27,0.37,0.4,0.37,0.4,0.4,1702000
2018-06-28,0.38,0.38,0.38,0.38,0.38,1000000
2018-06-29,0.36,0.36,0.32,0.33,0.33,1002000
2018-07-02,0.33,0.33,0.33,0.33,0.33,1478800
2018-07-03,0.33,0.37,0.33,0.36,0.36,2800000
2018-07-04,0.36,0.36,0.35,0.35,0.35,1100000
2018-07-05,0.35,0.35,0.33,0.33,0.33,2100000
2018-07-06,0.34,0.38,0.34,0.38,0.38,1150000
2018-07-09,0.41,0.41,0.41,0.41,0.41,250000
2018-07-10,0.4,0.43,0.4,0.43,0.43,1100000
2018-07-13,0.47,0.47,0.47,0.47,0.47,100000
2018-07-20,0.45,0.51,0.45,0.51,0.51,400000
2018-07-25,0.55,0.55,0.55,0.55,0.55,200000
2018-08-02,0.47,0.47,0.47,0.47,0.47,100000
2018-08-10,0.33,0.33,0.27,0.27,0.27,1000000
2018-08-14,0.25,0.33,0.24,0.33,0.33,5602000
2018-08-15,0.37,0.37,0.3,0.3,0.3,103000
2018-08-20,0.38,0.41,0.38,0.41,0.41,1103000
2018-09-06,0.35,0.35,0.32,0.32,0.32,450000
2018-09-11,0.27,0.27,0.27,0.27,0.27,1000000
2018-09-13,0.29,0.29,0.29,0.29,0.29,200000
2018-09-14,0.29,0.29,0.29,0.29,0.29,100
2018-09-18,0.22,0.22,0.22,0.22,0.22,1000000
2018-09-19,0.23,0.23,0.23,0.23,0.23,2000000
2018-09-25,0.14,0.14,0.14,0.14,0.14,100
2018-10-02,0.11,0.11,0.1,0.1,0.1,101000
