Date,Open,High,Low,Close,Adj Close,Volume
2016-12-08,0.7,0.7,0.68,0.69,0.69,163600
2016-12-09,0.7,0.71,0.7,0.7,0.7,161600
2016-12-13,0.68,0.71,0.68,0.71,0.71,91600
2016-12-14,0.7,0.72,0.67,0.67,0.67,162000
2016-12-15,0.66,0.67,0.66,0.66,0.66,161800
2016-12-16,0.62,0.67,0.62,0.67,0.67,121400
2016-12-20,0.68,0.68,0.66,0.67,0.67,121000
2016-12-22,0.62,0.63,0.62,0.63,0.63,195400
2016-12-23,0.61,0.62,0.59,0.6,0.6,292600
2016-12-26,0.61,0.61,0.61,0.61,0.61,50600
2016-12-27,0.61,0.61,0.59,0.59,0.59,205400
2016-12-28,0.6,0.6,0.59,0.59,0.59,324200
2016-12-29,0.61,0.65,0.61,0.65,0.65,353500
2016-12-30,0.67,0.67,0.67,0.67,0.67,40600
2017-01-04,0.61,0.64,0.61,0.63,0.63,363200
2017-01-05,0.64,0.65,0.64,0.65,0.65,82300
2017-01-06,0.63,0.67,0.63,0.67,0.67,162500
2017-01-10,0.6,0.61,0.6,0.61,0.61,80600
2017-01-12,0.61,0.61,0.61,0.61,0.61,40200
2017-01-13,0.6,0.61,0.6,0.61,0.61,121000
2017-01-16,0.58,0.59,0.58,0.58,0.58,181400
2017-01-17,0.57,0.57,0.56,0.56,0.56,381800
2017-01-18,0.56,0.56,0.56,0.56,0.56,40600
2017-01-19,0.57,0.57,0.57,0.57,0.57,40400
2017-01-20,0.56,0.58,0.56,0.57,0.57,203800
2017-01-23,0.57,0.58,0.57,0.58,0.58,150000
2017-01-24,0.59,0.6,0.59,0.59,0.59,164000
2017-01-25,0.6,0.6,0.6,0.6,0.6,81000
2017-01-26,0.61,0.67,0.61,0.66,0.66,289200
2017-01-27,0.67,0.67,0.63,0.66,0.66,600200
2017-01-30,0.64,0.64,0.62,0.62,0.62,81400
2017-01-31,0.59,0.6,0.59,0.6,0.6,83200
2017-02-01,0.57,0.58,0.56,0.56,0.56,171800
2017-02-02,0.57,0.59,0.57,0.57,0.57,212300
2017-02-03,0.55,0.56,0.55,0.56,0.56,361800
2017-02-06,0.57,0.57,0.56,0.56,0.56,121400
2017-02-07,0.56,0.56,0.56,0.56,0.56,121600
2017-02-08,0.55,0.55,0.55,0.55,0.55,240400
2017-02-09,0.54,0.55,0.54,0.54,0.54,80600
2017-02-10,0.54,0.55,0.54,0.55,0.55,40400
2017-02-14,0.52,0.53,0.52,0.53,0.53,80600
2017-02-15,0.5,0.51,0.5,0.51,0.51,80600
2017-02-16,0.49,0.49,0.49,0.49,0.49,161800
2017-02-17,0.49,0.49,0.49,0.49,0.49,201200
2017-02-20,0.5,0.5,0.5,0.5,0.5,40000
2017-02-22,0.47,0.48,0.47,0.48,0.48,121000
2017-02-23,0.48,0.53,0.48,0.53,0.53,202000
2017-02-24,0.51,0.51,0.49,0.51,0.51,242000
2017-02-27,0.49,0.49,0.49,0.49,0.49,220300
2017-02-28,0.48,0.48,0.48,0.48,0.48,343300
2017-03-01,0.49,0.53,0.49,0.52,0.52,361400
2017-03-02,0.53,0.53,0.52,0.52,0.52,80500
2017-03-07,0.51,0.53,0.51,0.53,0.53,204700
2017-03-08,0.52,0.55,0.52,0.55,0.55,305400
2017-03-09,0.53,0.53,0.53,0.53,0.53,40200
2017-03-10,0.53,0.53,0.53,0.53,0.53,121000
2017-03-13,0.55,0.58,0.55,0.58,0.58,161400
2017-03-14,0.56,0.57,0.55,0.56,0.56,121600
2017-03-15,0.55,0.59,0.55,0.58,0.58,502200
2017-03-16,0.58,0.59,0.58,0.59,0.59,583600
2017-03-17,0.58,0.59,0.58,0.58,0.58,100800
2017-03-20,0.56,0.56,0.54,0.54,0.54,80900
2017-03-21,0.55,0.56,0.55,0.56,0.56,161800
2017-03-22,0.56,0.56,0.56,0.56,0.56,40800
2017-03-24,0.53,0.53,0.53,0.53,0.53,29800
2017-03-27,0.53,0.55,0.53,0.54,0.54,120600
2017-03-28,0.57,0.58,0.57,0.58,0.58,121200
2017-03-29,0.55,0.55,0.55,0.55,0.55,80800
2017-03-30,0.54,0.55,0.54,0.55,0.55,323000
2017-04-03,0.53,0.54,0.53,0.54,0.54,480800
2017-04-04,0.53,0.53,0.53,0.53,0.53,589900
2017-04-05,0.56,0.57,0.56,0.57,0.57,80600
2017-04-07,0.56,0.57,0.56,0.57,0.57,392200
2017-04-10,0.61,0.63,0.55,0.55,0.55,342400
2017-04-11,0.55,0.58,0.55,0.57,0.57,121200
2017-04-12,0.56,0.56,0.56,0.56,0.56,40400
2017-04-17,0.55,0.55,0.55,0.55,0.55,121400
2017-04-18,0.54,0.54,0.53,0.53,0.53,40600
2017-04-19,0.56,0.56,0.56,0.56,0.56,40600
2017-04-20,0.54,0.57,0.54,0.57,0.57,121200
2017-04-21,0.55,0.55,0.55,0.55,0.55,40200
2017-04-24,0.55,0.57,0.55,0.55,0.55,162000
2017-04-25,0.54,0.54,0.54,0.54,0.54,40200
2017-04-26,0.54,0.64,0.54,0.64,0.64,446400
2017-04-27,0.64,0.64,0.64,0.64,0.64,201600
2017-05-02,0.63,0.64,0.62,0.62,0.62,131200
2017-05-03,0.58,0.58,0.58,0.58,0.58,201600
2017-05-04,0.58,0.6,0.58,0.59,0.59,163700
2017-05-05,0.6,0.6,0.59,0.59,0.59,282600
2017-05-08,0.62,0.63,0.61,0.61,0.61,501100
2017-05-11,0.58,0.65,0.58,0.65,0.65,405100
2017-05-12,0.66,0.73,0.66,0.69,0.69,203000
2017-05-15,0.7,0.7,0.7,0.7,0.7,80400
2017-05-16,0.72,0.72,0.68,0.71,0.71,130800
2017-05-17,0.69,0.84,0.69,0.83,0.83,606200
2017-05-18,0.83,0.89,0.83,0.87,0.87,526700
2017-05-19,0.84,0.88,0.83,0.87,0.87,201600
2017-05-22,0.89,0.93,0.86,0.89,0.89,342800
2017-05-23,0.9,0.9,0.89,0.89,0.89,80600
2017-05-24,0.87,0.94,0.87,0.93,0.93,424500
2017-05-25,0.95,0.95,0.91,0.91,0.91,162000
2017-05-26,0.92,0.92,0.88,0.91,0.91,147200
2017-05-29,0.9,0.93,0.89,0.93,0.93,161800
2017-05-31,0.91,0.96,0.91,0.94,0.94,140600
2017-06-01,0.88,0.93,0.88,0.91,0.91,342000
2017-06-02,0.91,0.92,0.91,0.91,0.91,120800
2017-06-05,0.9,1.08,0.9,0.99,0.99,1149800
2017-06-06,0.97,0.97,0.97,0.97,0.97,80600
2017-06-07,1.01,1.13,1.01,1.12,1.12,772700
2017-06-08,1.11,1.17,1.11,1.14,1.14,367400
2017-06-09,1.08,1.08,1.04,1.05,1.05,141000
2017-06-12,1.06,1.06,0.99,0.99,0.99,81800
2017-06-13,0.97,1.02,0.97,1,1,194700
2017-06-14,0.98,1.04,0.97,1.04,1.04,281500
2017-06-15,0.98,1.03,0.98,0.98,0.98,287000
2017-06-16,0.99,0.99,0.98,0.98,0.98,161400
2017-06-19,1,1.05,1,1.03,1.03,121000
2017-06-20,0.87,0.9,0.87,0.9,0.9,504400
2017-06-21,0.88,0.9,0.87,0.87,0.87,185400
2017-06-23,0.84,0.85,0.81,0.82,0.82,286200
2017-06-26,0.84,0.87,0.84,0.87,0.87,146200
2017-06-27,0.85,0.94,0.85,0.93,0.93,226800
2017-06-28,0.94,0.94,0.87,0.88,0.88,342400
2017-06-29,0.89,0.98,0.89,0.95,0.95,464200
2017-06-30,0.98,0.98,0.95,0.97,0.97,202000
2017-07-03,0.96,0.96,0.96,0.96,0.96,40400
2017-07-04,0.97,1,0.97,1,1,100800
2017-07-05,0.99,1,0.97,1,1,100200
2017-07-06,0.95,0.97,0.95,0.97,0.97,40000
2017-07-07,1.01,1.03,1.01,1.01,1.01,80600
2017-07-11,1.02,1.02,1.02,1.02,1.02,40600
2017-07-13,0.86,0.91,0.86,0.91,0.91,161200
2017-07-14,0.86,0.86,0.83,0.85,0.85,221400
2017-07-17,0.82,0.89,0.82,0.85,0.85,141600
2017-07-18,0.82,0.84,0.82,0.82,0.82,121800
2017-07-19,0.84,0.88,0.84,0.88,0.88,121400
2017-07-20,0.91,0.95,0.91,0.95,0.95,161200
2017-07-21,0.92,0.94,0.92,0.94,0.94,140400
2017-07-24,0.9,0.9,0.9,0.9,0.9,40600
2017-07-25,0.93,0.95,0.93,0.95,0.95,81600
2017-07-26,0.91,0.93,0.91,0.93,0.93,175100
2017-07-27,0.91,0.93,0.91,0.91,0.91,202400
2017-07-31,0.87,0.97,0.87,0.97,0.97,81600
2017-08-01,0.95,0.95,0.9,0.9,0.9,209400
