Date,Open,High,Low,Close,Adj Close,Volume
2004-04-08,11,11.2,9.9,10,10,142294592
2004-04-09,10,11.2,9.9,11,11,96551104
2004-04-12,11.1,11.8,11,11.4,11.4,90136704
2004-04-16,11.6,11.8,11.2,11.3,11.3,46683400
2004-04-19,11.3,12,11.3,11.6,11.6,82971600
2004-04-20,11.7,11.7,11.4,11.7,11.7,38186300
2004-04-21,11.7,12,11.5,11.9,11.9,57510000
2004-04-22,12,12.1,11,11.1,11.1,85844496
2004-04-23,11.3,11.3,10.7,10.8,10.8,29187900
2004-04-26,10.7,11,10.6,10.7,10.7,18090800
2004-04-27,10.8,11.2,10.7,11.1,11.1,27527600
2004-04-28,10.9,11.2,10.8,10.9,10.9,38609700
2004-04-29,10.8,10.9,10.4,10.4,10.4,16712900
2004-04-30,10.4,10.6,10.1,10.2,10.2,17799400
2004-05-04,10.4,10.4,10.1,10.2,10.2,9068800
2004-05-06,10.3,10.4,9.85,9.85,9.85,8276100
2004-05-07,9.9,9.9,9.1,9.6,9.6,19850900
2004-05-10,9.3,9.35,8.9,8.9,8.9,12252100
2004-05-11,9,9.35,8.9,9.15,9.15,17115900
2004-05-12,9.3,9.6,9.3,9.4,9.4,22279500
2004-05-13,9.5,9.65,9.05,9.05,9.05,15014000
2004-05-14,9.15,9.15,9,9.05,9.05,3761800
2004-05-17,8.95,9,8.55,8.55,8.55,6385100
2004-05-18,8.75,8.85,8.5,8.7,8.7,5372600
2004-05-19,8.9,9.45,8.85,9.4,9.4,11371900
2004-05-20,9.25,9.3,8.85,8.9,8.9,8124800
2004-05-21,9.05,9.75,9,9.6,9.6,19758000
2004-05-24,9.7,10.1,9.5,9.6,9.6,28017800
2004-05-25,9.45,9.5,9.15,9.2,9.2,7009600
2004-05-26,9.5,9.6,9.15,9.25,9.25,8860000
2004-05-27,9.35,9.6,9.35,9.55,9.55,11679500
2004-05-28,9.75,9.85,9.4,9.4,9.4,18402500
2004-05-31,9.15,9.35,9.1,9.35,9.35,5185800
2004-06-01,9.45,9.5,9.2,9.2,9.2,6917600
2004-06-03,9.35,9.35,9.05,9.1,9.1,4103400
2004-06-04,9.1,9.25,9,9.1,9.1,3951500
2004-06-07,9.2,9.3,9.05,9.05,9.05,6005400
2004-06-08,9.15,9.15,8.85,8.9,8.9,4178300
2004-06-09,8.8,8.9,8.75,8.8,8.8,1726500
2004-06-10,8.8,9.1,8.8,9,9,3752800
2004-06-11,9.05,9.2,8.95,9,9,6086200
2004-06-14,9.1,9.1,8.8,8.8,8.8,2225600
2004-06-15,8.8,8.95,8.8,8.9,8.9,1597600
2004-06-16,9.05,9.15,9,9.15,9.15,5046600
2004-06-17,9.1,9.2,8.9,8.9,8.9,5016600
2004-06-18,8.9,9,8.85,8.9,8.9,1030700
2004-06-21,9,9.05,8.95,8.95,8.95,1099800
2004-06-22,9,9.2,8.95,9,9,5518000
2004-06-23,9,9.05,8.9,8.9,8.9,1496500
2004-06-24,9,9.1,8.95,9,9,2438900
2004-06-25,9.1,9.1,9,9,9,2873800
2004-06-28,9.05,9.3,9,9.3,9.3,10943500
2004-06-29,9.3,9.35,9.1,9.1,9.1,4364500
2004-06-30,9.15,9.2,8.95,8.95,8.95,3544600
2004-07-02,8.95,9,8.9,8.95,8.95,1078600
2004-07-05,8.95,9.05,8.9,9,9,884000
2004-07-06,9.05,9.2,9.05,9.1,9.1,5639700
2004-07-07,9.05,9.15,9,9.05,9.05,2033500
2004-07-08,9.1,9.1,8.9,8.9,8.9,1949900
2004-07-09,8.95,9.05,8.85,9.05,9.05,4005500
2004-07-12,9.1,9.1,8.95,8.95,8.95,2140500
2004-07-13,9.05,9.3,9.05,9.1,9.1,15174700
2004-07-14,9.25,9.25,8.95,8.95,8.95,7124100
2004-07-15,9,9.1,8.9,8.95,8.95,1993100
2004-07-16,8.95,9.05,8.9,8.9,8.9,2425800
2004-07-19,9,9,8.85,8.9,8.9,768800
2004-07-20,8.9,9,8.85,8.85,8.85,1056400
2004-07-21,8.95,9.1,8.9,9,9,3010500
2004-07-22,9,9.15,8.95,8.95,8.95,6488200
2004-07-23,9,9.15,9,9.05,9.05,5140200
2004-07-26,9.1,9.1,8.9,8.9,8.9,2808900
2004-07-27,8.9,8.95,8.65,8.65,8.65,2848400
2004-07-28,8.75,8.75,8.25,8.4,8.4,2397000
2004-07-29,8.4,8.45,8.25,8.45,8.45,855900
2004-07-30,8.45,8.55,8.4,8.5,8.5,311800
2004-08-03,8.5,8.5,8.25,8.25,8.25,504800
2004-08-04,8,8,7.7,7.7,7.7,816500
