Date,Open,High,Low,Close,Adj Close,Volume
2015-11-24,0.9,0.92,0.9,0.92,0.92,810300
2015-11-25,0.93,0.93,0.91,0.92,0.92,776700
2015-11-26,0.9,0.9,0.88,0.89,0.89,276200
2015-11-27,0.87,0.89,0.84,0.88,0.88,578600
2015-11-30,0.87,0.9,0.87,0.9,0.9,538800
2015-12-01,0.89,0.89,0.87,0.87,0.87,201800
2015-12-02,0.87,0.87,0.77,0.79,0.79,3626600
2015-12-03,0.81,0.83,0.81,0.83,0.83,2414600
2015-12-04,0.78,0.79,0.76,0.77,0.77,978200
2015-12-08,0.75,0.79,0.75,0.78,0.78,218100
2015-12-09,0.77,0.78,0.69,0.71,0.71,671000
2015-12-11,0.64,0.75,0.64,0.75,0.75,1177800
2015-12-14,0.68,0.75,0.68,0.72,0.72,714800
2015-12-15,0.7,0.7,0.62,0.62,0.62,1797000
2015-12-16,0.6,0.6,0.46,0.48,0.48,4007600
2015-12-17,0.5,0.58,0.49,0.58,0.58,4149900
2015-12-18,0.57,0.61,0.57,0.59,0.59,902400
2015-12-21,0.6,0.67,0.6,0.65,0.65,1265900
2015-12-22,0.63,0.63,0.55,0.56,0.56,596700
2015-12-23,0.58,0.66,0.58,0.62,0.62,1109800
2015-12-24,0.65,0.68,0.65,0.66,0.66,880800
2015-12-25,0.66,0.68,0.64,0.64,0.64,1795800
2015-12-28,0.64,0.67,0.63,0.63,0.63,2944100
2015-12-29,0.61,0.63,0.58,0.63,0.63,1560600
2015-12-30,0.64,0.64,0.59,0.61,0.61,2032000
2016-01-04,0.62,0.63,0.59,0.6,0.6,1584300
2016-01-05,0.63,0.68,0.63,0.67,0.67,1389000
2016-01-06,0.63,0.66,0.62,0.63,0.63,6379800
2016-01-07,0.6,0.62,0.57,0.59,0.59,1987100
2016-01-08,0.57,0.57,0.57,0.57,0.57,300500
2016-01-11,0.54,0.54,0.51,0.51,0.51,944200
2016-01-12,0.53,0.58,0.52,0.58,0.58,1286700
2016-01-13,0.58,0.61,0.57,0.59,0.59,486300
2016-01-14,0.57,0.62,0.57,0.58,0.58,562200
2016-01-15,0.56,0.58,0.54,0.54,0.54,1693000
