Date,Open,High,Low,Close,Adj Close,Volume
2010-08-20,2.62,2.7,2.42,2.5,2.5,8843600
2010-08-23,2.52,2.6,2.38,2.5,2.5,2617500
2010-08-24,2.48,2.52,2.44,2.5,2.5,3052700
2010-08-25,2.5,2.64,2.5,2.62,2.62,7566800
2010-08-26,2.62,2.76,2.62,2.76,2.76,1958100
2010-08-27,2.9,3.08,2.82,3.08,3.08,3328400
2010-08-30,3.1,3.34,3.08,3.12,3.12,2589800
2010-08-31,3.14,3.14,2.88,2.98,2.98,1664500
2010-09-01,2.96,3.06,2.9,3.04,3.04,827400
2010-09-02,3.1,3.14,3.04,3.08,3.08,1064900
2010-09-03,3.06,3.16,3.06,3.14,3.14,1423200
2010-09-06,3.06,3.24,3.06,3.22,3.22,1122600
2010-09-07,3.14,3.16,3,3,3,559800
2010-09-08,2.96,3.04,2.92,2.94,2.94,938800
2010-09-09,2.96,2.98,2.96,2.96,2.96,361000
2010-09-10,2.98,2.98,2.92,2.96,2.96,281800
2010-09-13,2.84,2.96,2.84,2.88,2.88,545800
2010-09-14,2.88,2.9,2.76,2.76,2.76,551300
2010-09-15,2.58,2.84,2.58,2.76,2.76,248600
2010-09-16,2.72,2.72,2.7,2.72,2.72,235700
2010-09-17,2.64,2.68,2.64,2.68,2.68,151300
2010-09-20,2.68,2.68,2.5,2.66,2.66,239500
2010-09-21,2.5,2.58,2.48,2.48,2.48,111400
2010-09-22,2.48,2.6,2.48,2.52,2.52,64500
2010-09-23,2.52,2.54,2.5,2.52,2.52,39700
2010-09-24,2.52,2.54,2.5,2.52,2.52,115900
2010-09-27,2.52,2.52,2.5,2.5,2.5,1009000
2010-09-28,2.5,2.5,2.48,2.48,2.48,50600
2010-09-29,2.52,2.78,2.52,2.6,2.6,58000
2010-09-30,2.56,2.56,2.48,2.5,2.5,528300
2010-10-01,2.5,2.5,2.5,2.5,2.5,12200
2010-10-04,2.5,2.5,2.46,2.46,2.46,114200
2010-10-05,2.46,2.62,2.46,2.56,2.56,364000
