Date,Open,High,Low,Close,Adj Close,Volume
2008-01-21,2.2,2.36,1.59,1.63,1.63,104761904
2008-01-22,1.61,1.7,1.44,1.57,1.57,73224896
2008-01-23,1.62,1.74,1.61,1.63,1.63,77210000
2008-01-24,1.63,1.64,1.35,1.35,1.35,22459600
2008-01-25,1.41,1.62,1.37,1.6,1.6,56089800
2008-01-28,1.59,1.68,1.58,1.61,1.61,44576000
2008-01-29,1.65,1.78,1.64,1.77,1.77,64492600
2008-01-30,1.79,1.85,1.77,1.8,1.8,47678900
2008-01-31,1.8,1.8,1.7,1.7,1.7,23020100
2008-02-01,1.71,1.76,1.63,1.65,1.65,13781900
2008-02-04,1.66,1.7,1.61,1.63,1.63,8947300
2008-02-05,1.64,1.69,1.61,1.63,1.63,11000200
2008-02-06,1.62,1.62,1.54,1.56,1.56,7335400
2008-02-07,1.57,1.63,1.56,1.61,1.61,15341700
2008-02-08,1.64,1.66,1.59,1.6,1.6,11736601
2008-02-11,1.61,1.61,1.55,1.55,1.55,3519800
2008-02-12,1.56,1.61,1.56,1.57,1.57,5929100
2008-02-13,1.57,1.57,1.5,1.5,1.5,5100901
2008-02-14,1.53,1.55,1.49,1.49,1.49,5133702
2008-02-15,1.49,1.49,1.4,1.41,1.41,1886403
2008-02-18,1.41,1.44,1.4,1.41,1.41,1824000
2008-02-19,1.42,1.61,1.42,1.61,1.61,23437000
2008-02-20,1.62,1.63,1.52,1.54,1.54,14285300
2008-02-22,1.52,1.53,1.49,1.5,1.5,3877300
2008-02-25,1.51,1.57,1.51,1.54,1.54,7586701
2008-02-26,1.56,1.56,1.45,1.45,1.45,5400900
2008-02-27,1.48,1.52,1.47,1.49,1.49,5978300
2008-02-28,1.49,1.51,1.47,1.47,1.47,3008400
2008-02-29,1.49,1.49,1.44,1.44,1.44,1446600
2008-03-03,1.44,1.47,1.42,1.43,1.43,873100
2008-03-04,1.45,1.48,1.43,1.43,1.43,1123300
2008-03-05,1.43,1.48,1.43,1.45,1.45,4042600
2008-03-06,1.46,1.48,1.45,1.46,1.46,1693300
2008-03-07,1.45,1.48,1.41,1.41,1.41,1512100
2008-03-10,1.42,1.43,1.38,1.38,1.38,1679102
2008-03-11,1.39,1.41,1.38,1.41,1.41,496500
2008-03-12,1.42,1.44,1.39,1.39,1.39,1522510
