Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,10.6,14.7,9.85,14.7,14.7,331275700
2018-06-21,14.8,15.9,11.5,12.9,12.9,317829100
2018-06-22,13.3,13.4,11.4,11.7,11.7,70742100
2018-06-25,11.6,13.3,11.4,13.3,13.3,65868000
2018-06-26,13.3,14.5,12.7,13.6,13.6,136069500
2018-06-27,13.7,14.5,13.5,13.9,13.9,87567900
2018-06-28,13.9,14.1,13.3,13.3,13.3,42408500
2018-06-29,13.5,13.6,12.1,12.2,12.2,38673600
2018-07-02,12.5,13.4,12.4,13.4,13.4,28268400
2018-07-03,13.4,13.7,12.8,13.2,13.2,39132700
2018-07-04,13.1,13.4,12.8,12.9,12.9,17798900
2018-07-05,12.8,12.9,11.8,12,12,22264900
2018-07-06,12.2,12.8,12.1,12.6,12.6,22155800
2018-07-09,12.7,13.2,12.6,12.9,12.9,21408100
2018-07-10,13,13.3,12.8,13.2,13.2,17075600
2018-07-11,13.1,13.6,12.4,12.4,12.4,42838500
2018-07-12,12.5,12.6,12.3,12.5,12.5,9561500
2018-07-13,12.7,13.1,12.7,12.7,12.7,12704300
2018-07-16,12.8,12.8,12.5,12.5,12.5,6245200
2018-07-17,12.6,12.6,12.2,12.4,12.4,4482100
2018-07-18,12.7,13.1,12.6,13.1,13.1,13420600
2018-07-19,13,13.3,12.9,13,13,12391100
2018-07-20,13.1,13.8,13,13.4,13.4,40273600
2018-07-23,13.4,13.6,13.1,13.5,13.5,18343500
2018-07-24,13.8,14.4,13.7,13.8,13.8,49213300
2018-07-25,13.8,14,13.6,13.9,13.9,16794800
2018-07-26,13.9,14.1,13.8,13.9,13.9,9309600
2018-07-31,14,14.2,13.8,13.8,13.8,11002200
2018-08-01,13.8,14.1,13.8,13.9,13.9,8842900
2018-08-02,13.9,15.3,13.8,15.3,15.3,41497200
2018-08-03,15.4,16.3,14.8,16.1,16.1,84899400
2018-08-06,16,16.3,15.4,15.5,15.5,43788700
2018-08-07,15.6,16.4,15.4,16,16,44576600
2018-08-08,16.1,16.3,14.9,14.9,14.9,32283800
2018-08-09,14.9,15.1,14.2,14.6,14.6,33026400
2018-08-10,15.4,15.7,14,14.2,14.2,49948200
2018-08-14,14.1,14.5,14.1,14.4,14.4,13600300
2018-08-15,14.4,14.7,14.3,14.5,14.5,17224900
2018-08-16,14.7,14.9,14.5,14.8,14.8,20049200
2018-08-17,14.8,15.1,14.2,14.2,14.2,24164800
2018-08-20,14.5,14.5,14.2,14.2,14.2,9806900
2018-08-21,14.2,14.2,13.7,13.7,13.7,15489300
2018-08-22,13.7,14,13.7,13.9,13.9,11134300
2018-08-23,14,14.2,13.9,14,14,5925800
2018-08-24,14,14,13.8,13.9,13.9,2808000
2018-08-27,14.1,14.4,13.9,14,14,14257200
2018-08-28,14.2,14.3,13.7,13.8,13.8,13495800
2018-08-29,13.8,13.9,13.7,13.8,13.8,4388400
2018-08-30,13.9,14.1,13.8,13.9,13.9,6463500
2018-08-31,13.8,13.9,13.8,13.8,13.8,4559900
2018-09-03,13.8,13.9,13.2,13.7,13.7,19123500
2018-09-04,13.6,13.7,13.5,13.6,13.6,3639400
2018-09-05,13.5,13.6,13.4,13.4,13.4,3908400
2018-09-06,13.4,13.8,13.4,13.5,13.5,3893600
2018-09-07,13.6,13.8,13.5,13.7,13.7,5084500
2018-09-10,13.6,13.8,13.6,13.7,13.7,3280100
2018-09-11,13.8,14.1,13.6,13.6,13.6,12953200
2018-09-12,13.7,13.7,13.3,13.4,13.4,6228700
2018-09-13,13.5,13.6,13.4,13.6,13.6,4712400
2018-09-14,13.6,13.8,13.5,13.5,13.5,4250300
2018-09-17,13.5,14,13.4,14,14,9134600
2018-09-18,14.2,14.4,14,14.3,14.3,16017300
2018-09-19,14.4,14.6,14.2,14.3,14.3,14681000
2018-09-20,14.5,14.6,13.8,13.9,13.9,14880900
2018-09-21,14,14.1,13.8,13.8,13.8,5738700
2018-09-24,13.9,14.1,13.8,13.9,13.9,6030500
2018-09-25,13.9,14.3,13.9,14.1,14.1,7982000
2018-09-26,14.3,14.3,14.2,14.3,14.3,4935300
2018-09-27,14.5,15.2,14.5,15.2,15.2,54303800
2018-09-28,15.2,15.3,14.8,15.3,15.3,22209200
2018-10-01,15.3,15.3,15,15.1,15.1,8329600
2018-10-02,15.1,15.7,15,15.4,15.4,21136100
2018-10-03,15.3,15.6,14.9,14.9,14.9,15643000
2018-10-04,14.7,14.9,14.6,14.7,14.7,7301100
2018-10-05,14.6,14.7,14.2,14.4,14.4,7232000
2018-10-08,14.4,14.6,13.8,13.9,13.9,8617100
2018-10-09,13.9,14.1,13.7,13.8,13.8,6393000
2018-10-10,13.9,14.1,13.8,14.1,14.1,3338200
2018-10-11,13.6,13.9,13.5,13.7,13.7,4437700
2018-10-12,13.7,14.1,13.7,13.9,13.9,3607800
2018-10-16,14,14.1,13.9,14,14,1221400
2018-10-17,14.1,14.2,13.8,13.8,13.8,2831300
2018-10-18,13.8,13.9,13.7,13.7,13.7,1250700
2018-10-19,13.6,13.8,13.5,13.8,13.8,2003500
2018-10-22,13.7,13.8,13.5,13.6,13.6,1609000
2018-10-24,13.5,13.5,13.1,13.4,13.4,2775500
2018-10-25,13.1,13.6,12.9,13.5,13.5,4144600
2018-10-26,13.5,14.1,13.3,14,14,5933900
2018-10-29,14.2,14.4,13.9,14,14,7049000
2018-10-30,14,14.3,13.9,14,14,5555500
2018-10-31,14,14.4,14,14.4,14.4,7462000
2018-11-01,14.4,14.5,14,14,14,8009500
2018-11-02,14.1,14.3,14,14.1,14.1,3599500
2018-11-05,14.1,14.1,13.7,13.8,13.8,4552200
2018-11-06,13.9,14.2,13.9,13.9,13.9,4040000
2018-11-07,14,14.4,13.9,14.4,14.4,7577900
2018-11-08,14.4,14.8,14.3,14.4,14.4,14436600
2018-11-09,14.3,14.5,14.3,14.4,14.4,4470400
2018-11-12,14.5,14.7,14.3,14.3,14.3,8266600
2018-11-13,14.1,14.5,14,14.5,14.5,4901100
2018-11-14,14.5,14.9,14.4,14.6,14.6,11345600
2018-11-15,14.6,14.7,14.3,14.3,14.3,5371800
2018-11-16,14.3,14.5,13.8,14.1,14.1,5404900
2018-11-19,14.1,14.1,13.9,14,14,782300
2018-11-20,14,14,13.8,13.9,13.9,1996900
2018-11-21,13.8,14.1,13.8,14,14,1419200
2018-11-22,14,14.1,13.8,13.8,13.8,1147100
2018-11-23,13.8,14,13.8,14,14,1197800
2018-11-26,14,14.1,13.9,13.9,13.9,1050700
2018-11-27,13.9,14.1,13.9,14,14,674300
2018-11-28,14,14.3,14,14.1,14.1,2069100
2018-11-29,14.2,14.3,14,14,14,1206800
2018-11-30,14,14.1,13.9,14,14,401300
2018-12-03,14.2,14.3,14.1,14.1,14.1,2698700
2018-12-04,14.1,14.3,14,14.2,14.2,2474400
2018-12-06,14,14.1,13.8,13.9,13.9,1451000
2018-12-07,14,14,13.7,13.8,13.8,3081300
2018-12-11,13.7,13.9,13.7,13.7,13.7,870100
2018-12-12,13.8,13.9,13.7,13.8,13.8,419600
2018-12-13,13.9,13.9,13.5,13.5,13.5,3001900
2018-12-14,13.6,13.7,13.4,13.5,13.5,1381400
2018-12-17,13.5,13.5,13.2,13.4,13.4,2382000
2018-12-18,13.2,13.3,13,13.1,13.1,2095900
2018-12-19,13.3,13.8,13.1,13.7,13.7,3204900
2018-12-20,13.8,14.2,13.7,14.1,14.1,3692500
2018-12-21,14,14.2,13.9,14,14,1725100
2018-12-24,14,14.1,13.6,13.8,13.8,2973700
2018-12-25,13.5,13.7,13.2,13.4,13.4,3427800
2018-12-26,13.4,13.5,12.9,13,13,6316000
2018-12-27,13.4,13.5,13.2,13.2,13.2,2129600
2018-12-28,13.3,13.6,13.1,13.6,13.6,2994400
2019-01-02,13.1,13.3,13,13.2,13.2,1012200
2019-01-03,13.2,13.3,13,13,13,744500
2019-01-04,13,13.2,12.9,13.2,13.2,612700
2019-01-07,13.2,13.2,13,13.1,13.1,841800
2019-01-08,13.1,13.2,13.1,13.2,13.2,258100
2019-01-09,13.20,13.20,13.20,13.20,13.20,778400
