Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,0.51,0.52,0.5,0.52,0.52,3399200
2018-08-29,0.5,0.54,0.5,0.52,0.52,4721600
2018-08-30,0.53,0.53,0.52,0.52,0.52,3475900
2018-08-31,0.52,0.52,0.51,0.51,0.51,1232200
2018-09-03,0.49,0.49,0.48,0.48,0.48,7764000
2018-09-04,0.48,0.48,0.43,0.43,0.43,5012400
2018-09-05,0.42,0.45,0.41,0.42,0.42,5303400
2018-09-11,0.41,0.42,0.4,0.41,0.41,5238400
2018-09-12,0.4,0.42,0.25,0.32,0.32,10636100
2018-09-13,0.32,0.35,0.32,0.35,0.35,4832400
2018-09-14,0.35,0.45,0.33,0.42,0.42,9746900
2018-09-17,0.43,0.51,0.43,0.5,0.5,9911800
2018-09-18,0.49,0.53,0.49,0.52,0.52,3737300
2018-09-19,0.51,0.52,0.5,0.5,0.5,1863300
2018-09-20,0.5,0.51,0.47,0.48,0.48,4920600
2018-09-21,0.48,0.5,0.45,0.48,0.48,3990400
2018-09-24,0.45,0.46,0.45,0.45,0.45,1375200
2018-09-25,0.46,0.47,0.46,0.46,0.46,3451500
2018-09-26,0.47,0.49,0.45,0.45,0.45,1333800
2018-09-27,0.46,0.46,0.44,0.46,0.46,1581000
2018-09-28,0.46,0.48,0.46,0.47,0.47,1974300
2018-10-01,0.49,0.51,0.48,0.48,0.48,1746000
2018-10-02,0.46,0.47,0.46,0.46,0.46,2226600
2018-10-03,0.45,0.46,0.43,0.43,0.43,1146400
2018-10-04,0.43,0.43,0.4,0.41,0.41,1913000
2018-10-05,0.41,0.41,0.37,0.37,0.37,1309700
2018-10-08,0.37,0.4,0.36,0.36,0.36,2714400
2018-10-09,0.36,0.36,0.33,0.33,0.33,1808600
2018-10-10,0.36,0.36,0.33,0.33,0.33,852600
2018-10-11,0.3,0.3,0.29,0.29,0.29,1008600
2018-10-12,0.29,0.29,0.28,0.29,0.29,2616000
2018-10-16,0.33,0.33,0.29,0.31,0.31,1022000
2018-10-17,0.31,0.39,0.31,0.38,0.38,2160000
2018-10-18,0.36,0.37,0.33,0.36,0.36,3257800
2018-10-19,0.35,0.38,0.34,0.37,0.37,2536000
2018-10-22,0.37,0.37,0.35,0.36,0.36,238000
2018-10-24,0.34,0.37,0.34,0.34,0.34,877600
2018-10-25,0.3,0.32,0.29,0.32,0.32,1725000
2018-10-26,0.32,0.34,0.32,0.34,0.34,410600
2018-10-29,0.35,0.4,0.34,0.38,0.38,6007400
2018-10-30,0.4,0.4,0.37,0.37,0.37,1650400
2018-10-31,0.4,0.45,0.4,0.43,0.43,2711700
2018-11-01,0.42,0.44,0.42,0.44,0.44,1503900
2018-11-02,0.44,0.49,0.44,0.47,0.47,7329800
2018-11-05,0.46,0.49,0.46,0.47,0.47,2397200
2018-11-06,0.47,0.47,0.4,0.4,0.4,2660100
2018-11-07,0.4,0.43,0.38,0.41,0.41,3438500
2018-11-08,0.43,0.45,0.39,0.39,0.39,2459000
2018-11-09,0.4,0.41,0.39,0.4,0.4,2011500
2018-11-12,0.39,0.4,0.38,0.38,0.38,1074800
2018-11-13,0.37,0.4,0.37,0.4,0.4,1672200
2018-11-14,0.4,0.44,0.4,0.42,0.42,2648000
2018-11-15,0.39,0.4,0.37,0.38,0.38,2409400
2018-11-16,0.38,0.38,0.37,0.37,0.37,610000
2018-11-19,0.38,0.38,0.37,0.37,0.37,1014600
2018-11-20,0.37,0.37,0.3,0.3,0.3,1094400
2018-11-21,0.3,0.32,0.3,0.32,0.32,1855400
2018-11-22,0.31,0.32,0.26,0.26,0.26,1672900
2018-11-23,0.27,0.3,0.26,0.29,0.29,3140800
2018-11-26,0.3,0.35,0.3,0.35,0.35,3040600
2018-11-27,0.35,0.35,0.35,0.35,0.35,1348400
2018-11-28,0.34,0.35,0.34,0.35,0.35,824000
2018-11-29,0.36,0.36,0.34,0.34,0.34,1037000
2018-11-30,0.34,0.37,0.34,0.37,0.37,3108800
2018-12-03,0.39,0.39,0.35,0.35,0.35,5239500
2018-12-04,0.35,0.36,0.33,0.33,0.33,2447600
2018-12-06,0.32,0.32,0.3,0.31,0.31,1760800
2018-12-07,0.31,0.34,0.3,0.3,0.3,1549000
2018-12-11,0.31,0.31,0.31,0.31,0.31,2675100
2018-12-12,0.32,0.32,0.27,0.27,0.27,1075700
2018-12-13,0.29,0.29,0.25,0.25,0.25,1821400
2018-12-14,0.26,0.28,0.26,0.27,0.27,2301600
2018-12-17,0.26,0.27,0.24,0.25,0.25,3210200
2018-12-18,0.22,0.23,0.22,0.22,0.22,898200
2018-12-19,0.21,0.25,0.21,0.25,0.25,1745800
2018-12-20,0.23,0.24,0.22,0.23,0.23,3471900
2018-12-21,0.23,0.23,0.22,0.22,0.22,387800
2018-12-24,0.2,0.22,0.2,0.22,0.22,1247800
2018-12-25,0.21,0.22,0.2,0.2,0.2,2425900
2018-12-26,0.2,0.2,0.17,0.17,0.17,2048500
2018-12-27,0.19,0.19,0.16,0.17,0.17,1369600
2018-12-28,0.17,0.18,0.17,0.18,0.18,716800
2019-01-02,0.18,0.18,0.17,0.17,0.17,783600
2019-01-03,0.18,0.18,0.18,0.18,0.18,341600
2019-01-04,0.17,0.18,0.17,0.18,0.18,787200
