Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,1.96,1.96,1.96,1.96,1.96,7000
2015-05-06,1.97,1.97,1.97,1.97,1.97,7000
2015-05-12,1.98,2,1.98,2,2,800000
2015-05-13,1.99,1.99,1.97,1.97,1.97,800000
2015-05-14,1.96,1.96,1.96,1.96,1.96,2400
2015-05-18,1.93,1.93,1.89,1.89,1.89,1400000
2015-05-19,1.8,1.81,1.72,1.73,1.73,2933600
2015-05-20,1.72,1.72,1.72,1.72,1.72,2400
2015-05-22,1.7,1.7,1.62,1.62,1.62,1600200
2015-05-25,1.71,1.72,1.71,1.72,1.72,60000
2015-05-26,1.74,1.82,1.74,1.82,1.82,1800000
2015-05-27,1.81,1.81,1.77,1.79,1.79,1059000
2015-05-29,1.79,1.81,1.79,1.79,1.79,1500200
2015-06-03,1.78,1.78,1.78,1.78,1.78,873600
2015-06-09,1.81,1.84,1.79,1.84,1.84,505000
2015-06-11,1.75,1.75,1.74,1.74,1.74,800000
2015-06-16,1.87,1.89,1.85,1.89,1.89,2907600
2015-06-23,1.92,1.94,1.92,1.94,1.94,600000
2015-06-26,1.85,1.87,1.85,1.87,1.87,863000
2015-06-29,1.88,1.89,1.88,1.89,1.89,900000
2015-06-30,1.86,1.89,1.86,1.89,1.89,897200
2015-07-02,1.9,1.92,1.87,1.87,1.87,900000
2015-07-09,1.97,1.97,1.96,1.96,1.96,400000
2015-07-22,2.24,2.24,2.18,2.22,2.22,130000
2015-07-24,2.36,2.36,2.36,2.36,2.36,100000
2015-07-27,2.42,2.56,2.42,2.56,2.56,350000
2015-07-28,2.64,2.74,2.64,2.72,2.72,340000
2015-07-29,2.68,2.7,2.68,2.7,2.7,250000
2015-07-31,2.68,2.68,2.68,2.68,2.68,50000
2015-08-04,2.98,2.98,2.96,2.96,2.96,150000
2015-08-05,3.02,3.2,3.02,3.2,3.2,200000
2015-08-06,3.12,3.12,2.96,3.02,3.02,203500
2015-08-11,3.14,3.14,3.1,3.1,3.1,13000
2015-08-19,3.08,3.08,3.08,3.08,3.08,100
2015-08-25,3.12,3.14,3.12,3.14,3.14,521800
2015-08-26,3.16,3.16,3.16,3.16,3.16,10000
