Date,Open,High,Low,Close,Adj Close,Volume
2018-01-11,49.91,49.91,49.91,49.91,49.91,1
2018-01-15,49.16,49.16,49.16,49.16,49.16,1
2018-01-22,51.99,51.99,51.99,51.99,51.99,1
2018-01-26,50.67,50.67,50.67,50.67,50.67,1
2018-01-29,50.01,50.01,50.01,50.01,50.01,1
2018-02-05,47.99,47.99,47.99,47.99,47.99,1
2018-02-06,45.44,46.07,45.44,46.07,46.07,2
2018-02-27,45.34,45.34,45.34,45.34,45.34,1
2018-03-20,45.79,45.79,45.79,45.79,45.79,100
2018-03-21,45.09,45.09,45.09,45.09,45.09,100
2018-04-03,44.51,44.51,44.51,44.51,44.51,1
2018-04-24,49.71,49.71,49.71,49.71,49.71,1
2018-05-11,48,48,48,48,48,20
2018-05-16,46,46,46,46,46,2
2018-05-17,45.24,45.24,45.24,45.24,45.24,501
2018-05-18,44.73,44.73,44.73,44.73,44.73,500
2018-06-01,44.75,44.75,44.75,44.75,44.75,2
2018-06-07,46.48,46.73,46.48,46.73,46.73,2
2018-06-11,48.48,48.98,48.48,48.98,48.98,3
2018-06-12,49.23,49.32,48.48,48.48,48.48,17
2018-06-13,48.25,48.45,48.25,48.45,48.45,2
2018-06-14,48.75,48.95,48.75,48.95,48.95,2
2018-06-15,46,46.01,45.75,45.94,45.94,2014
2018-06-18,45.18,45.18,44.93,44.93,44.93,1603
2018-06-19,43.89,43.89,43.89,43.89,43.89,401
2018-06-20,42.92,42.92,42.9,42.9,42.9,5
2018-06-22,36.06,36.06,36.06,36.06,36.06,1
2018-06-25,37.24,37.24,37.24,37.24,37.24,200
2018-06-28,38.68,38.68,36.75,36.75,36.75,312
2018-06-29,36.33,36.58,36.33,36.58,36.58,6
2018-07-04,39.13,39.24,39.13,39.24,39.24,205
2018-07-05,40.08,40.08,39,39,39,102
2018-07-06,38.99,38.99,38.99,38.99,38.99,1
2018-07-10,38.5,38.5,38.5,38.5,38.5,1
2018-07-11,39,39,39,39,39,1
2018-07-16,37.75,37.75,37.75,37.75,37.75,200
2018-07-17,36.57,36.57,36.57,36.57,36.57,201
2018-07-18,35.73,36.38,35.73,36.38,36.38,10
2018-07-19,38.5,38.5,38.5,38.5,38.5,1
2018-07-20,39,39.5,39,39.5,39.5,104
2018-07-24,40,40,40,40,40,2
2018-07-25,40,40.5,40,40.01,40.01,3
2018-07-26,40.5,40.5,40.5,40.5,40.5,1
2018-08-01,41,41,41,41,41,1
2018-08-03,41.25,41.25,41.25,41.25,41.25,1
2018-08-06,41.9,41.95,41.34,41.34,41.34,13
2018-08-07,40.66,40.66,40.25,40.25,40.25,2
2018-08-08,43.22,44.88,43.22,44.88,44.88,346
2018-08-09,45.5,45.5,44.7,45.4,45.4,103
2018-08-10,45.5,45.5,45.5,45.5,45.5,1
2018-08-14,44.76,44.76,44.76,44.76,44.76,1
2018-08-15,44.75,44.75,44.71,44.71,44.71,102
