Date,Open,High,Low,Close,Adj Close,Volume
2018-04-20,0.79,0.8,0.75,0.77,0.77,5452100
2018-04-23,0.76,0.76,0.7,0.7,0.7,9371800
2018-04-24,0.7,0.74,0.65,0.66,0.66,18645000
2018-04-25,0.65,0.69,0.6,0.61,0.61,14019400
2018-04-26,0.63,0.68,0.63,0.66,0.66,23068400
2018-04-27,0.68,0.74,0.68,0.74,0.74,22500800
2018-04-30,0.77,0.81,0.7,0.71,0.71,23737900
2018-05-02,0.72,0.76,0.71,0.74,0.74,15572300
2018-05-03,0.74,0.79,0.74,0.75,0.75,25034500
2018-05-04,0.74,0.77,0.71,0.71,0.71,19209900
2018-05-07,0.73,0.74,0.67,0.67,0.67,16869000
2018-05-08,0.64,0.64,0.62,0.64,0.64,7334100
2018-05-09,0.63,0.66,0.62,0.65,0.65,8438200
2018-05-10,0.65,0.65,0.6,0.6,0.6,10286300
2018-05-11,0.61,0.65,0.61,0.65,0.65,12723000
2018-05-14,0.7,0.72,0.68,0.69,0.69,18051600
2018-05-15,0.67,0.71,0.66,0.66,0.66,21019500
2018-05-16,0.65,0.65,0.61,0.61,0.61,3603200
2018-05-17,0.64,0.67,0.64,0.65,0.65,14187800
2018-05-18,0.67,0.82,0.67,0.72,0.72,33925300
2018-05-21,0.78,0.78,0.72,0.73,0.73,12346300
2018-05-22,0.73,0.74,0.71,0.71,0.71,8402900
2018-05-23,0.7,0.77,0.7,0.77,0.77,12488800
2018-05-24,0.75,0.81,0.75,0.79,0.79,14599700
2018-05-25,0.81,0.84,0.77,0.78,0.78,9475100
2018-05-28,0.8,0.85,0.78,0.84,0.84,11636600
2018-05-30,0.81,0.84,0.7,0.72,0.72,18379600
2018-05-31,0.74,0.76,0.71,0.74,0.74,7842700
2018-06-01,0.72,0.75,0.69,0.7,0.7,9901500
2018-06-04,0.68,0.71,0.65,0.69,0.69,5587800
2018-06-05,0.71,0.77,0.71,0.75,0.75,13326400
2018-06-06,0.76,0.76,0.73,0.73,0.73,7702600
2018-06-07,0.75,0.77,0.74,0.74,0.74,5773300
2018-06-08,0.72,0.72,0.69,0.71,0.71,3393600
2018-06-11,0.69,0.72,0.69,0.7,0.7,1597300
2018-06-12,0.71,0.73,0.71,0.72,0.72,7837600
2018-06-13,0.73,0.74,0.68,0.68,0.68,6915900
2018-06-14,0.67,0.67,0.63,0.64,0.64,5674300
2018-06-15,0.64,0.64,0.58,0.59,0.59,5481800
2018-06-18,0.56,0.57,0.54,0.54,0.54,5413900
2018-06-19,0.51,0.52,0.47,0.47,0.47,4634000
2018-06-20,0.48,0.49,0.48,0.49,0.49,6169500
2018-06-21,0.48,0.48,0.43,0.43,0.43,8017500
2018-06-22,0.43,0.45,0.42,0.42,0.42,7545800
2018-06-25,0.44,0.47,0.42,0.42,0.42,10697700
2018-06-26,0.42,0.45,0.42,0.44,0.44,10457400
2018-06-27,0.45,0.46,0.45,0.45,0.45,10380700
2018-06-28,0.44,0.44,0.4,0.41,0.41,6601800
2018-06-29,0.4,0.4,0.34,0.34,0.34,6040200
2018-07-02,0.36,0.36,0.29,0.31,0.31,4084600
2018-07-03,0.31,0.35,0.3,0.33,0.33,13671400
2018-07-04,0.33,0.35,0.31,0.31,0.31,11586800
2018-07-05,0.3,0.3,0.2,0.2,0.2,8805800
2018-07-06,0.2,0.25,0.18,0.23,0.23,18477600
2018-07-09,0.25,0.25,0.22,0.23,0.23,9281200
2018-07-10,0.23,0.29,0.23,0.29,0.29,11808900
2018-07-11,0.26,0.29,0.26,0.27,0.27,15254800
2018-07-12,0.27,0.33,0.27,0.32,0.32,16619900
2018-07-13,0.31,0.32,0.3,0.31,0.31,4502100
2018-07-16,0.3,0.34,0.3,0.31,0.31,12087800
2018-07-17,0.3,0.31,0.28,0.3,0.3,6677000
2018-07-18,0.31,0.32,0.29,0.31,0.31,5736900
2018-07-19,0.3,0.36,0.3,0.36,0.36,15477900
2018-07-20,0.36,0.37,0.34,0.36,0.36,11828300
