Date,Open,High,Low,Close,Adj Close,Volume
2018-04-23,0.38,0.38,0.34,0.34,0.34,250000
2018-04-24,0.35,0.37,0.3,0.3,0.3,8184600
2018-04-25,0.32,0.33,0.29,0.29,0.29,6714600
2018-04-26,0.31,0.33,0.31,0.32,0.32,9827800
2018-04-27,0.33,0.37,0.33,0.37,0.37,12265100
2018-04-30,0.39,0.41,0.35,0.36,0.36,12094000
2018-05-02,0.36,0.38,0.35,0.37,0.37,10966600
2018-05-03,0.37,0.4,0.37,0.38,0.38,7062500
2018-05-04,0.38,0.39,0.36,0.36,0.36,8473400
2018-05-07,0.37,0.37,0.32,0.32,0.32,9490500
2018-05-08,0.31,0.31,0.3,0.3,0.3,903800
2018-05-09,0.31,0.32,0.31,0.32,0.32,7268200
2018-05-10,0.32,0.32,0.29,0.29,0.29,8648600
2018-05-11,0.3,0.32,0.3,0.31,0.31,5423200
2018-05-14,0.36,0.36,0.34,0.34,0.34,11290000
2018-05-15,0.35,0.36,0.33,0.34,0.34,8798600
2018-05-16,0.32,0.32,0.3,0.3,0.3,2239900
2018-05-17,0.31,0.33,0.31,0.32,0.32,6600800
2018-05-18,0.33,0.43,0.33,0.38,0.38,18718100
2018-05-21,0.4,0.4,0.36,0.37,0.37,14530300
2018-05-22,0.38,0.39,0.36,0.37,0.37,10269000
2018-05-23,0.37,0.4,0.36,0.4,0.4,7009600
2018-05-24,0.39,0.42,0.39,0.42,0.42,6889100
2018-05-25,0.43,0.44,0.4,0.41,0.41,7477700
2018-05-28,0.42,0.45,0.42,0.45,0.45,3918100
2018-05-30,0.43,0.45,0.36,0.37,0.37,17627800
2018-05-31,0.4,0.41,0.38,0.39,0.39,1228100
2018-06-01,0.39,0.39,0.36,0.36,0.36,9522500
2018-06-04,0.36,0.37,0.33,0.36,0.36,5222600
2018-06-05,0.37,0.41,0.37,0.41,0.41,10663500
2018-06-06,0.4,0.4,0.39,0.39,0.39,308200
2018-06-07,0.4,0.41,0.4,0.4,0.4,4284000
2018-06-08,0.37,0.37,0.36,0.37,0.37,2256000
2018-06-11,0.37,0.38,0.37,0.37,0.37,4691900
2018-06-12,0.38,0.39,0.38,0.39,0.39,7169800
2018-06-13,0.39,0.4,0.36,0.36,0.36,4517200
2018-06-14,0.36,0.36,0.34,0.34,0.34,10173600
2018-06-15,0.34,0.34,0.29,0.3,0.3,6322200
2018-06-18,0.28,0.29,0.28,0.28,0.28,5640600
2018-06-19,0.26,0.26,0.24,0.24,0.24,8118400
2018-06-20,0.24,0.25,0.24,0.24,0.24,8479300
2018-06-21,0.24,0.24,0.21,0.21,0.21,15896300
2018-06-22,0.22,0.22,0.2,0.21,0.21,6268400
2018-06-25,0.23,0.24,0.21,0.21,0.21,24300600
2018-06-26,0.21,0.22,0.21,0.22,0.22,10389800
2018-06-27,0.23,0.24,0.22,0.23,0.23,6651000
2018-06-28,0.23,0.23,0.2,0.2,0.2,6163600
2018-06-29,0.19,0.19,0.17,0.17,0.17,8199000
2018-07-02,0.18,0.18,0.14,0.15,0.15,12011800
2018-07-03,0.15,0.18,0.15,0.15,0.15,2306200
2018-07-04,0.16,0.17,0.15,0.15,0.15,10112600
2018-07-05,0.15,0.15,0.1,0.1,0.1,8534600
2018-07-06,0.09,0.12,0.08,0.11,0.11,2831800
2018-07-09,0.12,0.12,0.11,0.11,0.11,2654800
2018-07-10,0.11,0.14,0.11,0.14,0.14,4861900
2018-07-11,0.13,0.15,0.13,0.13,0.13,3247800
2018-07-12,0.14,0.17,0.14,0.16,0.16,2227100
2018-07-13,0.16,0.16,0.15,0.16,0.16,2030400
2018-07-16,0.15,0.17,0.15,0.16,0.16,2896600
2018-07-17,0.16,0.16,0.15,0.15,0.15,2626500
2018-07-18,0.16,0.16,0.16,0.16,0.16,3065000
2018-07-19,0.16,0.2,0.16,0.19,0.19,1746800
2018-07-20,0.2,0.2,0.19,0.19,0.19,2733200
2018-07-23,0.21,0.23,0.19,0.22,0.22,9292900
2018-07-24,0.21,0.22,0.19,0.19,0.19,12357800
2018-07-25,0.2,0.2,0.16,0.17,0.17,8442200
2018-07-26,0.18,0.2,0.17,0.2,0.2,6708000
2018-07-31,0.18,0.2,0.18,0.2,0.2,14713700
2018-08-01,0.2,0.24,0.19,0.23,0.23,5144300
2018-08-02,0.22,0.22,0.19,0.2,0.2,7523100
