Date,Open,High,Low,Close,Adj Close,Volume
2016-04-11,0.52,0.52,0.52,0.52,0.52,304200
2016-04-12,0.52,0.53,0.52,0.52,0.52,6973100
2016-04-18,0.51,0.52,0.5,0.52,0.52,4423400
2016-04-19,0.52,0.52,0.52,0.52,0.52,202800
2016-04-20,0.52,0.52,0.52,0.52,0.52,807000
2016-04-21,0.52,0.52,0.52,0.52,0.52,601400
2016-04-22,0.51,0.52,0.51,0.51,0.51,2322700
2016-04-25,0.51,0.51,0.48,0.48,0.48,2601400
2016-04-26,0.49,0.49,0.49,0.49,0.49,101400
2016-04-27,0.49,0.49,0.49,0.49,0.49,500000
2016-04-28,0.48,0.5,0.48,0.5,0.5,2004200
2016-05-03,0.47,0.47,0.47,0.47,0.47,1605600
2016-05-04,0.46,0.46,0.46,0.46,0.46,202800
2016-05-09,0.43,0.45,0.43,0.44,0.44,450000
2016-05-10,0.45,0.45,0.44,0.44,0.44,510000
2016-05-16,0.43,0.46,0.43,0.46,0.46,60000
2016-05-18,0.44,0.44,0.44,0.44,0.44,700000
2016-05-19,0.43,0.43,0.43,0.43,0.43,1000000
2016-05-23,0.42,0.42,0.42,0.42,0.42,60000
2016-05-27,0.41,0.41,0.41,0.41,0.41,580000
2016-05-30,0.4,0.41,0.4,0.41,0.41,1900000
2016-05-31,0.4,0.4,0.4,0.4,0.4,60000
2016-06-06,0.38,0.38,0.37,0.38,0.38,1267000
2016-06-09,0.36,0.36,0.36,0.36,0.36,120000
2016-06-13,0.35,0.36,0.35,0.36,0.36,27829800
2016-06-16,0.34,0.34,0.34,0.34,0.34,120000
2016-06-20,0.33,0.34,0.33,0.34,0.34,870000
2016-06-21,0.33,0.35,0.33,0.34,0.34,2247600
2016-06-22,0.33,0.33,0.33,0.33,0.33,120000
2016-06-23,0.33,0.33,0.33,0.33,0.33,2330000
2016-06-24,0.31,0.33,0.3,0.33,0.33,1756500
2016-06-27,0.31,0.31,0.31,0.31,0.31,45000
2016-06-28,0.31,0.33,0.31,0.33,0.33,1133400
2016-06-29,0.33,0.36,0.33,0.34,0.34,3349200
2016-06-30,0.33,0.34,0.32,0.32,0.32,17228600
2016-07-04,0.31,0.31,0.3,0.3,0.3,200000
2016-07-05,0.31,0.33,0.31,0.33,0.33,1314700
2016-07-06,0.32,0.49,0.32,0.49,0.49,40246000
2016-07-07,0.52,0.53,0.42,0.42,0.42,5424200
2016-07-08,0.46,0.48,0.39,0.4,0.4,18747600
2016-07-11,0.41,0.42,0.39,0.42,0.42,1887200
2016-07-12,0.42,0.45,0.4,0.42,0.42,3612300
2016-07-13,0.44,0.44,0.4,0.4,0.4,1741000
2016-07-14,0.41,0.44,0.39,0.44,0.44,2060200
2016-07-15,0.41,0.41,0.41,0.41,0.41,573300
2016-07-20,0.36,0.37,0.34,0.37,0.37,1256500
2016-07-21,0.34,0.34,0.32,0.33,0.33,1116000
2016-07-22,0.33,0.33,0.29,0.29,0.29,2641400
2016-07-25,0.27,0.27,0.24,0.24,0.24,3880100
2016-07-26,0.24,0.28,0.23,0.23,0.23,8650000
2016-07-27,0.24,0.25,0.23,0.23,0.23,1887600
2016-07-28,0.24,0.24,0.22,0.23,0.23,900500
2016-07-29,0.22,0.23,0.22,0.23,0.23,843700
2016-08-01,0.21,0.22,0.21,0.22,0.22,133400
2016-08-02,0.21,0.21,0.21,0.21,0.21,202800
2016-08-03,0.21,0.24,0.21,0.22,0.22,5134800
2016-08-04,0.22,0.22,0.2,0.2,0.2,2326800
2016-08-05,0.2,0.2,0.19,0.2,0.2,1448600
2016-08-08,0.2,0.2,0.18,0.18,0.18,1605400
2016-08-09,0.18,0.18,0.17,0.17,0.17,2176800
2016-08-10,0.18,0.18,0.17,0.18,0.18,628300
2016-08-11,0.16,0.16,0.16,0.16,0.16,200600
2016-08-15,0.13,0.14,0.13,0.14,0.14,1597500
2016-08-16,0.12,0.13,0.12,0.13,0.13,1174300
2016-08-17,0.12,0.13,0.11,0.13,0.13,2846200
2016-08-18,0.12,0.12,0.11,0.11,0.11,629000
2016-08-19,0.11,0.11,0.1,0.11,0.11,302100
2016-08-22,0.09,0.1,0.09,0.09,0.09,2550000
2016-08-23,0.09,0.09,0.07,0.07,0.07,2651400
2016-08-24,0.07,0.07,0.07,0.07,0.07,2150000
2016-08-26,0.06,0.06,0.06,0.06,0.06,517000
2016-08-29,0.03,0.03,0.03,0.03,0.03,405600
2016-08-30,0.02,0.03,0.02,0.03,0.03,896500
2016-09-01,0.01,0.01,0.01,0.01,0.01,800000
2016-09-02,0.01,0.01,0.01,0.01,0.01,528400
