Date,Open,High,Low,Close,Adj Close,Volume
2018-02-23,0.69,0.73,0.68,0.73,0.73,810600
2018-02-26,0.71,0.78,0.71,0.78,0.78,3794400
2018-02-27,0.79,0.81,0.71,0.72,0.72,3060800
2018-02-28,0.72,0.74,0.72,0.72,0.72,1108000
2018-03-02,0.69,0.69,0.65,0.68,0.68,3432000
2018-03-05,0.66,0.73,0.65,0.72,0.72,2809100
2018-03-06,0.73,0.78,0.7,0.7,0.7,3186600
2018-03-07,0.71,0.71,0.67,0.68,0.68,5686600
2018-03-08,0.68,0.69,0.68,0.68,0.68,1747000
2018-03-09,0.7,0.73,0.67,0.69,0.69,1699500
2018-03-12,0.68,0.77,0.68,0.77,0.77,2858800
2018-03-13,0.76,0.79,0.74,0.77,0.77,2644400
2018-03-14,0.75,0.79,0.74,0.75,0.75,4914300
2018-03-15,0.75,0.76,0.7,0.71,0.71,1615200
2018-03-16,0.69,0.75,0.69,0.75,0.75,2836300
2018-03-19,0.72,0.75,0.71,0.73,0.73,1353000
2018-03-20,0.71,0.72,0.7,0.71,0.71,907100
2018-03-21,0.72,0.73,0.72,0.72,0.72,632100
2018-03-22,0.72,0.74,0.72,0.72,0.72,1486800
2018-03-23,0.69,0.7,0.68,0.68,0.68,553800
2018-03-26,0.68,0.68,0.67,0.67,0.67,642700
2018-03-27,0.68,0.68,0.68,0.68,0.68,235800
2018-03-28,0.67,0.68,0.67,0.67,0.67,744700
2018-03-29,0.67,0.67,0.6,0.6,0.6,1901100
2018-03-30,0.62,0.66,0.62,0.63,0.63,2337600
2018-04-02,0.66,0.69,0.66,0.68,0.68,951500
2018-04-03,0.67,0.69,0.61,0.61,0.61,1661000
2018-04-04,0.63,0.63,0.58,0.58,0.58,2643200
2018-04-05,0.58,0.61,0.58,0.61,0.61,946500
2018-04-09,0.55,0.59,0.55,0.58,0.58,1043000
2018-04-10,0.58,0.59,0.5,0.59,0.59,2909100
2018-04-11,0.59,0.62,0.59,0.61,0.61,2460000
2018-04-12,0.62,0.64,0.61,0.62,0.62,2075600
2018-04-17,0.59,0.61,0.57,0.57,0.57,1180700
2018-04-18,0.58,0.61,0.58,0.6,0.6,1026200
2018-04-19,0.61,0.68,0.6,0.67,0.67,3796800
2018-04-20,0.63,0.64,0.6,0.61,0.61,2484200
2018-04-23,0.6,0.6,0.6,0.6,0.6,125200
2018-04-24,0.59,0.61,0.57,0.58,0.58,2016200
2018-04-25,0.57,0.59,0.54,0.58,0.58,1362400
2018-04-26,0.58,0.59,0.55,0.59,0.59,878800
2018-04-27,0.57,0.57,0.49,0.52,0.52,5031800
2018-04-30,0.54,0.54,0.52,0.53,0.53,1958000
2018-05-02,0.53,0.6,0.53,0.6,0.6,3312800
2018-05-03,0.59,0.62,0.56,0.61,0.61,2127300
2018-05-04,0.59,0.6,0.56,0.58,0.58,1114400
2018-05-07,0.58,0.6,0.57,0.57,0.57,1242400
2018-05-08,0.58,0.58,0.57,0.57,0.57,558000
2018-05-09,0.58,0.64,0.58,0.63,0.63,4984200
2018-05-10,0.63,0.63,0.56,0.57,0.57,6393700
2018-05-11,0.58,0.59,0.57,0.58,0.58,710100
2018-05-14,0.59,0.61,0.59,0.61,0.61,1825900
2018-05-15,0.6,0.62,0.59,0.62,0.62,2366300
2018-05-16,0.6,0.61,0.56,0.57,0.57,2194900
2018-05-17,0.57,0.61,0.56,0.61,0.61,2045300
2018-05-18,0.6,0.6,0.58,0.59,0.59,1501800
2018-05-21,0.59,0.63,0.58,0.6,0.6,5782700
2018-05-22,0.6,0.6,0.59,0.6,0.6,213600
2018-05-23,0.6,0.62,0.6,0.6,0.6,440000
2018-05-24,0.61,0.66,0.59,0.65,0.65,1793800
2018-05-25,0.64,0.72,0.64,0.71,0.71,2892500
2018-05-28,0.69,0.7,0.66,0.67,0.67,2985100
2018-05-30,0.65,0.67,0.62,0.62,0.62,1846600
2018-05-31,0.63,0.75,0.63,0.73,0.73,4254900
2018-06-01,0.69,0.7,0.66,0.66,0.66,888200
2018-06-04,0.64,0.69,0.64,0.66,0.66,2642800
2018-06-05,0.7,0.73,0.68,0.71,0.71,3405300
2018-06-06,0.72,0.72,0.68,0.71,0.71,2958100
2018-06-07,0.71,0.72,0.7,0.72,0.72,2395000
2018-06-08,0.69,0.72,0.69,0.71,0.71,2855500
2018-06-11,0.68,0.68,0.65,0.66,0.66,4509900
2018-06-12,0.66,0.66,0.64,0.66,0.66,1444500
2018-06-13,0.65,0.65,0.59,0.59,0.59,2157200
2018-06-14,0.59,0.65,0.59,0.65,0.65,2045900
2018-06-15,0.62,0.65,0.62,0.63,0.63,1558900
2018-06-18,0.62,0.63,0.6,0.61,0.61,1129100
2018-06-19,0.58,0.6,0.51,0.52,0.52,3744100
2018-06-20,0.53,0.58,0.53,0.55,0.55,1944100
2018-06-21,0.55,0.58,0.53,0.53,0.53,1591700
2018-06-22,0.58,0.58,0.55,0.55,0.55,1123500
2018-06-25,0.53,0.55,0.51,0.52,0.52,2014400
2018-06-26,0.5,0.56,0.5,0.55,0.55,3148000
2018-06-27,0.54,0.55,0.51,0.54,0.54,2291800
2018-06-28,0.53,0.53,0.52,0.52,0.52,1461900
2018-06-29,0.49,0.5,0.46,0.46,0.46,2602100
2018-07-02,0.47,0.47,0.43,0.47,0.47,3148400
2018-07-03,0.45,0.46,0.44,0.45,0.45,1087400
2018-07-04,0.46,0.54,0.46,0.5,0.5,3136500
2018-07-05,0.52,0.52,0.49,0.49,0.49,367100
2018-07-06,0.49,0.52,0.49,0.49,0.49,1201800
2018-07-09,0.47,0.52,0.47,0.51,0.51,1295400
2018-07-10,0.53,0.56,0.52,0.55,0.55,3361800
2018-07-11,0.52,0.52,0.5,0.5,0.5,1947200
2018-07-12,0.5,0.55,0.5,0.52,0.52,3321800
2018-07-13,0.52,0.53,0.5,0.51,0.51,663700
2018-07-16,0.5,0.51,0.5,0.5,0.5,854800
2018-07-17,0.49,0.51,0.49,0.5,0.5,1934900
2018-07-18,0.5,0.5,0.42,0.45,0.45,4778600
2018-07-19,0.46,0.46,0.46,0.46,0.46,740300
