Date,Open,High,Low,Close,Adj Close,Volume
1993-04-26,52.125,52.125,42,42,42,10959200
1993-04-27,40.875,42,39.375,40.125,40.125,2188800
1993-04-28,40.125,42,39.375,41.25,41.25,1476800
1993-04-29,41.25,42,39.75,41.625,41.625,756800
1993-04-30,40.875,41.625,39,39.75,39.75,512400
1993-05-04,39,39.375,37.5,38.25,38.25,280800
1993-05-06,37.5,38.625,36.9375,38.25,38.25,474000
1993-05-07,37.5,39.75,37.125,39,39,414000
1993-05-10,38.25,38.625,37.5,37.875,37.875,82000
1993-05-11,37.125,37.5,36.1875,36.375,36.375,320400
1993-05-12,36.9375,39,36.9375,39,39,745200
1993-05-13,39,42.75,38.25,42.75,42.75,5066800
1993-05-14,42.75,44.25,40.5,41.25,41.25,3500000
1993-05-17,40.5,43.125,40.5,42,42,1812800
1993-05-18,41.625,42,39.75,40.125,40.125,862400
1993-05-19,40.125,40.875,39.375,40.125,40.125,603200
1993-05-20,39.75,40.5,38.25,38.625,38.625,604400
1993-05-21,39,39.75,39,39.375,39.375,271600
1993-05-24,38.625,38.625,37.5,38.25,38.25,193600
1993-05-25,37.5,38.625,37.3125,38.25,38.25,166400
1993-05-26,38.25,38.625,37.875,37.875,37.875,248400
1993-05-27,37.875,37.875,37.125,37.875,37.875,256400
1993-05-28,37.875,38.625,37.5,38.625,38.625,210800
1993-05-31,38.25,38.25,37.875,38.25,38.25,92800
1993-06-01,37.5,37.5,36.9375,37.5,37.5,152400
1993-06-02,36.375,37.5,36.375,37.5,37.5,117200
1993-06-03,37.125,38.25,37.125,37.875,37.875,126000
1993-06-07,37.5,38.25,36.9375,37.5,37.5,174000
1993-06-08,37.125,37.5,36.75,37.3125,37.3125,179200
1993-06-09,37.3125,37.5,37.125,37.5,37.5,85200
1993-06-10,37.5,37.5,36.9375,37.125,37.125,107600
1993-06-11,37.5,37.5,36.9375,37.5,37.5,97200
1993-06-14,37.875,41.25,37.5,40.5,40.5,3295600
1993-06-15,40.125,40.5,38.625,39.375,39.375,1282800
1993-06-16,39,39.375,38.625,38.625,38.625,318000
1993-06-17,38.25,40.125,38.25,40.125,40.125,806800
1993-06-18,40.5,43.125,40.125,40.875,40.875,5342000
1993-06-21,42,42,40.5,40.875,40.875,594400
1993-06-22,41.25,42.75,41.25,42.75,42.75,1758000
1993-06-23,43.875,44.25,41.625,41.625,41.625,3582400
1993-06-24,42,44.625,42,42.75,42.75,3459200
1993-06-25,42.75,43.5,42,42.75,42.75,628400
1993-06-28,42.75,42.75,41.25,41.625,41.625,742400
1993-06-29,41.625,42,40.125,40.5,40.5,584800
1993-06-30,40.125,40.875,39.75,40.875,40.875,253200
1993-07-02,40.875,41.25,40.125,40.875,40.875,228800
1993-07-05,40.125,41.25,40.125,41.25,41.25,360400
1993-07-06,41.625,41.625,40.125,40.5,40.5,242800
1993-07-07,40.5,41.25,40.5,41.25,41.25,344400
1993-07-08,41.25,41.25,40.5,40.5,40.5,132400
1993-07-09,40.5,42,40.5,41.25,41.25,623600
1993-07-12,41.25,43.5,41.25,42,42,1755600
1993-07-13,42,42.375,41.625,42.375,42.375,1046800
1993-07-14,43.125,45.375,42.75,43.125,43.125,10492000
1993-07-15,43.5,43.875,40.875,41.25,41.25,2465200
1993-07-16,41.25,41.625,40.5,41.625,41.625,642000
1993-07-19,41.625,42.75,41.625,42.75,42.75,646400
1993-07-20,42.75,42.75,41.25,42,42,752400
1993-07-21,41.25,42,41.25,42,42,141600
1993-07-22,42,42.75,41.25,41.25,41.25,817600
1993-07-23,41.625,42.375,41.25,42,42,555200
