Date,Open,High,Low,Close,Adj Close,Volume
2018-10-25,0.31,0.32,0.31,0.32,0.32,300000
2018-10-26,0.32,0.33,0.31,0.31,0.31,5461800
2018-10-29,0.31,0.33,0.29,0.29,0.29,6389400
2018-10-30,0.29,0.32,0.29,0.32,0.32,4779400
2018-10-31,0.33,0.36,0.33,0.36,0.36,3509900
2018-11-01,0.36,0.39,0.35,0.36,0.36,3229700
2018-11-02,0.38,0.38,0.35,0.36,0.36,2686600
2018-11-05,0.35,0.36,0.33,0.33,0.33,1231000
2018-11-06,0.33,0.35,0.32,0.32,0.32,3330600
2018-11-07,0.33,0.34,0.32,0.32,0.32,883000
2018-11-08,0.34,0.35,0.33,0.33,0.33,1485000
2018-11-09,0.32,0.33,0.32,0.32,0.32,1333800
2018-11-12,0.33,0.34,0.3,0.3,0.3,923600
2018-11-13,0.28,0.3,0.28,0.29,0.29,1585800
2018-11-14,0.32,0.34,0.32,0.34,0.34,1770900
2018-11-15,0.32,0.32,0.27,0.28,0.28,2002100
2018-11-16,0.28,0.29,0.27,0.27,0.27,816200
2018-11-19,0.27,0.28,0.27,0.27,0.27,563600
2018-11-20,0.26,0.27,0.24,0.24,0.24,1149000
2018-11-21,0.23,0.23,0.2,0.22,0.22,403900
2018-11-22,0.22,0.22,0.22,0.22,0.22,73900
2018-11-23,0.22,0.24,0.22,0.24,0.24,420400
2018-11-26,0.24,0.26,0.24,0.26,0.26,633100
2018-11-27,0.27,0.27,0.25,0.25,0.25,331100
2018-11-28,0.26,0.29,0.26,0.28,0.28,1698100
2018-11-29,0.3,0.33,0.29,0.31,0.31,4240900
2018-11-30,0.31,0.32,0.3,0.31,0.31,1715400
2018-12-03,0.31,0.32,0.31,0.32,0.32,2140600
2018-12-04,0.31,0.31,0.3,0.3,0.3,840000
2018-12-06,0.28,0.29,0.28,0.29,0.29,605000
2018-12-07,0.29,0.3,0.29,0.3,0.3,2730000
2018-12-11,0.29,0.31,0.27,0.27,0.27,3215100
2018-12-12,0.28,0.29,0.26,0.26,0.26,2821500
2018-12-13,0.27,0.29,0.27,0.28,0.28,1888400
2018-12-14,0.28,0.28,0.23,0.24,0.24,2598300
2018-12-17,0.25,0.25,0.22,0.22,0.22,2396200
2018-12-18,0.21,0.22,0.19,0.19,0.19,4399400
2018-12-19,0.2,0.24,0.2,0.24,0.24,1920800
2018-12-20,0.23,0.23,0.2,0.22,0.22,2847300
2018-12-21,0.21,0.22,0.21,0.22,0.22,356600
2018-12-24,0.2,0.21,0.2,0.2,0.2,2833500
2018-12-25,0.17,0.17,0.14,0.14,0.14,1428900
2018-12-26,0.15,0.16,0.14,0.15,0.15,987100
2018-12-27,0.19,0.19,0.17,0.17,0.17,625000
2018-12-28,0.17,0.17,0.16,0.16,0.16,1239400
2019-01-02,0.16,0.16,0.15,0.15,0.15,841500
2019-01-03,0.16,0.16,0.14,0.14,0.14,517000
2019-01-04,0.14,0.14,0.1,0.11,0.11,1490000
2019-01-07,0.12,0.14,0.12,0.12,0.12,1696000
2019-01-08,0.12,0.12,0.11,0.12,0.12,1212400
