Date,Open,High,Low,Close,Adj Close,Volume
2018-02-28,7.62,7.62,7.62,7.62,7.62,5
2018-03-15,7.18,7.18,7.18,7.18,7.18,4
2018-03-22,6.92,6.92,6.92,6.92,6.92,405
2018-03-23,6.92,6.92,6.92,6.92,6.92,4
2018-03-29,7.07,7.07,7.07,7.07,7.07,200
2018-03-30,6.92,6.92,6.92,6.92,6.92,200
2018-04-04,6.36,6.36,6.36,6.36,6.36,2
2018-04-25,6.86,6.86,6.86,6.86,6.86,10
2018-05-08,7.63,7.63,7.63,7.63,7.63,4
2018-05-10,7.31,7.31,7.31,7.31,7.31,201
2018-05-11,7.45,7.45,7.45,7.45,7.45,200
2018-05-15,7.25,7.25,7.25,7.25,7.25,200
2018-05-22,7.39,7.39,7.39,7.39,7.39,200
2018-06-18,7.8,7.8,7.8,7.8,7.8,150
2018-06-19,7.36,7.36,7.36,7.36,7.36,400
2018-06-26,9.25,9.25,9.25,9.25,9.25,200
2018-06-27,7.89,7.89,7.89,7.89,7.89,157
2018-07-04,7.24,7.24,7.24,7.24,7.24,10
2018-07-06,7.3,7.3,7.3,7.3,7.3,100
2018-07-10,7.59,7.59,7.59,7.59,7.59,100
2018-07-16,7.99,7.99,7.97,7.99,7.99,30
2018-07-19,8.24,8.24,8.24,8.24,8.24,108
2018-07-23,8.45,8.45,8.45,8.45,8.45,30
2018-07-24,8.59,8.59,8.45,8.45,8.45,24
2018-08-01,8.39,8.39,8.39,8.39,8.39,100
2018-08-02,8.15,8.15,8.15,8.15,8.15,100
2018-08-03,8.49,8.49,8.49,8.49,8.49,100
2018-08-06,8.45,8.45,8.45,8.45,8.45,1500
2018-08-07,8.25,8.25,8.25,8.25,8.25,530
2018-08-09,8.43,8.43,8.43,8.43,8.43,400
2018-08-10,8.15,8.15,8.15,8.15,8.15,2000
2018-08-14,8.57,8.57,8.57,8.57,8.57,300
2018-08-15,8.49,8.49,8.49,8.49,8.49,1700
2018-08-16,8.78,8.78,8.78,8.78,8.78,1400
2018-08-17,8.99,8.99,8.99,8.99,8.99,1000
2018-08-20,9.02,9.02,9.02,9.02,9.02,18
2018-08-21,8.96,8.96,8.66,8.66,8.66,610
2018-08-22,8.91,8.91,8.91,8.91,8.91,4
2018-08-23,8.91,8.91,8.91,8.91,8.91,100
2018-08-24,8.9,8.9,8.9,8.9,8.9,200
2018-08-27,8.79,8.79,8.79,8.79,8.79,200
2018-08-30,8.95,8.95,8.95,8.95,8.95,403
2018-08-31,8.99,8.99,8.99,8.99,8.99,103
2018-09-04,9.21,9.21,9.21,9.21,9.21,305
2018-09-05,9.15,9.15,9.15,9.15,9.15,301
2018-09-06,9.01,9.01,9,9,9,102
2018-09-07,9.18,9.18,9.18,9.18,9.18,100
2018-09-10,9.01,9.01,9.01,9.01,9.01,101
2018-09-11,9.05,9.05,9.05,9.05,9.05,400
2018-09-12,8.95,8.95,8.95,8.95,8.95,600
2018-09-13,9.1,9.1,9.1,9.1,9.1,401
2018-09-14,9.35,9.35,9.35,9.35,9.35,1650
2018-09-17,9.3,9.3,9.3,9.3,9.3,450
2018-09-18,9.35,9.4,9.35,9.36,9.36,914
2018-09-19,9.26,9.26,9,9,9,1658
2018-09-20,9.05,9.05,8.8,8.8,8.8,1222
2018-09-21,9.05,9.1,8.96,9.1,9.1,667
2018-09-24,9,9,8.94,8.94,8.94,721
2018-09-25,8.94,8.94,8.94,8.94,8.94,11
2018-09-26,8.75,8.75,8.75,8.75,8.75,16
2018-09-27,8.9,8.9,8.9,8.9,8.9,100
2018-09-28,8.75,8.85,8.75,8.8,8.8,115
2018-10-01,8.75,8.75,8.46,8.46,8.46,847
2018-10-02,8.32,8.45,8.22,8.45,8.45,3653
2018-10-03,8.4,8.4,8.32,8.32,8.32,807
2018-10-04,8.4,8.4,8.4,8.4,8.4,1159
2018-10-05,8.26,8.26,8.15,8.15,8.15,327
2018-10-08,8.25,8.25,8.04,8.04,8.04,470
2018-10-09,8.05,8.05,7.84,7.89,7.89,320
2018-10-10,7.94,7.99,7.94,7.99,7.99,146
2018-10-11,7.89,7.89,7.7,7.75,7.75,596
2018-10-12,7.85,7.85,7.8,7.8,7.8,4
2018-10-16,7.8,7.8,7.8,7.8,7.8,40
2018-10-17,8,8,7.95,7.95,7.95,403
2018-10-18,7.79,7.79,7.75,7.75,7.75,275
2018-10-19,7.64,7.64,7.44,7.44,7.44,149
2018-10-24,7.59,7.59,7.59,7.59,7.59,110
2018-10-25,7.49,7.49,7.49,7.49,7.49,551
2018-10-26,7.54,7.54,7.54,7.54,7.54,151
2018-10-29,7.39,7.39,7.25,7.28,7.28,349
2018-10-30,7.33,7.43,7.33,7.43,7.43,307
2018-10-31,7.5,7.69,7.5,7.69,7.69,311
2018-11-01,7.79,7.84,7.7,7.7,7.7,407
2018-11-02,7.74,7.74,7.69,7.69,7.69,213
2018-11-05,7.6,7.6,7.53,7.53,7.53,17
2018-11-06,7.59,7.59,7.59,7.59,7.59,301
2018-11-07,7.54,7.54,7.54,7.54,7.54,15
2018-11-08,7.63,7.63,7.58,7.58,7.58,12
2018-11-12,7.58,7.58,7.48,7.48,7.48,11
2018-11-13,7.33,7.43,7.33,7.43,7.43,103
2018-11-14,7.55,7.55,7.55,7.55,7.55,401
