Date,Open,High,Low,Close,Adj Close,Volume
2018-12-06,0.2,0.2,0.19,0.19,0.19,2082700
2018-12-07,0.2,0.2,0.19,0.19,0.19,1152800
2018-12-11,0.19,0.19,0.19,0.19,0.19,400000
2018-12-12,0.18,0.18,0.18,0.18,0.18,400000
2018-12-13,0.18,0.18,0.18,0.18,0.18,400000
2018-12-14,0.14,0.14,0.13,0.13,0.13,3610400
2018-12-17,0.12,0.12,0.11,0.11,0.11,1629900
2018-12-18,0.1,0.1,0.1,0.1,0.1,1319200
2018-12-19,0.1,0.12,0.1,0.12,0.12,3229600
2018-12-20,0.12,0.12,0.1,0.1,0.1,627000
2018-12-21,0.09,0.09,0.09,0.09,0.09,810000
2018-12-24,0.09,0.09,0.09,0.09,0.09,409000
2018-12-25,0.07,0.08,0.07,0.08,0.08,1237200
2018-12-27,0.08,0.08,0.07,0.07,0.07,439200
2019-01-03,0.06,0.06,0.06,0.06,0.06,10000
2019-01-04,0.06,0.06,0.06,0.06,0.06,200000
2019-01-07,0.1,0.1,0.09,0.1,0.1,650100
2019-01-08,0.1,0.1,0.1,0.1,0.1,319600
2019-01-09,0.10,0.10,0.10,0.10,0.10,1981700
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
