Date,Open,High,Low,Close,Adj Close,Volume
2005-12-13,2.32,2.34,2.3,2.32,2.32,109000
2005-12-14,2.3,2.34,2.26,2.26,2.26,444900
2005-12-15,2.26,2.3,2.26,2.28,2.28,143100
2005-12-16,2.24,2.28,2.24,2.24,2.24,118000
2005-12-19,2.26,2.34,2.26,2.34,2.34,12006
2005-12-20,2.3,2.3,2.26,2.26,2.26,227002
2005-12-21,2.24,2.3,2.24,2.26,2.26,59201
2005-12-22,2.26,2.3,2.2,2.3,2.3,68300
2005-12-23,2.22,2.26,2.14,2.26,2.26,45000
2005-12-26,2.26,2.28,2.26,2.28,2.28,46200
2005-12-27,2.3,2.32,2.3,2.32,2.32,130300
2005-12-28,2.26,2.3,2.26,2.3,2.3,60001
2005-12-29,2.3,2.34,2.24,2.28,2.28,409000
2005-12-30,2.32,2.32,2.24,2.3,2.3,53900
2006-01-04,2.3,2.3,2.28,2.28,2.28,71010
2006-01-05,2.28,2.32,2.16,2.3,2.3,209801
2006-01-06,2.3,2.3,2.3,2.3,2.3,20000
2006-01-09,2.3,2.32,2.3,2.32,2.32,17500
2006-01-10,2.3,2.32,2.16,2.32,2.32,185600
2006-01-11,2.3,2.3,2.3,2.3,2.3,18100
2006-01-12,2.3,2.34,2.24,2.26,2.26,165600
2006-01-13,2.3,2.32,2.22,2.3,2.3,408500
2006-01-16,2.26,2.3,2.24,2.3,2.3,5700
2006-01-17,2.24,2.3,2.24,2.3,2.3,11100
2006-01-18,2.24,2.3,2.24,2.3,2.3,47000
2006-01-19,2.3,2.3,2.3,2.3,2.3,2500
2006-01-20,2.3,2.36,2.3,2.36,2.36,322600
2006-01-23,2.38,2.38,2.32,2.32,2.32,2500
2006-01-24,2.3,2.4,2.3,2.38,2.38,31600
2006-01-25,2.38,2.38,2.34,2.36,2.36,32200
2006-01-26,2.4,2.4,2.3,2.38,2.38,94000
2006-01-30,2.36,2.38,2.36,2.38,2.38,52900
2006-01-31,2.38,2.4,2.32,2.38,2.38,39500
2006-02-01,2.38,2.38,2.34,2.38,2.38,97500
2006-02-02,2.34,2.36,2.32,2.36,2.36,101500
2006-02-03,2.34,2.36,2.34,2.36,2.36,32500
2006-02-06,2.36,2.36,2.34,2.36,2.36,3000
2006-02-07,2.34,2.36,2.34,2.34,2.34,111000
2006-02-08,2.34,2.34,2.32,2.34,2.34,54500
2006-02-09,2.32,2.36,2.28,2.36,2.36,278200
2006-02-10,2.34,2.36,2.34,2.36,2.36,60500
2006-02-14,2.36,2.36,2.36,2.36,2.36,3000
2006-02-15,2.34,2.46,2.34,2.34,2.34,1949000
2006-02-16,2.38,2.42,2.32,2.38,2.38,418000
2006-02-17,2.38,2.4,2.38,2.4,2.4,30100
2006-02-20,2.38,2.4,2.36,2.4,2.4,21000
2006-02-21,2.4,2.44,2.36,2.44,2.44,343400
2006-02-22,2.44,2.48,2.4,2.44,2.44,446400
2006-02-23,2.44,2.44,2.4,2.44,2.44,275801
2006-02-27,2.44,2.44,2.44,2.44,2.44,2000
2006-02-28,2.44,2.46,2.36,2.36,2.36,14000
2006-03-01,2.4,2.46,2.36,2.46,2.46,5101
2006-03-02,2.46,2.46,2.42,2.46,2.46,32900
2006-03-03,2.44,2.48,2.42,2.48,2.48,18300
2006-03-06,2.46,2.46,2.44,2.46,2.46,9200
2006-03-07,2.42,2.42,2.4,2.42,2.42,16001
2006-03-08,2.46,2.46,2.46,2.46,2.46,100
2006-03-09,2.46,2.46,2.46,2.46,2.46,1100
2006-03-10,2.36,2.48,2.36,2.48,2.48,301
2006-03-16,2.34,2.44,2.32,2.44,2.44,49000
2006-03-17,2.34,2.44,2.3,2.44,2.44,31000
2006-03-20,2.34,2.34,2.34,2.34,2.34,9001
2006-03-21,2.4,2.4,2.4,2.4,2.4,5001
2006-03-22,2.36,2.36,2.36,2.36,2.36,20500
2006-03-24,2.34,2.36,2.3,2.36,2.36,24100
2006-03-27,2.34,2.38,2.34,2.38,2.38,11000
2006-03-28,2.34,2.36,2.32,2.36,2.36,25200
2006-03-29,2.36,2.4,2.34,2.4,2.4,19000
2006-03-30,2.34,2.34,2.26,2.34,2.34,79000
2006-03-31,2.36,2.38,2.36,2.38,2.38,10500
2006-04-03,2.4,2.4,2,2.4,2.4,32010
2006-04-04,2.36,2.4,2.34,2.4,2.4,34000
2006-04-05,2.4,2.4,2.36,2.4,2.4,12300
2006-04-07,2.38,2.46,2.38,2.46,2.46,4100
2006-04-10,2.46,2.46,2.46,2.46,2.46,5000
2006-04-12,2.36,2.46,2.36,2.46,2.46,5900
2006-04-17,2.48,2.52,2.48,2.52,2.52,26600
2006-04-18,2.5,2.5,2.5,2.5,2.5,1000
2006-04-24,2.34,2.5,2.34,2.5,2.5,3200
2006-04-25,2.52,2.52,2.52,2.52,2.52,100
2006-04-28,2.54,2.54,2.54,2.54,2.54,5000
2006-05-03,2.5,2.5,2.5,2.5,2.5,5001
