Date,Open,High,Low,Close,Adj Close,Volume
2015-03-13,0.19,0.19,0.17,0.17,0.17,105000
2015-03-16,0.15,0.15,0.13,0.13,0.13,98000
2015-03-20,0.15,0.15,0.15,0.15,0.15,47000
2015-03-23,0.14,0.14,0.14,0.14,0.14,40000
2015-03-24,0.13,0.14,0.12,0.12,0.12,90000
2015-03-25,0.12,0.12,0.11,0.11,0.11,50000
2015-03-26,0.1,0.11,0.1,0.11,0.11,810000
2015-03-30,0.1,0.1,0.1,0.1,0.1,200000
2015-03-31,0.12,0.12,0.12,0.12,0.12,80000
2015-04-01,0.13,0.13,0.13,0.13,0.13,400000
2015-04-02,0.18,0.18,0.16,0.16,0.16,315000
2015-04-07,0.16,0.2,0.16,0.2,0.2,1993200
2015-04-08,0.18,0.21,0.18,0.18,0.18,4482000
2015-04-09,0.18,0.19,0.17,0.19,0.19,734800
2015-04-10,0.19,0.2,0.17,0.2,0.2,1073800
2015-04-16,0.2,0.2,0.18,0.19,0.19,1168800
2015-04-17,0.18,0.18,0.18,0.18,0.18,1819000
2015-04-20,0.18,0.18,0.16,0.17,0.17,769600
2015-04-21,0.17,0.19,0.17,0.17,0.17,1549600
2015-04-22,0.17,0.17,0.16,0.16,0.16,454500
2015-04-23,0.16,0.16,0.15,0.15,0.15,323000
2015-04-24,0.15,0.15,0.14,0.14,0.14,354000
2015-04-27,0.14,0.15,0.14,0.15,0.15,543000
2015-04-28,0.13,0.13,0.12,0.12,0.12,502000
2015-04-29,0.11,0.11,0.11,0.11,0.11,4000
2015-04-30,0.12,0.12,0.12,0.12,0.12,330500
2015-05-06,0.12,0.13,0.11,0.12,0.12,260300
2015-05-07,0.11,0.11,0.11,0.11,0.11,369100
2015-05-08,0.11,0.12,0.11,0.11,0.11,400100
2015-05-11,0.13,0.14,0.13,0.14,0.14,633900
2015-05-12,0.15,0.15,0.13,0.15,0.15,855000
2015-05-13,0.15,0.17,0.15,0.17,0.17,443100
2015-05-14,0.16,0.16,0.15,0.15,0.15,761000
2015-05-15,0.15,0.18,0.15,0.18,0.18,1739500
2015-05-18,0.18,0.19,0.18,0.18,0.18,845700
2015-05-19,0.19,0.21,0.19,0.21,0.21,1401000
2015-05-20,0.2,0.2,0.19,0.19,0.19,1294500
2015-05-21,0.19,0.19,0.17,0.17,0.17,1111500
2015-05-22,0.17,0.17,0.14,0.14,0.14,380000
2015-05-25,0.14,0.15,0.14,0.14,0.14,1891000
2015-05-26,0.14,0.14,0.13,0.13,0.13,141000
2015-05-27,0.12,0.13,0.11,0.13,0.13,246000
2015-05-28,0.13,0.13,0.13,0.13,0.13,250000
2015-05-29,0.16,0.17,0.15,0.16,0.16,954800
