Date,Open,High,Low,Close,Adj Close,Volume
2013-03-07,0.21,0.23,0.19,0.21,0.21,749870400
2013-03-08,0.21,0.23,0.21,0.22,0.22,211179300
2013-03-11,0.23,0.26,0.22,0.26,0.26,169522900
2013-03-12,0.25,0.25,0.23,0.24,0.24,51853800
2013-03-13,0.24,0.26,0.24,0.25,0.25,58775600
2013-03-14,0.26,0.27,0.24,0.26,0.26,62343800
2013-03-15,0.26,0.32,0.26,0.3,0.3,159827100
2013-03-18,0.31,0.32,0.3,0.3,0.3,58325900
2013-03-19,0.31,0.38,0.31,0.37,0.37,212912500
2013-03-20,0.39,0.5,0.37,0.48,0.48,437617100
2013-03-21,0.49,0.52,0.43,0.44,0.44,359409200
2013-03-22,0.43,0.44,0.39,0.42,0.42,158577600
2013-03-25,0.43,0.44,0.4,0.43,0.43,100935200
2013-03-26,0.44,0.45,0.42,0.43,0.43,67589900
2013-03-27,0.42,0.43,0.41,0.42,0.42,29007500
2013-03-28,0.42,0.42,0.4,0.4,0.4,37651500
2013-03-29,0.4,0.41,0.39,0.39,0.39,30540800
2013-04-01,0.4,0.4,0.38,0.38,0.38,12998600
2013-04-02,0.38,0.4,0.37,0.39,0.39,80134200
2013-04-03,0.38,0.39,0.36,0.36,0.36,37550400
2013-04-04,0.35,0.36,0.33,0.36,0.36,21223800
2013-04-05,0.36,0.4,0.36,0.38,0.38,50930800
2013-04-09,0.38,0.39,0.37,0.37,0.37,12075400
2013-04-10,0.37,0.4,0.37,0.4,0.4,14566900
2013-04-11,0.39,0.39,0.38,0.38,0.38,10575900
2013-04-12,0.38,0.39,0.38,0.38,0.38,8438100
2013-04-17,0.38,0.38,0.36,0.37,0.37,90992000
2013-04-18,0.36,0.37,0.36,0.37,0.37,8584800
2013-04-19,0.37,0.4,0.37,0.39,0.39,73465800
2013-04-22,0.39,0.39,0.38,0.38,0.38,13070600
2013-04-23,0.39,0.39,0.36,0.37,0.37,57470600
2013-04-24,0.37,0.38,0.36,0.36,0.36,34103100
2013-04-25,0.37,0.37,0.35,0.36,0.36,34002400
2013-04-26,0.36,0.36,0.35,0.35,0.35,19802100
2013-04-29,0.36,0.38,0.36,0.37,0.37,22414400
2013-04-30,0.37,0.4,0.37,0.4,0.4,66693200
2013-05-02,0.4,0.42,0.4,0.4,0.4,52815600
2013-05-03,0.4,0.41,0.39,0.39,0.39,25870300
2013-05-07,0.4,0.4,0.38,0.39,0.39,8779500
2013-05-08,0.39,0.39,0.38,0.38,0.38,13956400
2013-05-09,0.38,0.38,0.37,0.38,0.38,2584000
2013-05-10,0.37,0.38,0.36,0.37,0.37,10432400
2013-05-13,0.37,0.37,0.36,0.37,0.37,17223600
2013-05-14,0.37,0.37,0.36,0.36,0.36,6638300
2013-05-15,0.36,0.37,0.36,0.36,0.36,10790300
2013-05-17,0.36,0.36,0.34,0.35,0.35,15099400
2013-05-20,0.34,0.35,0.33,0.34,0.34,31764900
2013-05-21,0.34,0.34,0.33,0.34,0.34,10300000
2013-05-22,0.35,0.35,0.34,0.34,0.34,7224500
2013-05-23,0.33,0.34,0.32,0.33,0.33,7152700
2013-05-27,0.34,0.34,0.32,0.32,0.32,1604400
2013-05-28,0.32,0.32,0.31,0.32,0.32,7392500
2013-05-29,0.32,0.32,0.29,0.3,0.3,13836200
2013-05-30,0.3,0.3,0.29,0.29,0.29,6531200
2013-05-31,0.29,0.31,0.28,0.28,0.28,10914500
2013-06-03,0.28,0.28,0.25,0.25,0.25,20534300
2013-06-04,0.25,0.25,0.24,0.24,0.24,6277700
2013-06-05,0.24,0.25,0.24,0.24,0.24,3595000
2013-06-06,0.22,0.24,0.22,0.22,0.22,14935200
2013-06-07,0.21,0.23,0.21,0.23,0.23,6580000
2013-06-10,0.23,0.24,0.22,0.22,0.22,3735600
2013-06-11,0.23,0.23,0.19,0.19,0.19,22443900
2013-06-12,0.18,0.19,0.17,0.19,0.19,8931900
2013-06-13,0.18,0.18,0.17,0.17,0.17,24120000
2013-06-14,0.18,0.19,0.18,0.19,0.19,11685500
2013-06-17,0.18,0.18,0.17,0.18,0.18,3922700
2013-06-18,0.18,0.19,0.16,0.16,0.16,17352700
2013-06-19,0.17,0.17,0.15,0.16,0.16,9291500
2013-06-20,0.15,0.16,0.15,0.16,0.16,18992300
2013-06-21,0.15,0.16,0.14,0.16,0.16,21222600
2013-06-24,0.15,0.17,0.15,0.15,0.15,42234800
2013-06-25,0.14,0.15,0.13,0.14,0.14,26832000
2013-06-26,0.15,0.16,0.15,0.16,0.16,18069300
2013-06-27,0.16,0.16,0.15,0.16,0.16,4353700
2013-06-28,0.16,0.16,0.15,0.15,0.15,1472600
2013-07-02,0.16,0.17,0.15,0.15,0.15,27837600
2013-07-03,0.16,0.17,0.15,0.16,0.16,5167500
