Date,Open,High,Low,Close,Adj Close,Volume
2016-07-25,0.59,0.62,0.59,0.6,0.6,1794100
2016-07-26,0.6,0.61,0.58,0.59,0.59,4765500
2016-07-27,0.6,0.6,0.52,0.55,0.55,3832200
2016-07-28,0.55,0.58,0.55,0.57,0.57,2016700
2016-07-29,0.58,0.58,0.55,0.55,0.55,5207500
2016-08-01,0.56,0.56,0.5,0.5,0.5,5839600
2016-08-02,0.5,0.5,0.46,0.46,0.46,5566200
2016-08-03,0.45,0.54,0.45,0.54,0.54,4012100
2016-08-04,0.54,0.54,0.51,0.52,0.52,50027700
2016-08-05,0.52,0.54,0.52,0.53,0.53,32186500
2016-08-08,0.55,0.55,0.53,0.55,0.55,9195300
2016-08-09,0.53,0.54,0.53,0.54,0.54,67239100
2016-08-10,0.54,0.55,0.52,0.53,0.53,5757800
2016-08-11,0.53,0.53,0.5,0.51,0.51,16481000
2016-08-15,0.49,0.55,0.49,0.53,0.53,4631300
2016-08-16,0.54,0.55,0.5,0.52,0.52,22757100
2016-08-17,0.52,0.54,0.51,0.52,0.52,24413000
2016-08-18,0.53,0.55,0.5,0.51,0.51,18844200
2016-08-19,0.49,0.51,0.46,0.46,0.46,52650700
2016-08-22,0.45,0.45,0.37,0.39,0.39,11369100
2016-08-23,0.36,0.39,0.3,0.33,0.33,4860900
2016-08-24,0.34,0.34,0.3,0.34,0.34,26912300
2016-08-25,0.35,0.37,0.34,0.35,0.35,21971400
2016-08-26,0.35,0.35,0.34,0.35,0.35,955400
2016-08-29,0.34,0.44,0.34,0.44,0.44,25886200
2016-08-30,0.46,0.49,0.46,0.48,0.48,31411200
2016-08-31,0.47,0.48,0.43,0.43,0.43,33609300
2016-09-01,0.42,0.43,0.41,0.41,0.41,29678000
2016-09-02,0.42,0.45,0.38,0.43,0.43,36811400
2016-09-05,0.45,0.45,0.34,0.36,0.36,11572600
2016-09-06,0.37,0.39,0.36,0.37,0.37,11018800
2016-09-07,0.37,0.43,0.37,0.39,0.39,22807600
2016-09-08,0.4,0.41,0.3,0.31,0.31,13928200
2016-09-09,0.3,0.3,0.22,0.22,0.22,8739200
2016-09-12,0.19,0.22,0.19,0.19,0.19,5227200
2016-09-13,0.22,0.25,0.22,0.25,0.25,10061500
2016-09-14,0.24,0.27,0.24,0.24,0.24,11367300
2016-09-15,0.24,0.25,0.24,0.24,0.24,6266800
2016-09-16,0.26,0.26,0.24,0.26,0.26,6313700
2016-09-19,0.26,0.32,0.26,0.31,0.31,5626600
2016-09-20,0.29,0.29,0.26,0.26,0.26,7854700
2016-09-21,0.28,0.31,0.28,0.3,0.3,24107900
2016-09-22,0.31,0.34,0.3,0.31,0.31,7771000
2016-09-23,0.31,0.31,0.25,0.26,0.26,10204400
2016-09-26,0.23,0.26,0.23,0.25,0.25,8355600
2016-09-27,0.25,0.28,0.25,0.25,0.25,11222100
2016-09-28,0.26,0.26,0.2,0.2,0.2,12879100
2016-09-29,0.22,0.25,0.21,0.23,0.23,36469900
2016-09-30,0.23,0.23,0.2,0.21,0.21,38849100
2016-10-03,0.22,0.25,0.22,0.24,0.24,11969200
2016-10-04,0.26,0.29,0.26,0.29,0.29,5429700
2016-10-05,0.29,0.3,0.27,0.27,0.27,32647900
2016-10-06,0.29,0.3,0.28,0.28,0.28,18501400
2016-10-07,0.28,0.28,0.26,0.26,0.26,33722300
2016-10-10,0.22,0.23,0.2,0.21,0.21,8159400
2016-10-11,0.23,0.23,0.18,0.2,0.2,18439200
2016-10-12,0.19,0.2,0.13,0.16,0.16,7902200
2016-10-13,0.16,0.17,0.14,0.16,0.16,3845600
2016-10-14,0.21,0.26,0.21,0.26,0.26,13280400
2016-10-17,0.24,0.27,0.24,0.26,0.26,4030000
2016-10-18,0.27,0.27,0.26,0.26,0.26,2434700
2016-10-19,0.27,0.35,0.27,0.35,0.35,11221400
2016-10-20,0.37,0.37,0.33,0.34,0.34,8616300
2016-10-21,0.34,0.39,0.33,0.36,0.36,6846300
2016-10-25,0.4,0.48,0.39,0.48,0.48,11276700
2016-10-26,0.48,0.54,0.46,0.48,0.48,26509100
2016-10-27,0.5,0.5,0.43,0.45,0.45,10688900
2016-10-28,0.46,0.48,0.43,0.43,0.43,9052300
2016-10-31,0.44,0.48,0.44,0.47,0.47,6014500
2016-11-01,0.48,0.48,0.38,0.42,0.42,14354800
2016-11-02,0.4,0.41,0.37,0.37,0.37,8714400
2016-11-03,0.39,0.41,0.38,0.38,0.38,4147700
2016-11-04,0.4,0.4,0.37,0.37,0.37,3913700
2016-11-07,0.39,0.45,0.38,0.44,0.44,10422700
2016-11-08,0.44,0.44,0.4,0.41,0.41,13643600
2016-11-09,0.37,0.42,0.37,0.42,0.42,18993900
2016-11-10,0.45,0.45,0.4,0.4,0.4,20486200
2016-11-11,0.38,0.41,0.38,0.39,0.39,18080500
2016-11-14,0.37,0.37,0.33,0.37,0.37,23061400
2016-11-15,0.38,0.49,0.38,0.49,0.49,31933200
2016-11-16,0.51,0.55,0.48,0.49,0.49,60992500
2016-11-17,0.49,0.62,0.49,0.57,0.57,106373500
2016-11-18,0.58,0.59,0.56,0.56,0.56,90578700
2016-11-21,0.57,0.63,0.57,0.61,0.61,104312500
2016-11-22,0.63,0.66,0.57,0.59,0.59,107714800
2016-11-23,0.59,0.66,0.58,0.66,0.66,80371800
2016-11-24,0.7,0.72,0.66,0.7,0.7,52527800
2016-11-25,0.68,0.79,0.67,0.79,0.79,102169900
2016-11-28,0.8,0.86,0.79,0.83,0.83,33347000
2016-11-29,0.82,0.82,0.61,0.67,0.67,138743800
2016-11-30,0.67,0.9,0.67,0.9,0.9,106356600
2016-12-01,0.95,0.97,0.78,0.81,0.81,82835300
2016-12-02,0.85,0.91,0.81,0.85,0.85,67976900
2016-12-06,0.86,1.1,0.86,1.1,1.1,52856700
2016-12-07,1.1,1.22,1.03,1.19,1.19,50180600
2016-12-08,1.19,1.27,1.16,1.16,1.16,21149200
2016-12-09,1.19,1.22,1.17,1.17,1.17,23310800
2016-12-13,1.16,1.37,1.16,1.37,1.37,18522200
2016-12-14,1.38,1.41,1.34,1.41,1.41,21802400
2016-12-15,1.38,1.45,1.38,1.39,1.39,19168200
2016-12-16,1.4,1.5,1.4,1.47,1.47,13094100
2016-12-19,1.38,1.38,1.31,1.31,1.31,13906700
2016-12-20,1.35,1.38,0.87,0.92,0.92,57709200
2016-12-21,0.93,1.03,0.5,0.91,0.91,94819600
2016-12-22,0.91,1.01,0.77,0.77,0.77,40152400
2016-12-23,0.73,0.83,0.66,0.67,0.67,35921400
2016-12-26,0.69,0.77,0.65,0.7,0.7,35274400
2016-12-27,0.74,0.74,0.66,0.66,0.66,10630500
2016-12-28,0.69,0.69,0.62,0.63,0.63,28819400
2016-12-29,0.63,0.64,0.58,0.58,0.58,12874200
2016-12-30,0.58,0.82,0.55,0.78,0.78,40736000
2017-01-04,0.86,1.04,0.85,1.04,1.04,45590900
2017-01-05,1.05,1.2,1.05,1.08,1.08,56526300
2017-01-06,1.16,1.16,1.09,1.12,1.12,18371000
2017-01-09,1.14,1.17,1.05,1.15,1.15,43462800
2017-01-10,1.14,1.16,1.08,1.08,1.08,17020000
2017-01-11,1.11,1.13,1.09,1.13,1.13,24492800
2017-01-12,1.13,1.13,1.09,1.1,1.1,4892100
2017-01-13,1.11,1.11,0.98,1.06,1.06,7007300
2017-01-16,1.07,1.09,1.02,1.07,1.07,10036500
2017-01-17,1.09,1.09,1.03,1.03,1.03,6150900
2017-01-18,1.04,1.04,0.82,0.82,0.82,11510600
2017-01-19,0.82,0.97,0.8,0.97,0.97,30023900
2017-01-20,0.95,0.97,0.91,0.92,0.92,6296700
2017-01-23,0.9,0.96,0.9,0.94,0.94,6541000
2017-01-24,0.91,0.98,0.91,0.91,0.91,11803700
2017-01-25,0.94,0.98,0.82,0.82,0.82,5240400
2017-01-26,0.89,0.92,0.84,0.86,0.86,4770500
2017-01-27,0.88,0.88,0.8,0.85,0.85,9074800
2017-01-30,0.85,0.85,0.81,0.81,0.81,7213300
2017-01-31,0.81,0.88,0.8,0.81,0.81,7230500
2017-02-01,0.79,0.83,0.79,0.81,0.81,2311500
2017-02-02,0.82,0.85,0.8,0.8,0.8,5482600
2017-02-03,0.8,0.84,0.8,0.83,0.83,5781000
2017-02-06,0.85,1.07,0.85,1.06,1.06,12857500
2017-02-07,1.04,1.1,0.99,0.99,0.99,4962500
2017-02-08,1.02,1.04,1.01,1.01,1.01,6441100
2017-02-09,1.04,1.06,0.96,1.06,1.06,5276300
2017-02-10,1.02,1.04,0.98,0.98,0.98,3454900
2017-02-14,0.99,0.99,0.93,0.96,0.96,3162300
2017-02-15,0.94,1.01,0.92,0.96,0.96,1162200
2017-02-16,0.97,0.99,0.85,0.85,0.85,5441300
