Date,Open,High,Low,Close,Adj Close,Volume
2017-04-21,10.3,11.6,10.3,11.4,11.4,66189300
2017-04-24,11.4,11.4,11,11.1,11.1,10909500
2017-04-25,11.1,11.1,10.8,10.8,10.8,9300800
2017-04-26,10.9,11,10.8,10.9,10.9,5390200
2017-04-27,11,11,10.7,10.7,10.7,6322100
2017-04-28,10.7,10.9,10.7,10.8,10.8,3848600
2017-05-02,10.8,10.8,10.7,10.8,10.8,1318800
2017-05-03,10.7,10.8,10.7,10.8,10.8,284800
2017-05-04,10.7,10.8,10.7,10.7,10.7,3458100
2017-05-05,10.7,10.7,10.6,10.6,10.6,3618200
2017-05-08,10.6,10.7,10.6,10.7,10.7,905000
2017-05-09,10.6,10.8,10.6,10.8,10.8,1538600
2017-05-11,10.6,10.8,10.6,10.7,10.7,1176300
2017-05-12,10.7,10.8,10.5,10.6,10.6,1421500
2017-05-15,10.6,10.8,10.5,10.8,10.8,2873800
2017-05-16,10.7,10.9,10.7,10.7,10.7,2760000
2017-05-17,10.7,10.8,10.6,10.7,10.7,921000
2017-05-18,10.7,10.8,10.6,10.8,10.8,2014200
2017-05-19,10.7,10.8,10.6,10.8,10.8,1026500
2017-05-22,10.7,10.7,10.7,10.7,10.7,660600
2017-05-23,10.7,10.7,10.6,10.7,10.7,2062100
2017-05-24,10.7,10.7,10.6,10.7,10.7,1342100
2017-05-25,10.7,11,10.6,10.8,10.8,4009300
2017-05-26,10.8,10.8,10.7,10.8,10.8,147800
2017-05-29,10.7,10.8,10.7,10.7,10.7,425700
2017-05-30,10.7,10.8,10.6,10.6,10.6,753300
2017-05-31,10.7,10.8,10.7,10.8,10.8,479300
2017-06-01,10.8,10.9,10.8,10.9,10.9,959100
2017-06-02,10.9,10.9,10.7,10.7,10.7,135600
2017-06-05,10.9,10.9,10.8,10.9,10.9,555500
2017-06-06,10.8,10.9,10.8,10.8,10.8,276800
2017-06-07,10.8,10.9,10.7,10.9,10.9,250000
2017-06-08,10.8,10.9,10.8,10.9,10.9,81600
2017-06-09,10.8,10.9,10.8,10.8,10.8,559300
2017-06-12,10.8,11,10.8,11,11,644900
2017-06-13,11,11,10.9,11,11,767100
2017-06-14,11,11,10.9,10.9,10.9,318500
2017-06-15,10.9,11,10.9,11,11,1134200
2017-06-16,11,11.1,10.9,10.9,10.9,2189400
2017-06-19,11,11.2,11,11.2,11.2,1422700
2017-06-20,11.1,11.1,11,11.1,11.1,405000
2017-06-21,11,11.1,11,11.1,11.1,17100
2017-06-22,11,11,11,11,11,8300
2017-06-23,11,11.1,11,11.1,11.1,232200
2017-06-26,11.1,11.2,11,11,11,683300
