Date,Open,High,Low,Close,Adj Close,Volume
2014-09-30,0.49,0.49,0.48,0.48,0.48,1600000
2014-10-06,0.36,0.37,0.36,0.37,0.37,1382600
2014-10-31,0.34,0.34,0.33,0.34,0.34,1000100
2014-11-03,0.34,0.34,0.34,0.34,0.34,100
2014-12-25,0.08,0.08,0.08,0.08,0.08,370000
2015-01-05,0.07,0.07,0.07,0.07,0.07,370000
2015-02-02,0.11,0.11,0.11,0.11,0.11,5000
2015-02-03,0.12,0.12,0.12,0.12,0.12,9000
2015-02-04,0.1,0.1,0.1,0.1,0.1,9000
2015-02-05,0.11,0.11,0.11,0.11,0.11,1000
2015-02-10,0.08,0.08,0.08,0.08,0.08,6000
2015-02-13,0.1,0.1,0.1,0.1,0.1,800000
2015-02-18,0.08,0.08,0.08,0.08,0.08,500000
2015-02-19,0.08,0.08,0.08,0.08,0.08,200000
2015-02-20,0.07,0.07,0.07,0.07,0.07,200000
2015-03-17,0.02,0.02,0.02,0.02,0.02,22000
2015-03-18,0.03,0.03,0.03,0.03,0.03,100
2015-03-19,0.02,0.02,0.02,0.02,0.02,22000
2015-03-24,0.02,0.02,0.01,0.01,0.01,500
2015-04-02,0.02,0.02,0.01,0.02,0.02,1000200
2015-04-03,0.01,0.02,0.01,0.02,0.02,825100
2015-04-07,0.01,0.01,0.01,0.01,0.01,2079900
2015-04-08,0.01,0.01,0.01,0.01,0.01,249800
2015-04-09,0.01,0.01,0.01,0.01,0.01,601000
2015-04-16,0.01,0.01,0.01,0.01,0.01,5000
2015-04-17,0.01,0.01,0.01,0.01,0.01,5000
2015-04-22,0.01,0.01,0.01,0.01,0.01,1659900
2015-04-23,0.01,0.01,0.01,0.01,0.01,5000
