Date,Open,High,Low,Close,Adj Close,Volume
2017-12-21,0.35,0.35,0.32,0.33,0.33,2189900
2017-12-22,0.34,0.37,0.34,0.37,0.37,1100000
2017-12-25,0.36,0.36,0.32,0.32,0.32,1400000
2017-12-26,0.33,0.33,0.31,0.31,0.31,1400000
2017-12-27,0.32,0.32,0.31,0.31,0.31,915000
2017-12-28,0.32,0.32,0.29,0.29,0.29,607100
2018-01-03,0.29,0.31,0.28,0.28,0.28,2816000
2018-01-04,0.28,0.3,0.28,0.28,0.28,514000
2018-01-05,0.28,0.31,0.28,0.29,0.29,2215000
2018-01-08,0.3,0.32,0.3,0.31,0.31,601000
2018-01-09,0.33,0.33,0.32,0.33,0.33,1020000
2018-01-10,0.35,0.36,0.35,0.35,0.35,150100
2018-01-11,0.35,0.35,0.34,0.34,0.34,651000
2018-01-12,0.36,0.4,0.36,0.38,0.38,3005600
2018-01-15,0.39,0.39,0.38,0.38,0.38,502000
2018-01-16,0.36,0.38,0.36,0.38,0.38,700000
2018-01-17,0.36,0.36,0.35,0.35,0.35,130000
2018-01-18,0.36,0.4,0.36,0.37,0.37,1851500
2018-01-19,0.37,0.37,0.36,0.37,0.37,1600000
2018-01-23,0.38,0.38,0.36,0.37,0.37,900000
2018-01-24,0.37,0.37,0.37,0.37,0.37,300000
2018-01-25,0.37,0.37,0.37,0.37,0.37,1300000
2018-01-26,0.34,0.34,0.34,0.34,0.34,100000
2018-01-29,0.34,0.35,0.34,0.34,0.34,200000
2018-01-30,0.33,0.34,0.33,0.34,0.34,300000
2018-02-02,0.3,0.31,0.3,0.3,0.3,130000
2018-02-05,0.28,0.29,0.28,0.28,0.28,600000
2018-02-06,0.25,0.26,0.25,0.25,0.25,500000
2018-02-07,0.26,0.26,0.25,0.25,0.25,100000
2018-02-08,0.25,0.26,0.24,0.24,0.24,530000
2018-02-09,0.24,0.25,0.24,0.25,0.25,400000
2018-02-12,0.24,0.24,0.24,0.24,0.24,100000
2018-02-13,0.25,0.25,0.25,0.25,0.25,200000
2018-02-14,0.23,0.24,0.23,0.23,0.23,1200000
2018-02-16,0.23,0.26,0.23,0.24,0.24,1000000
2018-02-19,0.25,0.27,0.25,0.25,0.25,1500000
2018-02-21,0.23,0.26,0.23,0.23,0.23,5670000
2018-02-22,0.22,0.22,0.22,0.22,0.22,2270000
2018-02-23,0.22,0.27,0.22,0.27,0.27,2201500
2018-02-26,0.28,0.28,0.25,0.26,0.26,605100
2018-02-27,0.27,0.28,0.27,0.28,0.28,1600000
2018-02-28,0.27,0.27,0.26,0.26,0.26,700000
2018-03-02,0.24,0.24,0.23,0.24,0.24,500000
2018-03-05,0.23,0.23,0.22,0.22,0.22,600000
2018-03-06,0.25,0.26,0.25,0.25,0.25,1120000
2018-03-07,0.24,0.24,0.24,0.24,0.24,500000
2018-03-08,0.25,0.3,0.25,0.28,0.28,2302300
2018-03-09,0.3,0.3,0.29,0.29,0.29,2690700
2018-03-12,0.31,0.31,0.29,0.29,0.29,522100
2018-03-13,0.3,0.3,0.3,0.3,0.3,400000
2018-03-14,0.31,0.31,0.31,0.31,0.31,500000
2018-03-15,0.29,0.3,0.29,0.3,0.3,750000
2018-03-16,0.29,0.29,0.28,0.28,0.28,450000
2018-03-19,0.28,0.28,0.27,0.27,0.27,300000
2018-03-20,0.28,0.28,0.28,0.28,0.28,200000
2018-03-21,0.28,0.28,0.28,0.28,0.28,200000
2018-03-22,0.27,0.27,0.27,0.27,0.27,200000
2018-03-23,0.26,0.26,0.24,0.24,0.24,300000
2018-03-26,0.22,0.23,0.22,0.22,0.22,500000
2018-03-27,0.23,0.24,0.23,0.24,0.24,720000
2018-03-28,0.21,0.21,0.18,0.18,0.18,500000
2018-03-29,0.2,0.2,0.19,0.19,0.19,1250000
2018-03-30,0.19,0.2,0.19,0.2,0.2,600000
2018-04-03,0.2,0.21,0.2,0.21,0.21,600000
2018-04-04,0.21,0.22,0.21,0.22,0.22,500000
2018-04-05,0.2,0.2,0.2,0.2,0.2,100000
2018-04-09,0.19,0.2,0.18,0.18,0.18,500000
2018-04-10,0.19,0.19,0.19,0.19,0.19,400000
2018-04-12,0.18,0.18,0.18,0.18,0.18,200000
2018-04-17,0.18,0.18,0.18,0.18,0.18,400000
2018-04-18,0.2,0.2,0.2,0.2,0.2,199800
2018-04-19,0.2,0.2,0.2,0.2,0.2,100000
2018-04-20,0.2,0.2,0.2,0.2,0.2,300000
2018-04-23,0.19,0.19,0.18,0.18,0.18,200000
2018-04-26,0.16,0.16,0.15,0.15,0.15,200000
2018-04-27,0.15,0.15,0.14,0.14,0.14,200000
2018-04-30,0.14,0.14,0.13,0.13,0.13,200000
2018-05-02,0.15,0.16,0.15,0.15,0.15,678200
2018-05-03,0.15,0.16,0.15,0.16,0.16,400000
2018-05-04,0.15,0.15,0.14,0.14,0.14,1371000
2018-05-07,0.13,0.13,0.13,0.13,0.13,400000
2018-05-08,0.12,0.12,0.12,0.12,0.12,900000
2018-05-09,0.12,0.12,0.11,0.11,0.11,600000
2018-05-10,0.1,0.1,0.1,0.1,0.1,600000
2018-05-11,0.1,0.2,0.1,0.17,0.17,1685200
2018-05-14,0.15,0.16,0.14,0.15,0.15,600100
2018-05-15,0.14,0.14,0.11,0.12,0.12,575000
2018-05-16,0.11,0.11,0.1,0.1,0.1,350000
2018-05-18,0.07,0.07,0.07,0.07,0.07,500000
2018-05-21,0.08,0.11,0.08,0.11,0.11,600000
2018-05-22,0.1,0.1,0.09,0.1,0.1,1100000
2018-05-23,0.11,0.12,0.1,0.11,0.11,1050000
2018-05-24,0.11,0.11,0.1,0.1,0.1,350000
2018-05-25,0.08,0.09,0.08,0.09,0.09,500000
2018-05-28,0.09,0.09,0.08,0.08,0.08,375000
2018-05-31,0.05,0.05,0.05,0.05,0.05,300000
2018-06-01,0.06,0.07,0.06,0.07,0.07,650000
2018-06-05,0.05,0.05,0.05,0.05,0.05,250000
2018-06-07,0.04,0.04,0.04,0.04,0.04,550000
2018-06-11,0.07,0.11,0.07,0.07,0.07,1277600
2018-06-12,0.07,0.09,0.06,0.06,0.06,1414400
2018-06-14,0.05,0.1,0.05,0.09,0.09,2701400
2018-06-15,0.04,0.22,0.04,0.22,0.22,6822300
2018-06-18,0.18,0.23,0.09,0.1,0.1,4677500
2018-06-19,0.14,0.2,0.13,0.17,0.17,4545100
2018-06-20,0.26,0.27,0.22,0.25,0.25,6966000
2018-06-21,0.25,0.25,0.22,0.22,0.22,4553700
2018-06-22,0.23,0.23,0.23,0.23,0.23,105300
2018-06-29,0.09,0.09,0.09,0.09,0.09,500
