Date,Open,High,Low,Close,Adj Close,Volume
2017-11-17,0.31,0.33,0.3,0.33,0.33,1937700
2017-11-20,0.32,0.44,0.32,0.41,0.41,11319600
2017-11-21,0.42,0.43,0.39,0.4,0.4,4047900
2017-11-22,0.41,0.45,0.4,0.41,0.41,8580200
2017-11-23,0.42,0.42,0.37,0.37,0.37,3683100
2017-11-24,0.37,0.38,0.33,0.35,0.35,3984400
2017-11-27,0.34,0.37,0.31,0.31,0.31,4520300
2017-11-28,0.32,0.34,0.32,0.32,0.32,2645800
2017-11-29,0.34,0.34,0.32,0.33,0.33,4143200
2017-11-30,0.31,0.33,0.31,0.33,0.33,2765200
2017-12-01,0.3,0.35,0.3,0.35,0.35,11302700
2017-12-04,0.35,0.35,0.31,0.35,0.35,8338200
2017-12-06,0.32,0.32,0.27,0.27,0.27,7097400
2017-12-07,0.26,0.29,0.26,0.29,0.29,5175600
2017-12-08,0.32,0.44,0.32,0.42,0.42,15973800
2017-12-12,0.45,0.45,0.39,0.42,0.42,13639700
2017-12-13,0.42,0.42,0.37,0.42,0.42,7867400
2017-12-14,0.42,0.53,0.42,0.53,0.53,19238900
2017-12-15,0.53,0.63,0.53,0.6,0.6,25138900
2017-12-18,0.6,0.6,0.55,0.59,0.59,14438200
2017-12-19,0.6,0.72,0.58,0.71,0.71,16976500
2017-12-20,0.72,0.73,0.66,0.67,0.67,7675100
2017-12-21,0.7,0.73,0.63,0.63,0.63,12227100
2017-12-22,0.63,0.73,0.63,0.7,0.7,15698600
2017-12-25,0.72,0.86,0.72,0.86,0.86,17432100
2017-12-26,0.87,0.98,0.8,0.97,0.97,17019900
2017-12-27,0.98,1.05,0.94,1.02,1.02,14743600
2017-12-28,1,1,0.87,0.9,0.9,12695500
2017-12-29,0.89,0.96,0.88,0.95,0.95,9903700
2018-01-03,0.95,1.04,0.89,0.92,0.92,14662800
2018-01-04,0.92,0.92,0.84,0.91,0.91,12143700
2018-01-05,0.92,1.1,0.92,1.06,1.06,17187500
2018-01-08,1.06,1.08,0.98,0.98,0.98,13337500
2018-01-09,0.96,1.03,0.87,0.87,0.87,14547200
2018-01-10,0.89,0.93,0.85,0.93,0.93,9834800
2018-01-11,0.93,1.3,0.88,1.28,1.28,18511100
2018-01-12,1.3,1.33,1.2,1.26,1.26,14536600
2018-01-15,1.3,1.48,1.25,1.29,1.29,14350100
2018-01-16,1.29,1.37,1.21,1.29,1.29,9148100
2018-01-17,1.27,1.59,1.27,1.59,1.59,13014700
2018-01-18,1.7,1.71,1.54,1.54,1.54,1478200
2018-01-19,1.54,1.9,1.54,1.83,1.83,3333200
2018-01-22,1.81,1.91,1.77,1.84,1.84,3423500
2018-01-23,1.87,1.89,1.75,1.75,1.75,2314100
2018-01-24,1.76,1.85,1.75,1.8,1.8,1428700
2018-01-25,1.8,1.8,1.54,1.56,1.56,2461800
2018-01-26,1.57,1.6,1.45,1.55,1.55,4498100
2018-01-29,1.61,1.73,1.61,1.68,1.68,1466000
2018-01-30,1.69,1.69,1.61,1.64,1.64,1437600
2018-01-31,1.61,1.64,1.57,1.59,1.59,2015200
2018-02-01,1.6,1.66,1.54,1.55,1.55,1506000
2018-02-02,1.55,1.57,1.35,1.42,1.42,1831100
2018-02-05,1.3,1.39,1.3,1.34,1.34,2035000
2018-02-06,1.17,1.37,1.17,1.37,1.37,2658000
2018-02-07,1.43,1.59,1.42,1.5,1.5,2605400
2018-02-08,1.52,1.6,1.43,1.55,1.55,2468400
2018-02-09,1.48,1.56,1.46,1.56,1.56,1943600
2018-02-12,1.55,1.71,1.55,1.71,1.71,1838000
2018-02-13,1.67,1.71,1.57,1.59,1.59,1202000
2018-02-14,1.57,1.58,1.51,1.51,1.51,856000
2018-02-15,1.49,1.49,1.25,1.31,1.31,3353700
2018-02-16,1.29,1.37,1.29,1.36,1.36,1232900
2018-02-19,1.29,1.34,1.24,1.25,1.25,3081600
2018-02-20,1.22,1.3,1.22,1.26,1.26,1176000
