Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,0.27,0.28,0.27,0.28,0.28,20000
2018-06-11,0.29,0.3,0.29,0.29,0.29,788500
2018-06-12,0.27,0.28,0.27,0.28,0.28,1364000
2018-06-13,0.28,0.28,0.27,0.27,0.27,1022000
2018-06-15,0.27,0.3,0.27,0.3,0.3,2941100
2018-06-18,0.29,0.3,0.25,0.25,0.25,13896800
2018-06-19,0.24,0.25,0.21,0.21,0.21,28832100
2018-06-20,0.2,0.22,0.2,0.21,0.21,3568400
2018-06-21,0.22,0.23,0.22,0.22,0.22,20639600
2018-06-22,0.22,0.22,0.21,0.22,0.22,21024300
2018-06-25,0.23,0.23,0.2,0.2,0.2,7741000
2018-06-26,0.18,0.18,0.16,0.16,0.16,6279100
2018-06-27,0.15,0.16,0.15,0.15,0.15,1046100
2018-06-28,0.15,0.15,0.12,0.13,0.13,6906300
2018-06-29,0.13,0.16,0.13,0.16,0.16,6781000
2018-07-02,0.17,0.21,0.16,0.21,0.21,3269100
2018-07-03,0.22,0.22,0.2,0.21,0.21,1531800
2018-07-04,0.2,0.21,0.19,0.19,0.19,2598200
2018-07-05,0.19,0.21,0.19,0.2,0.2,2296300
2018-07-06,0.2,0.25,0.19,0.25,0.25,2121300
2018-07-09,0.25,0.25,0.24,0.24,0.24,777500
2018-07-10,0.24,0.24,0.23,0.24,0.24,717500
2018-07-11,0.23,0.26,0.23,0.25,0.25,10668200
2018-07-12,0.25,0.27,0.25,0.27,0.27,4116400
2018-07-13,0.27,0.28,0.27,0.28,0.28,3409000
2018-07-16,0.27,0.29,0.25,0.29,0.29,5451500
2018-07-17,0.28,0.3,0.28,0.3,0.3,3252300
2018-07-18,0.3,0.31,0.3,0.3,0.3,1227700
2018-07-19,0.3,0.3,0.28,0.3,0.3,1618100
2018-07-20,0.29,0.31,0.29,0.29,0.29,4168600
2018-07-23,0.29,0.29,0.26,0.27,0.27,1551900
2018-07-24,0.26,0.28,0.26,0.26,0.26,1124900
2018-07-25,0.27,0.28,0.27,0.28,0.28,3122500
2018-07-26,0.27,0.28,0.26,0.26,0.26,5277900
2018-07-31,0.25,0.26,0.24,0.24,0.24,822300
2018-08-01,0.24,0.26,0.24,0.25,0.25,630600
2018-08-02,0.23,0.24,0.22,0.23,0.23,4397300
2018-08-03,0.24,0.27,0.24,0.26,0.26,4593400
2018-08-06,0.26,0.33,0.26,0.3,0.3,15237800
2018-08-07,0.3,0.33,0.3,0.33,0.33,4452300
2018-08-08,0.33,0.34,0.3,0.31,0.31,4949000
2018-08-09,0.32,0.33,0.31,0.33,0.33,3196300
2018-08-10,0.26,0.31,0.26,0.31,0.31,7246400
2018-08-14,0.29,0.35,0.29,0.35,0.35,3162400
2018-08-15,0.36,0.36,0.33,0.35,0.35,1868500
2018-08-16,0.32,0.32,0.3,0.3,0.3,2787700
2018-08-17,0.31,0.31,0.28,0.28,0.28,1629400
2018-08-20,0.29,0.29,0.28,0.28,0.28,543400
2018-08-21,0.27,0.27,0.2,0.21,0.21,3181200
2018-08-22,0.21,0.22,0.2,0.2,0.2,7257600
2018-08-23,0.2,0.22,0.2,0.22,0.22,5632900
2018-08-24,0.23,0.26,0.23,0.26,0.26,4309100
2018-08-27,0.25,0.26,0.24,0.24,0.24,1198800
2018-08-28,0.25,0.25,0.23,0.23,0.23,195700
2018-08-29,0.23,0.24,0.23,0.24,0.24,1740700
2018-08-30,0.25,0.27,0.25,0.27,0.27,5493700
2018-08-31,0.28,0.28,0.25,0.27,0.27,13355700
2018-09-03,0.27,0.33,0.27,0.33,0.33,5929500
2018-09-04,0.33,0.36,0.32,0.33,0.33,4520900
2018-09-05,0.39,0.42,0.35,0.39,0.39,13144700
2018-09-06,0.36,0.4,0.35,0.35,0.35,6458600
2018-09-07,0.34,0.4,0.34,0.38,0.38,7931200
2018-09-10,0.38,0.38,0.35,0.35,0.35,10624700
2018-09-11,0.36,0.39,0.36,0.36,0.36,15049500
2018-09-12,0.34,0.38,0.34,0.36,0.36,6567800
2018-09-13,0.37,0.38,0.35,0.35,0.35,5776900
2018-09-14,0.36,0.37,0.35,0.35,0.35,4329400
2018-09-17,0.33,0.34,0.28,0.28,0.28,1039700
2018-09-18,0.29,0.32,0.29,0.31,0.31,3063100
2018-09-19,0.31,0.32,0.25,0.25,0.25,8911300
2018-09-20,0.23,0.25,0.21,0.22,0.22,3660700
2018-09-21,0.24,0.26,0.23,0.25,0.25,8341500
2018-09-24,0.24,0.27,0.24,0.24,0.24,6978300
2018-09-25,0.25,0.26,0.24,0.26,0.26,8162800
2018-09-26,0.25,0.25,0.21,0.22,0.22,9603200
2018-09-27,0.23,0.24,0.22,0.22,0.22,4042800
2018-09-28,0.24,0.27,0.22,0.24,0.24,9062200
