Date,Open,High,Low,Close,Adj Close,Volume
2014-07-07,0.66,0.66,0.66,0.66,0.66,30000
2014-07-08,0.65,0.65,0.64,0.64,0.64,130000
2014-07-09,0.64,0.64,0.64,0.64,0.64,100000
2014-07-21,0.61,0.62,0.61,0.61,0.61,1000400
2014-07-22,0.63,0.63,0.63,0.63,0.63,77500
2014-07-23,0.61,0.61,0.55,0.56,0.56,487500
2014-07-24,0.55,0.57,0.55,0.55,0.55,680000
2014-07-25,0.54,0.56,0.54,0.55,0.55,191800
2014-07-28,0.54,0.57,0.54,0.57,0.57,415400
2014-07-29,0.55,0.57,0.55,0.57,0.57,168000
2014-07-30,0.59,0.59,0.58,0.58,0.58,108000
2014-07-31,0.58,0.58,0.56,0.58,0.58,530800
2014-08-01,0.58,0.58,0.58,0.58,0.58,20000
2014-08-04,0.58,0.58,0.57,0.57,0.57,30000
2014-08-05,0.54,0.55,0.54,0.55,0.55,177800
2014-08-06,0.56,0.56,0.56,0.56,0.56,100000
2014-08-08,0.55,0.55,0.55,0.55,0.55,77800
2014-08-13,0.54,0.54,0.54,0.54,0.54,90000
2014-08-15,0.5,0.5,0.5,0.5,0.5,10000
2014-08-19,0.51,0.52,0.51,0.52,0.52,60000
2014-08-20,0.5,0.5,0.49,0.49,0.49,200000
2014-08-21,0.5,0.5,0.5,0.5,0.5,50000
2014-08-25,0.48,0.48,0.48,0.48,0.48,200000
2014-08-26,0.45,0.46,0.45,0.46,0.46,788600
2014-08-27,0.45,0.46,0.45,0.46,0.46,1244000
2014-08-28,0.46,0.48,0.46,0.48,0.48,306300
2014-08-29,0.48,0.48,0.48,0.48,0.48,329500
2014-09-02,0.46,0.47,0.46,0.46,0.46,102800
2014-09-04,0.45,0.45,0.45,0.45,0.45,180600
2014-09-05,0.46,0.46,0.45,0.45,0.45,600
2014-09-08,0.45,0.46,0.45,0.46,0.46,125600
2014-09-09,0.46,0.48,0.46,0.47,0.47,23600
2014-09-10,0.48,0.49,0.48,0.49,0.49,134000
2014-09-11,0.49,0.49,0.49,0.49,0.49,198900
2014-09-12,0.53,0.53,0.53,0.53,0.53,15000
2014-09-15,0.51,0.53,0.51,0.52,0.52,209000
2014-09-16,0.53,0.53,0.53,0.53,0.53,165000
2014-09-17,0.52,0.53,0.52,0.53,0.53,167000
2014-09-18,0.52,0.52,0.52,0.52,0.52,103600
2014-09-19,0.48,0.51,0.48,0.51,0.51,92000
2014-09-22,0.52,0.52,0.5,0.51,0.51,21800
2014-09-23,0.5,0.51,0.5,0.5,0.5,97000
2014-09-29,0.49,0.49,0.49,0.49,0.49,407600
2014-09-30,0.47,0.48,0.47,0.47,0.47,131100
2014-10-01,0.46,0.46,0.46,0.46,0.46,24500
2014-10-02,0.46,0.47,0.46,0.47,0.47,24500
2014-10-03,0.47,0.47,0.47,0.47,0.47,100
2014-10-10,0.47,0.47,0.47,0.47,0.47,200000
2014-10-17,0.46,0.46,0.46,0.46,0.46,30000
2014-10-20,0.45,0.45,0.45,0.45,0.45,11000
2014-10-21,0.46,0.46,0.45,0.45,0.45,252000
2014-10-22,0.43,0.45,0.43,0.45,0.45,272200
2014-10-24,0.44,0.45,0.44,0.45,0.45,300000
2014-10-27,0.44,0.44,0.42,0.42,0.42,1401000
2014-10-28,0.43,0.43,0.42,0.42,0.42,100400
2014-10-29,0.41,0.41,0.41,0.41,0.41,119000
2014-10-30,0.41,0.41,0.39,0.39,0.39,300000
2014-11-03,0.36,0.37,0.36,0.37,0.37,40000
2014-11-04,0.38,0.38,0.37,0.37,0.37,214200
2014-11-06,0.37,0.37,0.37,0.37,0.37,127000
2014-11-10,0.39,0.39,0.39,0.39,0.39,111400
2014-11-11,0.39,0.4,0.39,0.4,0.4,1115000
2014-11-17,0.4,0.4,0.4,0.4,0.4,3483200
2014-11-19,0.43,0.45,0.43,0.45,0.45,1165800
2014-11-20,0.47,0.47,0.43,0.43,0.43,424800
2014-11-21,0.41,0.41,0.41,0.41,0.41,100000
2014-11-24,0.42,0.42,0.42,0.42,0.42,60000
2014-11-26,0.39,0.39,0.39,0.39,0.39,100000
2014-11-27,0.4,0.4,0.39,0.39,0.39,78000
2014-12-02,0.32,0.35,0.32,0.35,0.35,188000
2014-12-03,0.34,0.35,0.34,0.35,0.35,108200
2014-12-09,0.37,0.37,0.37,0.37,0.37,336600
2014-12-11,0.41,0.41,0.41,0.41,0.41,76400
2014-12-12,0.42,0.43,0.42,0.42,0.42,612200
2014-12-15,0.5,0.6,0.5,0.6,0.6,467400
2014-12-16,0.58,0.59,0.58,0.59,0.59,100000
2014-12-17,0.52,0.53,0.51,0.51,0.51,314600
2014-12-18,0.48,0.51,0.48,0.51,0.51,181000
2014-12-19,0.44,0.46,0.44,0.46,0.46,16400
2014-12-23,0.45,0.47,0.45,0.47,0.47,111600
2014-12-24,0.45,0.46,0.45,0.46,0.46,46800
