Date,Open,High,Low,Close,Adj Close,Volume
2018-01-18,0.29,0.29,0.27,0.28,0.28,5712800
2018-01-19,0.27,0.28,0.23,0.27,0.27,12640800
2018-01-22,0.25,0.27,0.24,0.26,0.26,11133200
2018-01-23,0.27,0.29,0.25,0.29,0.29,8482500
2018-01-24,0.28,0.34,0.28,0.34,0.34,17466400
2018-01-25,0.33,0.33,0.29,0.3,0.3,9362200
2018-01-26,0.26,0.27,0.26,0.27,0.27,11107800
2018-01-29,0.28,0.29,0.27,0.27,0.27,11185800
2018-01-30,0.25,0.27,0.25,0.26,0.26,12323100
2018-01-31,0.24,0.27,0.24,0.26,0.26,14324000
2018-02-01,0.26,0.26,0.25,0.26,0.26,9175400
2018-02-02,0.25,0.25,0.24,0.24,0.24,1255600
2018-02-05,0.21,0.23,0.21,0.21,0.21,8103200
2018-02-06,0.15,0.22,0.15,0.21,0.21,15155400
2018-02-07,0.23,0.23,0.21,0.21,0.21,7553400
2018-02-08,0.2,0.21,0.19,0.21,0.21,9135400
2018-02-09,0.19,0.22,0.19,0.22,0.22,4789800
2018-02-12,0.21,0.21,0.2,0.21,0.21,2540500
2018-02-13,0.21,0.21,0.19,0.2,0.2,5199900
2018-02-14,0.2,0.21,0.19,0.2,0.2,17857200
2018-02-15,0.2,0.21,0.2,0.21,0.21,4980100
2018-02-16,0.21,0.22,0.21,0.22,0.22,15285900
2018-02-19,0.23,0.24,0.22,0.23,0.23,8189200
2018-02-20,0.23,0.24,0.22,0.22,0.22,1895800
2018-02-21,0.21,0.21,0.2,0.21,0.21,5041500
2018-02-22,0.21,0.24,0.21,0.23,0.23,16078600
2018-02-23,0.24,0.26,0.24,0.25,0.25,8358600
2018-02-26,0.24,0.25,0.22,0.22,0.22,10664800
2018-02-27,0.23,0.24,0.23,0.23,0.23,15505800
2018-02-28,0.23,0.24,0.21,0.22,0.22,10867100
2018-03-02,0.22,0.22,0.19,0.19,0.19,7352800
2018-03-05,0.2,0.2,0.18,0.2,0.2,16232600
2018-03-06,0.2,0.21,0.19,0.19,0.19,5788100
2018-03-07,0.19,0.19,0.17,0.19,0.19,4934700
2018-03-08,0.17,0.18,0.17,0.18,0.18,2542600
2018-03-09,0.18,0.19,0.16,0.19,0.19,4126900
2018-03-12,0.19,0.21,0.19,0.21,0.21,9970400
2018-03-13,0.21,0.21,0.19,0.2,0.2,5708900
2018-03-14,0.2,0.21,0.2,0.21,0.21,17833100
2018-03-15,0.21,0.21,0.2,0.2,0.2,569200
2018-03-16,0.2,0.2,0.2,0.2,0.2,3754400
2018-03-19,0.19,0.19,0.18,0.18,0.18,220000
2018-03-20,0.17,0.18,0.16,0.16,0.16,3103200
2018-03-21,0.16,0.17,0.16,0.16,0.16,235000
2018-03-22,0.16,0.17,0.16,0.17,0.17,2570200
2018-03-23,0.15,0.15,0.15,0.15,0.15,4711700
2018-03-26,0.15,0.15,0.15,0.15,0.15,2546500
2018-03-27,0.15,0.15,0.15,0.15,0.15,6283800
2018-03-28,0.14,0.15,0.14,0.14,0.14,9516200
2018-03-29,0.14,0.14,0.14,0.14,0.14,7502000
2018-03-30,0.13,0.15,0.13,0.15,0.15,7442800
2018-04-02,0.14,0.14,0.13,0.14,0.14,6893000
2018-04-03,0.14,0.14,0.14,0.14,0.14,10000
2018-04-04,0.14,0.15,0.13,0.15,0.15,6495600
2018-04-05,0.14,0.15,0.13,0.14,0.14,11900300
2018-04-09,0.14,0.15,0.14,0.15,0.15,8643800
2018-04-10,0.15,0.16,0.15,0.16,0.16,4115200
2018-04-11,0.16,0.16,0.16,0.16,0.16,706600
2018-04-12,0.15,0.15,0.14,0.15,0.15,6725900
2018-04-17,0.14,0.14,0.12,0.12,0.12,5578000
2018-04-19,0.13,0.14,0.13,0.14,0.14,160500
