Date,Open,High,Low,Close,Adj Close,Volume
2016-05-23,8.85,8.85,8.85,8.85,8.85,900
2016-05-24,8.71,8.71,8.71,8.71,8.71,900
2016-06-10,9.1,9.1,9.1,9.1,9.1,400
2016-06-13,8.84,8.84,8.84,8.84,8.84,400
2016-06-17,9.34,9.34,9.34,9.34,9.34,400
2016-07-04,9.85,9.85,9.85,9.85,9.85,60
2016-07-06,9.45,9.45,9.45,9.45,9.45,100
2016-07-07,9.6,9.6,9.6,9.6,9.6,200
2016-07-11,9.79,9.79,9.79,9.79,9.79,100
2016-07-25,9.7,9.7,9.7,9.7,9.7,100
2016-07-26,11.09,11.09,11.09,11.09,11.09,600
2016-07-27,9.86,9.86,9.86,9.86,9.86,100
2016-08-03,10.64,10.64,10.64,10.64,10.64,1
2016-08-09,11.2,11.2,11.2,11.2,11.2,501
2016-08-10,11,11,11,11,11,130
2016-08-11,10.69,10.69,10.69,10.69,10.69,200
2016-08-18,11.14,11.14,11.14,11.14,11.14,300
2016-08-19,11.1,11.1,11.1,11.1,11.1,1100
2016-08-22,11.23,11.23,11.23,11.23,11.23,400
2016-08-24,11.27,11.27,11.27,11.27,11.27,100
2016-08-25,11.29,11.29,11.29,11.29,11.29,300
2016-08-30,10.75,10.75,10.75,10.75,10.75,1000
2016-08-31,11.19,11.19,11.19,11.19,11.19,500
2016-09-01,10.75,10.75,10.75,10.75,10.75,100
2016-09-02,10.88,10.88,10.88,10.88,10.88,700
2016-09-05,10.18,10.18,10.18,10.18,10.18,600
2016-09-06,9.83,9.83,9.83,9.83,9.83,203
2016-09-07,10.15,10.15,10.15,10.15,10.15,300
2016-09-08,9.55,9.55,9.55,9.55,9.55,1515
2016-09-09,9.64,9.64,9.64,9.64,9.64,500
2016-09-12,8.94,8.94,8.94,8.94,8.94,2100
2016-09-13,9.3,9.3,9.2,9.2,9.2,1006
2016-09-14,9.9,9.9,9.9,9.9,9.9,802
2016-09-15,9.65,9.65,9.65,9.65,9.65,500
2016-09-16,10.02,10.05,9.75,9.75,9.75,569
2016-09-19,9.92,9.92,9.92,9.92,9.92,1202
2016-09-20,9.85,9.85,9.85,9.85,9.85,700
2016-09-21,10.05,10.05,10.05,10.05,10.05,550
2016-09-22,10,10,10,10,10,802
2016-09-23,10.15,10.15,10.15,10.15,10.15,700
2016-09-26,10.37,10.37,10.37,10.37,10.37,400
2016-09-27,10.2,10.2,10.2,10.2,10.2,300
2016-09-28,9.9,9.9,9.9,9.9,9.9,500
2016-09-29,10.29,10.29,10.29,10.29,10.29,1300
2016-09-30,10.12,10.12,10.12,10.12,10.12,101
2016-10-03,10.01,10.01,10.01,10.01,10.01,1
2016-10-04,10.22,10.23,10.22,10.23,10.23,1015
2016-10-05,10.3,10.3,10.3,10.3,10.3,702
2016-10-06,10.2,10.33,10.2,10.23,10.23,1215
2016-10-10,9.55,9.55,9.55,9.55,9.55,1005
2016-10-11,9.35,9.35,9.35,9.35,9.35,1
2016-10-12,8.8,9,8.8,9,9,2415
2016-10-13,8.93,8.93,8.93,8.93,8.93,901
2016-10-14,10,10.1,9.91,10.1,10.1,2099
2016-10-17,9.8,9.8,9.8,9.8,9.8,700
2016-10-18,9.79,9.79,9.79,9.79,9.79,200
2016-10-19,10.19,10.19,10.19,10.19,10.19,1200
2016-10-20,10.01,10.1,10,10.01,10.01,26
2016-10-21,10.13,10.13,10.13,10.13,10.13,300
2016-10-25,10.2,10.2,10.2,10.2,10.2,200
2016-10-26,10.2,10.35,10.2,10.35,10.35,1315
2016-10-27,10.32,10.32,10.32,10.32,10.32,300
2016-10-28,10.22,10.22,10.22,10.22,10.22,403
2016-10-31,10.27,10.27,10.27,10.27,10.27,100
2016-11-01,10.08,10.16,10.08,10.16,10.16,506
2016-11-02,10.1,10.1,10.1,10.1,10.1,603
2016-11-03,10.19,10.19,10.19,10.19,10.19,200
2016-11-04,10,10.05,10,10.05,10.05,5
2016-11-07,10.05,10.05,9.91,10,10,33
2016-11-08,9.85,10.1,9.85,10.1,10.1,403
2016-11-10,10,10,10,10,10,120
2016-11-11,9.8,9.8,9.8,9.8,9.8,323
2016-11-14,9.7,9.7,9.7,9.7,9.7,115
2016-11-18,9.4,9.4,9.4,9.4,9.4,110
2016-11-21,9.8,9.8,9.8,9.8,9.8,240
2016-11-22,9.9,10.04,9.9,10.04,10.04,315
2016-11-23,10.04,10.04,10.04,10.04,10.04,300
2016-11-24,9.98,9.98,9.98,9.98,9.98,5
2016-11-25,9.85,9.85,9.85,9.85,9.85,200
2016-11-28,10.1,10.1,10,10,10,475
2016-11-29,10.2,10.2,10.2,10.2,10.2,654
2016-11-30,10.2,10.2,10.2,10.2,10.2,102
2016-12-01,10.36,10.36,10.36,10.36,10.36,200
2016-12-02,10.16,10.16,10.16,10.16,10.16,100
2016-12-06,10.13,10.13,10.13,10.13,10.13,100
2016-12-07,10.22,10.22,10.22,10.22,10.22,100
2016-12-08,10.1,10.1,10.1,10.1,10.1,2
2016-12-09,10.13,10.13,10.13,10.13,10.13,1200
2016-12-13,10.1,10.1,10.1,10.1,10.1,1605
2016-12-14,10.22,10.22,10.22,10.22,10.22,200
2016-12-15,10.22,10.22,10.22,10.22,10.22,200
2016-12-16,10.1,10.1,10.1,10.1,10.1,100
2016-12-21,10.2,10.2,10.2,10.2,10.2,1
2016-12-22,9.85,9.85,9.68,9.7,9.7,111
2016-12-23,9.77,9.85,9.77,9.85,9.85,4
2016-12-26,9.95,9.95,9.95,9.95,9.95,5
2016-12-29,10.02,10.02,10.02,10.02,10.02,100
