Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,4.75,4.75,4.74,4.74,4.74,6
2018-07-04,4.57,4.57,4.57,4.57,4.57,4
2018-07-05,4.38,4.38,4.38,4.38,4.38,2
2018-07-23,4.94,4.94,4.94,4.94,4.94,4
2018-09-03,4.41,4.41,4.41,4.41,4.41,1
2018-09-19,4.4,4.4,4.4,4.4,4.4,1
2018-09-20,4.3,4.3,4.3,4.3,4.3,2
2018-09-24,3.91,3.91,3.91,3.91,3.91,1
2018-09-25,3.91,3.91,3.91,3.91,3.91,1
2018-10-30,4.01,4.01,4.01,4.01,4.01,4111
2018-12-18,3.38,3.39,3.38,3.39,3.39,20
2018-12-19,3.29,3.29,3.29,3.29,3.29,1
2018-12-20,3.27,3.27,3.25,3.25,3.25,507
2018-12-21,3.17,3.17,3.17,3.17,3.17,3
2018-12-26,2.99,2.99,2.99,2.99,2.99,2
2018-12-27,2.95,2.95,2.95,2.95,2.95,5033
2018-12-28,3.01,3.01,3.01,3.01,3.01,1
2019-01-04,2.98,2.98,2.98,2.98,2.98,2
