Date,Open,High,Low,Close,Adj Close,Volume
2014-12-16,1.04,1.04,1.04,1.04,1.04,400000
2014-12-25,0.91,0.91,0.91,0.91,0.91,155000
2014-12-30,0.92,0.92,0.92,0.92,0.92,150000
2015-01-05,0.89,0.89,0.89,0.89,0.89,5000
2015-01-09,0.81,0.81,0.81,0.81,0.81,400000
2015-01-12,0.79,0.79,0.79,0.79,0.79,300
2015-01-13,0.79,0.79,0.79,0.79,0.79,200
2015-01-14,0.8,0.8,0.8,0.8,0.8,100
2015-02-11,0.81,0.81,0.76,0.76,0.76,60000
2015-02-17,0.73,0.73,0.73,0.73,0.73,2100
2015-02-27,0.8,0.8,0.8,0.8,0.8,2000
2015-03-05,0.8,0.8,0.79,0.8,0.8,400000
2015-03-16,0.75,0.76,0.75,0.76,0.76,255000
2015-03-19,0.69,0.69,0.69,0.69,0.69,100
2015-03-24,0.72,0.72,0.72,0.72,0.72,2000
2015-03-26,0.75,0.75,0.75,0.75,0.75,2000
2015-04-01,0.7,0.7,0.7,0.7,0.7,2800000
2015-04-02,0.67,0.67,0.67,0.67,0.67,4000
2015-04-08,0.66,0.66,0.65,0.65,0.65,5300000
2015-04-10,0.67,0.67,0.67,0.67,0.67,3500000
2015-04-29,0.7,0.7,0.7,0.7,0.7,30000
2015-05-07,0.65,0.66,0.65,0.66,0.66,400000
2015-05-08,0.69,0.69,0.64,0.64,0.64,100100
2015-05-11,0.64,0.64,0.64,0.64,0.64,100100
2015-05-15,0.65,0.65,0.65,0.65,0.65,5000
2015-05-22,0.62,0.62,0.62,0.62,0.62,100
2015-05-25,0.6,0.6,0.6,0.6,0.6,1000
2015-05-26,0.62,0.62,0.62,0.62,0.62,1000
2015-06-05,0.61,0.61,0.61,0.61,0.61,100
2015-06-08,0.6,0.6,0.6,0.6,0.6,100
2015-06-09,0.6,0.6,0.6,0.6,0.6,5000
2015-06-11,0.59,0.59,0.59,0.59,0.59,600
2015-06-12,0.57,0.57,0.57,0.57,0.57,800
2015-06-17,0.57,0.57,0.57,0.57,0.57,30000
2015-06-26,0.56,0.56,0.56,0.56,0.56,1600
