Date,Open,High,Low,Close,Adj Close,Volume
2018-07-02,0.35,0.39,0.35,0.39,0.39,6813000
2018-07-03,0.37,0.38,0.35,0.37,0.37,22195800
2018-07-04,0.36,0.39,0.36,0.38,0.38,14414000
2018-07-05,0.38,0.39,0.37,0.39,0.39,15044100
2018-07-06,0.38,0.41,0.38,0.4,0.4,17573400
2018-07-09,0.41,0.41,0.41,0.41,0.41,14752300
2018-07-10,0.4,0.4,0.4,0.4,0.4,4804200
2018-07-11,0.39,0.39,0.39,0.39,0.39,9521100
2018-07-12,0.39,0.39,0.39,0.39,0.39,3129300
2018-07-13,0.39,0.39,0.39,0.39,0.39,3001000
2018-07-16,0.38,0.38,0.36,0.36,0.36,8313400
2018-07-17,0.36,0.37,0.36,0.37,0.37,12304800
2018-07-18,0.37,0.37,0.36,0.36,0.36,3374000
2018-07-19,0.37,0.38,0.37,0.38,0.38,4954400
2018-07-20,0.38,0.39,0.38,0.38,0.38,6652300
2018-07-23,0.38,0.38,0.38,0.38,0.38,2581000
2018-07-24,0.38,0.39,0.38,0.39,0.39,818600
2018-07-25,0.39,0.39,0.39,0.39,0.39,7658000
2018-07-26,0.41,0.41,0.39,0.39,0.39,2311400
2018-07-31,0.4,0.41,0.4,0.41,0.41,10213100
2018-08-01,0.42,0.43,0.42,0.43,0.43,12682200
2018-08-02,0.43,0.43,0.4,0.4,0.4,10039400
2018-08-03,0.39,0.41,0.39,0.39,0.39,1141000
2018-08-06,0.4,0.4,0.39,0.39,0.39,11940000
2018-08-07,0.39,0.4,0.39,0.4,0.4,10942200
2018-08-08,0.4,0.42,0.4,0.42,0.42,22104000
2018-08-09,0.41,0.42,0.41,0.42,0.42,1220000
2018-08-10,0.39,0.4,0.39,0.39,0.39,9294400
2018-08-14,0.39,0.39,0.38,0.39,0.39,2806300
2018-08-15,0.37,0.37,0.35,0.36,0.36,6716400
2018-08-16,0.37,0.38,0.37,0.37,0.37,9397300
2018-08-17,0.37,0.37,0.36,0.36,0.36,7398400
2018-08-20,0.36,0.38,0.36,0.38,0.38,5626400
2018-08-22,0.35,0.39,0.35,0.39,0.39,5259200
2018-08-23,0.38,0.39,0.38,0.38,0.38,2789800
2018-08-24,0.38,0.38,0.38,0.38,0.38,2204600
2018-08-27,0.4,0.41,0.4,0.41,0.41,4409300
2018-08-28,0.41,0.41,0.41,0.41,0.41,2322900
2018-08-29,0.4,0.42,0.4,0.42,0.42,6794200
2018-08-30,0.39,0.39,0.37,0.38,0.38,9051000
2018-08-31,0.37,0.37,0.37,0.37,0.37,4640000
2018-09-04,0.37,0.37,0.37,0.37,0.37,4532800
2018-09-05,0.35,0.35,0.34,0.34,0.34,13412400
2018-09-06,0.33,0.33,0.33,0.33,0.33,9611000
2018-09-10,0.32,0.34,0.32,0.33,0.33,11913900
2018-09-11,0.32,0.34,0.32,0.33,0.33,9634400
2018-09-12,0.31,0.32,0.31,0.32,0.32,7802300
2018-09-13,0.33,0.34,0.33,0.34,0.34,14375700
2018-09-14,0.34,0.34,0.33,0.33,0.33,9778600
2018-09-17,0.32,0.32,0.32,0.32,0.32,6685000
2018-09-18,0.32,0.35,0.32,0.35,0.35,12119000
2018-09-19,0.35,0.37,0.35,0.36,0.36,19120000
2018-09-20,0.34,0.37,0.34,0.37,0.37,4255400
2018-09-21,0.35,0.35,0.34,0.34,0.34,7485800
