Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03,54.8,54.8,54.8,54.8,54.8,2
2016-12-08,50,50.5,50,50.5,50.5,212
2016-12-09,50.5,50.5,50.29,50.29,50.29,2
2016-12-13,49.68,49.68,49.68,49.68,49.68,10
2016-12-14,52.31,52.31,52.31,52.31,52.31,20
2016-12-15,46,47,46,47,47,2
2016-12-16,52.04,52.04,52.04,52.04,52.04,20
2016-12-19,52.02,52.02,52.02,52.02,52.02,20
2016-12-20,52.01,52.01,52.01,52.01,52.01,20
2016-12-23,48.45,48.45,48.45,48.45,48.45,1
2016-12-27,51.18,51.18,51.18,51.18,51.18,520
2016-12-28,51.17,51.17,51.17,51.17,51.17,20
2017-01-24,52.75,52.75,52.75,52.75,52.75,20
2017-01-26,50.4,50.4,50.4,50.4,50.4,280
2017-02-01,54.93,54.93,54.93,54.93,54.93,120
2017-02-02,55.58,55.58,55.58,55.58,55.58,40
2017-02-08,55.15,55.15,55.15,55.15,55.15,501
2017-02-09,54.99,54.99,54.99,54.99,54.99,41
2017-02-14,53.87,53.87,53.87,53.87,53.87,41
2017-03-15,54.21,54.21,54.21,54.21,54.21,50
2017-03-21,55.25,55.25,55.25,55.25,55.25,50
2017-03-22,55,55,55,55,55,190
2017-03-28,55.25,55.25,55.25,55.25,55.25,120
2017-03-29,54.72,54.72,54.72,54.72,54.72,240
2017-03-30,56.86,56.86,56.86,56.86,56.86,178
2017-03-31,54.58,54.58,54.08,54.08,54.08,170
2017-04-07,52,53.78,52,53.73,53.73,139
2017-04-10,53.5,53.97,53.5,53.97,53.97,2
2017-04-11,53.74,53.74,53.74,53.74,53.74,1001
2017-04-17,53.5,53.5,53.5,53.5,53.5,142
2017-04-19,52,52,52,52,52,302
2017-04-20,52.95,52.95,52.95,52.95,52.95,287
2017-04-24,54.38,54.38,54.38,54.38,54.38,100
2017-04-26,52,52.15,52,52.15,52.15,279
2017-04-27,52,52,51.99,51.99,51.99,4
2017-04-28,52.64,52.64,52.64,52.64,52.64,121
2017-05-02,53.64,53.65,53.64,53.65,53.65,107
2017-05-03,53.65,53.65,53.65,53.65,53.65,187
2017-05-05,53.65,53.65,53.65,53.65,53.65,102
2017-05-08,54.15,54.15,53.9,53.9,53.9,3
2017-05-11,56,56,56,56,56,1020
2017-05-12,53.32,53.32,53.32,53.32,53.32,21
2017-05-13,53.32,53.32,53.32,53.32,53.32,21
2017-05-17,57.22,57.22,57.22,57.22,57.22,30
2017-05-18,53.96,53.96,53.96,53.96,53.96,20
2017-05-22,54.75,54.75,54.75,54.75,54.75,100
2017-05-23,54.47,54.47,54.47,54.47,54.47,1
2017-05-24,53.06,53.06,53.05,53.05,53.05,82
2017-05-29,54.4,54.4,54.4,54.4,54.4,81
2017-05-30,55.69,55.69,55.69,55.69,55.69,60
2017-05-31,53.2,53.2,53.2,53.2,53.2,201
2017-06-01,53.5,53.5,53.5,53.5,53.5,40
2017-06-05,54,54,54,54,54,60
2017-06-07,54.35,54.52,54.35,54.52,54.52,3
2017-06-08,56.43,56.43,56.43,56.43,56.43,20
2017-06-09,54.5,54.5,54.5,54.5,54.5,21
2017-06-12,54.5,54.5,54.25,54.4,54.4,4
2017-06-13,55.22,55.46,55.22,55.46,55.46,142
2017-06-14,55.15,55.15,55.15,55.15,55.15,122
2017-06-15,55.15,55.15,55,55.14,55.14,5004
2017-06-16,55.14,55.14,55.14,55.14,55.14,121
2017-06-19,54.37,55.65,54.37,55.1,55.1,310
2017-06-20,55.75,55.75,55.5,55.5,55.5,170
2017-06-21,55.5,55.5,55.5,55.5,55.5,762
2017-06-22,56.75,57.25,56.75,57.25,57.25,636
