Date,Open,High,Low,Close,Adj Close,Volume
2007-10-04,6.75,6.75,6.75,6.75,6.75,12000
2008-01-17,5.05,5.05,5.05,5.05,5.05,3000
2008-07-15,3.5,3.9,3.5,3.9,3.9,45000
2008-07-16,3.9,3.9,3.9,3.9,3.9,18000
2008-08-01,3.92,4,3.92,4,4,1020000
2008-09-01,4,4,4,4,4,390000
2008-09-04,3.94,3.94,3.94,3.94,3.94,20000
2008-09-05,3.88,3.88,3.88,3.88,3.88,400000
2008-09-08,370,370,370,370,370,10000
2008-09-10,4.08,4.18,4.08,4.18,4.18,1240000
2008-11-12,2.2,2.2,2.2,2.2,2.2,500000
2008-11-13,2.1,2.1,2.1,2.1,2.1,1006000
2008-11-25,1.87,1.91,1.83,1.83,1.83,1360000
2008-12-17,3.3,3.3,3.3,3.3,3.3,10000
2008-12-29,2.08,2.08,2.08,2.08,2.08,520000
2009-01-08,2,2,2,2,2,100
2009-02-19,1.91,1.91,1.91,1.91,1.91,384800
2009-03-26,1.89,1.89,1.89,1.89,1.89,500000
2009-05-12,3.16,3.16,3.16,3.16,3.16,300000
2009-07-30,3.36,3.36,3.34,3.36,3.36,910067
2009-08-28,3.7,3.7,3.7,3.7,3.7,15000
2010-11-05,4.6,4.6,4.6,4.6,4.6,50000
2010-11-10,4.84,4.84,4.84,4.84,4.84,50000
2011-01-18,4.84,4.84,4.84,4.84,4.84,3600
2011-01-21,4.84,4.84,4.84,4.84,4.84,300000
2011-03-18,4.84,4.84,4.84,4.84,4.84,131500
2011-11-04,4.84,4.84,4.84,4.84,4.84,200000
2011-11-16,3.76,3.76,3.76,3.76,3.76,500000
2012-01-05,3.76,3.76,3.76,3.76,3.76,114500
2012-01-19,4.44,4.46,4.44,4.46,4.46,10000
2012-01-20,4.46,4.46,4.46,4.46,4.46,328900
2012-02-09,4.46,4.46,4.46,4.46,4.46,276000
2012-02-21,4.46,4.46,4.46,4.46,4.46,303500
2012-03-15,4.5,4.5,4.5,4.5,4.5,86300
2012-03-21,4.7,4.7,4.7,4.7,4.7,20000
2012-05-08,4.7,4.7,4.7,4.7,4.7,91400
2012-05-24,4.7,4.7,4.7,4.7,4.7,432400
2012-09-03,5.8,5.8,5.8,5.8,5.8,500
2014-07-23,3.38,3.38,3.38,3.38,3.38,120000
2014-09-25,3.42,3.44,3.42,3.44,3.44,181500
2014-09-30,3.2,3.2,3.2,3.2,3.2,57500
2015-02-04,4,4,4,4,4,57500
2015-03-03,4.38,4.38,4.38,4.38,4.38,707200
2015-10-14,4.14,4.16,4.12,4.12,4.12,176700
2015-10-16,4.2,4.2,4.16,4.18,4.18,109000
2016-03-01,4.42,4.42,4.42,4.42,4.42,130000
2016-03-11,5,5,4.94,4.94,4.94,19800
2016-05-16,5,5,5,5,5,9800
2016-07-14,4.88,4.88,4.88,4.88,4.88,23000
2016-07-29,4.14,4.14,4.14,4.14,4.14,6000
2017-01-11,5.25,5.25,5.25,5.25,5.25,50000
2017-01-12,5.25,5.4,5.25,5.4,5.4,50100
2017-05-05,5.2,5.2,5.2,5.2,5.2,6000
2017-05-24,5.1,5.1,5.1,5.1,5.1,8900
2017-08-22,5.5,5.5,5.5,5.5,5.5,100
2018-01-03,6,6,6,6,6,20000
2018-01-22,7.3,7.3,7.25,7.25,7.25,60500
2018-03-29,7.25,7.25,7.25,7.25,7.25,5000
2018-03-30,7.3,7.3,7.3,7.3,7.3,5000
2018-04-19,7.85,7.85,7.85,7.85,7.85,5000
2018-04-23,7.4,7.4,7.4,7.4,7.4,5000
2018-04-24,7.85,7.85,7.85,7.85,7.85,200
2018-05-10,6.75,6.75,6.6,6.65,6.65,840900
2018-05-15,6.75,6.75,6.7,6.75,6.75,158700
2018-05-17,6.85,7.35,6.85,7.35,7.35,3700
2018-05-25,6.65,6.85,6.55,6.6,6.6,1290500
2018-05-31,6.55,6.55,6.45,6.55,6.55,143300
2018-06-14,6.25,6.3,6.25,6.3,6.3,800
2018-06-22,5.95,5.95,5.95,5.95,5.95,31100
2018-06-25,6.05,6.05,5.85,5.85,5.85,34900
2018-07-06,5.8,5.8,5.75,5.75,5.75,4100
2018-07-13,5.9,5.9,5.9,5.9,5.9,9800
2018-07-16,5.95,5.95,5.95,5.95,5.95,100
2018-07-17,6.05,6.05,6.05,6.05,6.05,114300
2018-07-23,6.45,6.5,6.45,6.5,6.5,63500
2018-07-24,6.45,6.45,6.45,6.45,6.45,300
2018-07-25,6.35,6.35,6.35,6.35,6.35,1100
2018-08-03,6.55,6.55,6.55,6.55,6.55,69900
2018-08-06,6.5,6.5,6.5,6.5,6.5,500
2018-08-16,6.4,6.45,6.4,6.45,6.45,55700
2018-08-24,6.7,6.7,6.7,6.7,6.7,10000
2018-08-28,6.65,6.65,6.65,6.65,6.65,10000
2018-09-11,6.7,6.7,6.65,6.65,6.65,210000
2018-09-20,6.95,7,6.95,7,7,713100
2018-09-27,6.9,6.9,6.8,6.8,6.8,5000
2018-10-09,6.4,6.4,6.4,6.4,6.4,5000
2018-10-22,5.9,6,5.9,6,6,2000
2018-11-06,6.1,6.15,6.05,6.1,6.1,309400
2018-11-08,5.95,5.95,5.95,5.95,5.95,536100
2018-11-09,5.9,5.9,5.85,5.85,5.85,874400
2018-11-13,5.75,5.75,5.75,5.75,5.75,148500
2018-11-15,5.75,5.75,5.7,5.7,5.7,74700
2018-11-20,5.7,5.7,5.65,5.65,5.65,2570400
2018-11-21,5.6,5.6,5.6,5.6,5.6,5000
2018-11-27,6,6,5.95,5.95,5.95,8100
2018-11-28,6.05,6.1,6.05,6.05,6.05,207100
2018-11-29,6,6,6,6,6,9500
2018-12-06,6,6.05,6,6.05,6.05,370700
2018-12-07,6.05,6.05,6.05,6.05,6.05,3800
2018-12-11,6,6,6,6,6,4000
2018-12-12,5.95,5.95,5.9,5.9,5.9,36800
2018-12-13,5.9,5.9,5.75,5.75,5.75,14400
2018-12-14,5.75,5.85,5.75,5.8,5.8,13600
2018-12-17,5.75,5.8,5.65,5.8,5.8,1760800
2018-12-19,5.65,5.7,5.65,5.7,5.7,34700
2018-12-20,5.75,5.75,5.75,5.75,5.75,58900
2018-12-21,5.7,5.7,5.65,5.65,5.65,28800
2018-12-24,6.15,6.15,6.15,6.15,6.15,200
2018-12-25,5.6,5.6,5.6,5.6,5.6,200
2018-12-28,5.75,5.75,5.75,5.75,5.75,2000
2019-01-02,5.7,5.8,5.7,5.8,5.8,588200
2019-01-07,5.9,5.95,5.9,5.95,5.95,7400
2019-01-09,5.95,5.95,5.95,5.95,5.95,1493700
