Date,Open,High,Low,Close,Adj Close,Volume
2013-12-13,0.65,0.65,0.65,0.65,0.65,10000
2013-12-17,0.59,0.6,0.58,0.58,0.58,168600
2013-12-18,0.59,0.59,0.58,0.58,0.58,11700
2013-12-19,0.59,0.59,0.58,0.58,0.58,134500
2013-12-20,0.56,0.56,0.56,0.56,0.56,90000
2013-12-23,0.55,0.55,0.55,0.55,0.55,100000
2013-12-24,0.53,0.55,0.5,0.5,0.5,1443800
2013-12-25,0.51,0.52,0.51,0.52,0.52,627600
2013-12-26,0.51,0.51,0.46,0.47,0.47,564200
2013-12-27,0.46,0.51,0.46,0.49,0.49,208900
2014-01-02,0.46,0.46,0.42,0.42,0.42,66000
2014-01-03,0.39,0.41,0.39,0.4,0.4,695400
2014-01-06,0.39,0.4,0.38,0.39,0.39,18053800
2014-01-07,0.39,0.41,0.39,0.41,0.41,40000
2014-01-08,0.41,0.43,0.41,0.43,0.43,447600
2014-01-09,0.43,0.43,0.42,0.42,0.42,250200
2014-01-10,0.4,0.4,0.4,0.4,0.4,120000
2014-01-13,0.4,0.44,0.4,0.44,0.44,3466000
2014-01-14,0.43,0.47,0.43,0.46,0.46,544600
2014-01-15,0.45,0.45,0.43,0.43,0.43,260100
2014-01-16,0.43,0.47,0.43,0.45,0.45,3545100
2014-01-17,0.46,0.46,0.44,0.44,0.44,252400
2014-01-20,0.45,0.46,0.45,0.45,0.45,1304800
2014-01-21,0.45,0.45,0.43,0.43,0.43,4748100
2014-01-22,0.41,0.41,0.41,0.41,0.41,214000
2014-01-23,0.42,0.46,0.42,0.46,0.46,579400
2014-01-24,0.45,0.46,0.44,0.46,0.46,469200
2014-01-27,0.42,0.42,0.4,0.4,0.4,34100
2014-01-28,0.4,0.4,0.38,0.38,0.38,255100
2014-01-29,0.38,0.38,0.38,0.38,0.38,805000
2014-01-30,0.37,0.38,0.36,0.38,0.38,222600
2014-01-31,0.38,0.38,0.37,0.38,0.38,226800
2014-02-03,0.38,0.41,0.38,0.41,0.41,881200
2014-02-04,0.4,0.4,0.4,0.4,0.4,64600
2014-02-05,0.4,0.4,0.38,0.38,0.38,2206800
2014-02-06,0.4,0.44,0.4,0.44,0.44,1156500
2014-02-07,0.44,0.44,0.43,0.43,0.43,113300
2014-02-10,0.43,0.43,0.41,0.42,0.42,455300
2014-02-11,0.41,0.42,0.41,0.42,0.42,134400
2014-02-12,0.42,0.43,0.42,0.43,0.43,46600
2014-02-13,0.44,0.47,0.43,0.46,0.46,400400
2014-02-17,0.47,0.48,0.46,0.47,0.47,189500
2014-02-18,0.46,0.46,0.43,0.45,0.45,114900
2014-02-19,0.47,0.47,0.44,0.44,0.44,608800
2014-02-20,0.43,0.44,0.42,0.42,0.42,195400
2014-02-21,0.42,0.42,0.4,0.4,0.4,225100
2014-02-24,0.38,0.42,0.38,0.42,0.42,575000
2014-02-25,0.44,0.44,0.44,0.44,0.44,10000
2014-02-26,0.43,0.45,0.43,0.44,0.44,36600
2014-02-27,0.45,0.45,0.45,0.45,0.45,16400
2014-02-28,0.45,0.46,0.45,0.46,0.46,173700
2014-03-03,0.48,0.48,0.46,0.46,0.46,420300
2014-03-04,0.46,0.46,0.45,0.46,0.46,285000
2014-03-05,0.45,0.45,0.44,0.44,0.44,277800
2014-03-06,0.44,0.44,0.44,0.44,0.44,28100
2014-03-07,0.45,0.45,0.45,0.45,0.45,9000
2014-03-10,0.44,0.44,0.42,0.42,0.42,415000
2014-03-11,0.44,0.47,0.44,0.47,0.47,711500
2014-03-12,0.46,0.46,0.44,0.44,0.44,58200
2014-03-13,0.46,0.46,0.46,0.46,0.46,20000
2014-03-14,0.44,0.45,0.43,0.43,0.43,832200
2014-03-17,0.45,0.45,0.43,0.45,0.45,440000
2014-03-18,0.45,0.45,0.43,0.43,0.43,950200
2014-03-19,0.42,0.43,0.42,0.43,0.43,30000
2014-03-20,0.4,0.41,0.4,0.41,0.41,120200
2014-03-21,0.4,0.41,0.4,0.4,0.4,371500
2014-03-24,0.41,0.41,0.41,0.41,0.41,100000
2014-03-25,0.41,0.41,0.41,0.41,0.41,130000
2014-03-26,0.41,0.42,0.41,0.42,0.42,1484600
2014-03-27,0.43,0.44,0.41,0.41,0.41,2091000
2014-03-28,0.43,0.5,0.43,0.48,0.48,5412300
2014-03-31,0.5,0.52,0.48,0.49,0.49,3031400
2014-04-01,0.48,0.52,0.48,0.5,0.5,6189700
2014-04-02,0.53,0.53,0.51,0.53,0.53,4545500
2014-04-03,0.5,0.5,0.47,0.47,0.47,6898400
2014-04-04,0.48,0.49,0.47,0.49,0.49,5233500
2014-04-08,0.48,0.49,0.46,0.46,0.46,2364500
2014-04-09,0.47,0.49,0.47,0.48,0.48,4739700
2014-04-10,0.5,0.55,0.49,0.52,0.52,12448700
2014-04-11,0.51,0.52,0.51,0.52,0.52,3723400
2014-04-16,0.53,0.56,0.53,0.54,0.54,4695700
2014-04-17,0.54,0.54,0.51,0.51,0.51,1052100
2014-04-18,0.51,0.52,0.51,0.52,0.52,776300
2014-04-21,0.52,0.56,0.52,0.56,0.56,5237800
2014-04-22,0.58,0.62,0.58,0.58,0.58,6129300
2014-04-23,0.59,0.59,0.58,0.58,0.58,46000
2014-04-24,0.58,0.59,0.57,0.58,0.58,4016900
2014-04-25,0.57,0.57,0.53,0.53,0.53,738300
2014-04-28,0.53,0.53,0.52,0.52,0.52,29600
2014-04-29,0.52,0.53,0.51,0.51,0.51,1715000
2014-04-30,0.51,0.57,0.51,0.57,0.57,5427100
2014-05-02,0.56,0.58,0.52,0.52,0.52,3434300
2014-05-06,0.53,0.54,0.46,0.46,0.46,16410400
2014-05-07,0.45,0.49,0.43,0.48,0.48,2078000
2014-05-08,0.48,0.48,0.44,0.46,0.46,3343900
2014-05-09,0.44,0.46,0.43,0.43,0.43,2126000
2014-05-12,0.44,0.45,0.43,0.43,0.43,208000
2014-05-14,0.42,0.49,0.42,0.49,0.49,1184100
2014-05-15,0.5,0.51,0.48,0.5,0.5,979000
2014-05-16,0.49,0.51,0.49,0.51,0.51,946000
2014-05-19,0.52,0.53,0.52,0.52,0.52,984300
2014-05-20,0.49,0.5,0.48,0.5,0.5,381600
2014-05-21,0.48,0.51,0.48,0.48,0.48,2145900
2014-05-22,0.49,0.5,0.46,0.47,0.47,4871300
2014-05-23,0.42,0.44,0.41,0.44,0.44,2808800
2014-05-26,0.44,0.44,0.43,0.43,0.43,4085700
2014-05-27,0.42,0.43,0.41,0.41,0.41,1888900
2014-05-28,0.43,0.45,0.43,0.44,0.44,14061900
2014-05-29,0.45,0.45,0.43,0.43,0.43,6619100
2014-05-30,0.42,0.44,0.42,0.44,0.44,2372300
