Date,Open,High,Low,Close,Adj Close,Volume
2014-03-27,3.34,3.34,3.34,3.34,3.34,400
2014-03-28,3.45,3.45,3.45,3.45,3.45,400
2014-04-09,3.54,3.54,3.54,3.54,3.54,500
2014-04-17,3.61,3.61,3.61,3.61,3.61,500
2014-04-21,3.66,3.66,3.66,3.66,3.66,1000
2014-04-23,3.74,3.74,3.74,3.74,3.74,50
2014-04-28,3.63,3.63,3.63,3.63,3.63,50
2014-06-13,3.5,3.5,3.48,3.48,3.48,2
2014-06-16,3.5,3.5,3.5,3.5,3.5,1000
2014-06-17,3.5,3.5,3.5,3.5,3.5,1
2014-06-18,3.52,3.52,3.5,3.5,3.5,5
2014-07-04,3.42,3.42,3.41,3.41,3.41,512
2014-07-07,3.41,3.41,3.4,3.4,3.4,9
2014-07-10,3.4,3.4,3.38,3.38,3.38,7
2014-07-15,3.43,3.43,3.43,3.43,3.43,1
2014-07-17,3.44,3.44,3.44,3.44,3.44,10
2014-07-22,3.44,3.44,3.44,3.44,3.44,7
2014-07-24,3.49,3.49,3.49,3.49,3.49,1
2014-07-30,3.4,3.4,3.4,3.4,3.4,1
2014-08-07,3.34,3.34,3.34,3.34,3.34,7
2014-08-08,3.36,3.36,3.36,3.36,3.36,2
2014-08-26,3.36,3.36,3.36,3.36,3.36,2
2014-09-04,3.47,3.47,3.47,3.47,3.47,1350
2014-09-05,3.5,3.62,3.5,3.62,3.62,5163
2014-09-08,3.55,3.55,3.53,3.53,3.53,1563
2014-09-09,3.46,3.5,3.46,3.5,3.5,14
2014-09-10,3.44,3.48,3.44,3.45,3.45,32
2014-09-11,3.45,3.53,3.45,3.52,3.52,864
2014-09-12,3.44,3.52,3.44,3.52,3.52,65
2014-09-16,3.38,3.45,3.38,3.45,3.45,2540
2014-09-17,3.38,3.38,3.38,3.38,3.38,40
2014-09-18,3.38,3.38,3.38,3.38,3.38,300
2014-09-19,3.32,3.44,3.32,3.4,3.4,309
2014-09-22,3.36,3.36,3.36,3.36,3.36,331
2014-09-23,3.34,3.39,3.34,3.39,3.39,618
2014-09-24,3.3,3.38,3.3,3.38,3.38,629
2014-09-25,3.49,3.54,3.47,3.5,3.5,1343
2014-09-26,3.5,3.5,3.41,3.42,3.42,687
2014-09-29,3.42,3.5,3.42,3.5,3.5,3742
2014-09-30,3.5,3.52,3.5,3.5,3.5,822
2014-10-01,3.61,3.76,3.6,3.62,3.62,6690
2014-10-02,3.59,3.64,3.55,3.57,3.57,3533
2014-10-03,3.6,3.6,3.55,3.6,3.6,3425
2014-10-06,3.57,3.59,3.36,3.46,3.46,2407
2014-10-07,3.44,3.44,3.38,3.4,3.4,2684
2014-10-08,3.36,3.44,3.36,3.44,3.44,438
2014-10-09,3.44,3.45,3.43,3.45,3.45,184
2014-10-10,3.49,3.49,3.41,3.42,3.42,50
2014-10-13,3.38,3.42,3.38,3.41,3.41,42
2014-10-14,3.44,3.49,3.44,3.46,3.46,331
2014-10-15,3.46,3.47,3.42,3.42,3.42,212
2014-10-16,3.39,3.44,3.39,3.42,3.42,109
2014-10-17,3.45,3.45,3.38,3.42,3.42,145
2014-10-20,3.41,3.41,3.4,3.41,3.41,39
2014-10-21,3.41,3.42,3.38,3.42,3.42,17
2014-10-22,3.43,3.44,3.43,3.44,3.44,2
2014-10-24,3.41,3.45,3.41,3.45,3.45,369
2014-10-27,3.45,3.46,3.44,3.46,3.46,434
2014-10-28,3.49,3.49,3.46,3.46,3.46,17
2014-10-29,3.48,3.48,3.44,3.44,3.44,385
2014-10-30,3.41,3.47,3.41,3.46,3.46,420
2014-10-31,3.47,3.47,3.4,3.46,3.46,704
2014-11-03,3.46,3.49,3.45,3.46,3.46,1011
2014-11-04,3.41,3.41,3.41,3.41,3.41,669
2014-11-05,3.4,3.4,3.36,3.36,3.36,6486
2014-11-06,3.34,3.34,3.34,3.34,3.34,1500
2014-11-10,3.38,3.4,3.38,3.4,3.4,862
2014-11-11,3.4,3.4,3.4,3.4,3.4,3
2014-11-12,3.4,3.4,3.37,3.37,3.37,309
2014-11-13,3.34,3.39,3.34,3.38,3.38,1112
2014-11-14,3.36,3.37,3.35,3.35,3.35,59
2014-11-17,3.36,3.39,3.36,3.39,3.39,49
2014-11-18,3.39,3.39,3.39,3.39,3.39,1002
2014-11-19,3.38,3.39,3.38,3.39,3.39,3
2014-11-20,3.35,3.35,3.35,3.35,3.35,1500
2014-11-21,3.35,3.35,3.32,3.34,3.34,436
2014-11-24,3.35,3.37,3.35,3.37,3.37,323
2014-11-25,3.37,3.39,3.37,3.39,3.39,15
2014-11-26,3.38,3.38,3.36,3.36,3.36,610
2014-11-27,3.39,3.39,3.39,3.39,3.39,816
2014-11-28,3.36,3.37,3.36,3.37,3.37,104
2014-12-01,3.32,3.32,3.3,3.3,3.3,776
2014-12-02,3.31,3.34,3.31,3.34,3.34,31
2014-12-04,3.34,3.34,3.34,3.34,3.34,1
2014-12-08,3.3,3.3,3.3,3.3,3.3,815
2014-12-09,3.27,3.3,3.24,3.25,3.25,978
2014-12-11,3.23,3.23,3.09,3.09,3.09,4701
2014-12-12,2.95,3.1,2.95,3.06,3.06,58
2014-12-15,3.01,3.02,2.6,2.94,2.94,1594
2014-12-16,2.9,2.9,2.88,2.9,2.9,16
2014-12-17,2.88,2.98,2.85,2.88,2.88,323
2014-12-18,3,3.08,3,3.08,3.08,1020
2014-12-19,3,3.1,3,3.1,3.1,2206
2014-12-22,3.12,3.15,3.12,3.15,3.15,29
2014-12-23,3.15,3.16,3.12,3.12,3.12,41
2014-12-24,3.03,3.03,3.02,3.02,3.02,6
2014-12-25,2.98,2.98,2.98,2.98,2.98,4
2014-12-26,3.02,3.15,3.02,3.14,3.14,280
2014-12-29,3.12,3.12,3.06,3.06,3.06,32
