Date,Open,High,Low,Close,Adj Close,Volume
2016-11-23,0.22,0.22,0.22,0.22,0.22,40400
2016-11-29,0.22,0.24,0.22,0.24,0.24,202200
2016-11-30,0.23,0.24,0.23,0.23,0.23,202400
2016-12-01,0.24,0.24,0.23,0.23,0.23,201000
2016-12-02,0.22,0.22,0.21,0.21,0.21,80600
2016-12-06,0.21,0.21,0.21,0.21,0.21,202000
2016-12-07,0.21,0.22,0.21,0.22,0.22,121000
2016-12-08,0.22,0.22,0.22,0.22,0.22,80600
2016-12-09,0.22,0.22,0.22,0.22,0.22,80600
2016-12-14,0.22,0.22,0.22,0.22,0.22,40200
2016-12-15,0.22,0.22,0.22,0.22,0.22,121000
2016-12-16,0.22,0.22,0.22,0.22,0.22,40400
2016-12-20,0.21,0.21,0.2,0.2,0.2,40600
2016-12-23,0.2,0.2,0.2,0.2,0.2,80600
2016-12-28,0.19,0.19,0.19,0.19,0.19,40400
2016-12-30,0.19,0.19,0.19,0.19,0.19,80800
2017-01-04,0.19,0.2,0.19,0.19,0.19,88200
2017-01-05,0.2,0.2,0.19,0.19,0.19,80400
2017-01-06,0.2,0.2,0.2,0.2,0.2,323000
2017-01-09,0.19,0.19,0.19,0.19,0.19,363800
2017-01-10,0.19,0.19,0.18,0.18,0.18,80800
2017-01-11,0.2,0.23,0.2,0.22,0.22,515400
2017-01-12,0.23,0.23,0.2,0.2,0.2,282700
2017-01-13,0.22,0.22,0.21,0.21,0.21,231400
2017-01-16,0.21,0.21,0.21,0.21,0.21,302400
2017-01-17,0.2,0.2,0.19,0.19,0.19,793200
2017-01-18,0.19,0.19,0.19,0.19,0.19,497200
2017-01-19,0.18,0.18,0.17,0.17,0.17,796400
2017-01-20,0.19,0.19,0.18,0.18,0.18,638800
2017-01-23,0.2,0.2,0.19,0.19,0.19,333400
2017-01-24,0.19,0.19,0.19,0.19,0.19,110000
2017-01-30,0.17,0.17,0.17,0.17,0.17,150000
2017-01-31,0.17,0.17,0.17,0.17,0.17,100000
2017-02-01,0.17,0.17,0.16,0.16,0.16,276800
2017-02-03,0.17,0.17,0.17,0.17,0.17,100000
2017-02-07,0.16,0.16,0.16,0.16,0.16,407400
2017-02-09,0.17,0.17,0.17,0.17,0.17,204400
2017-02-10,0.18,0.18,0.18,0.18,0.18,250000
2017-02-14,0.16,0.16,0.16,0.16,0.16,158400
2017-02-15,0.16,0.16,0.16,0.16,0.16,50000
2017-02-20,0.17,0.17,0.17,0.17,0.17,50000
2017-02-21,0.18,0.2,0.17,0.17,0.17,1209700
2017-02-22,0.18,0.19,0.17,0.17,0.17,2081600
2017-02-23,0.17,0.17,0.17,0.17,0.17,223400
2017-02-24,0.16,0.16,0.16,0.16,0.16,831400
2017-03-02,0.13,0.13,0.13,0.13,0.13,50000
2017-03-06,0.12,0.12,0.12,0.12,0.12,99900
2017-03-07,0.12,0.12,0.12,0.12,0.12,812200
2017-03-08,0.11,0.11,0.11,0.11,0.11,640600
2017-03-09,0.12,0.12,0.11,0.11,0.11,193200
2017-03-13,0.11,0.11,0.11,0.11,0.11,512800
2017-03-15,0.1,0.1,0.1,0.1,0.1,585600
2017-03-16,0.11,0.11,0.11,0.11,0.11,200600
2017-03-17,0.11,0.11,0.11,0.11,0.11,192000
2017-03-22,0.11,0.11,0.1,0.1,0.1,179000
2017-04-26,0.03,0.03,0.03,0.03,0.03,30000
2017-04-28,0.03,0.03,0.03,0.03,0.03,330000
2017-05-02,0.02,0.02,0.02,0.02,0.02,100000
2017-05-11,0.01,0.01,0.01,0.01,0.01,240000
2017-05-15,0.01,0.01,0.01,0.01,0.01,30000
2017-05-31,0.01,0.01,0.01,0.01,0.01,60000
2017-06-16,0.01,0.02,0.01,0.02,0.02,110000
