Date,Open,High,Low,Close,Adj Close,Volume
2012-02-03,3.74,3.74,3.74,3.74,3.74,5
2012-02-17,3.7,3.7,3.7,3.7,3.7,1
2012-05-18,3.4,3.4,3.36,3.36,3.36,5
2012-05-22,3.59,3.59,3.59,3.59,3.59,4
2012-05-23,3.52,3.52,3.44,3.44,3.44,4
2012-05-24,3.4,3.4,3.4,3.4,3.4,2
2012-06-01,3.4,3.4,3.4,3.4,3.4,1
2012-06-05,3.35,3.35,3.35,3.35,3.35,1
2012-06-06,3.29,3.29,3.29,3.29,3.29,10
2012-06-15,3.19,3.19,3.16,3.16,3.16,29
2012-06-18,3.16,3.24,3.16,3.23,3.23,5
2012-06-21,3.14,3.14,3.14,3.14,3.14,1
2012-06-25,3.15,3.15,3.15,3.15,3.15,2
2012-06-26,3.16,3.16,3.16,3.16,3.16,1
2012-06-27,3.29,3.29,3.12,3.12,3.12,45
2012-06-28,3.17,3.17,3.06,3.1,3.1,11
2012-06-29,3.12,3.16,3.12,3.16,3.16,12
2012-07-02,3.18,3.24,3.18,3.23,3.23,123
2012-07-03,3.22,3.25,3.22,3.25,3.25,41
2012-07-04,3.22,3.23,3.2,3.2,3.2,70
2012-07-05,3.19,3.22,3.04,3.14,3.14,140
2012-07-06,3.12,3.14,3.1,3.1,3.1,9
2012-07-09,3.07,3.07,3.06,3.06,3.06,10
2012-07-10,3.1,3.22,3.1,3.22,3.22,11
2012-07-11,3.19,3.19,3.16,3.16,3.16,30
2012-07-12,3.15,3.17,3.12,3.13,3.13,242
2012-07-13,3.16,3.17,3.13,3.15,3.15,107
2012-07-16,3.18,3.22,3.15,3.18,3.18,3272
2012-07-17,3.23,3.23,3.17,3.17,3.17,99
2012-07-18,3.16,3.16,3.16,3.16,3.16,21
2012-07-19,3.24,3.35,3.21,3.33,3.33,463
2012-07-20,3.34,3.37,3.27,3.28,3.28,69
2012-07-23,3.3,3.34,3.26,3.3,3.3,91
2012-07-24,3.32,3.4,3.32,3.4,3.4,255
2012-07-25,3.38,3.38,3.33,3.34,3.34,349
2012-07-26,3.35,3.35,3.18,3.18,3.18,199
2012-07-27,3.26,3.26,3.19,3.21,3.21,26
2012-07-30,3.23,3.23,3.23,3.23,3.23,1
2012-07-31,3.24,3.24,3.23,3.23,3.23,6
2012-08-03,3.22,3.22,3.22,3.22,3.22,50
2012-08-06,3.2,3.28,3.2,3.28,3.28,117
2012-08-07,3.3,3.3,3.24,3.24,3.24,135
2012-08-08,3.29,3.3,3.25,3.25,3.25,99
2012-08-09,3.29,3.3,3.25,3.25,3.25,26
2012-08-10,3.27,3.27,3.21,3.21,3.21,27
2012-08-14,3.27,3.31,3.26,3.31,3.31,22
2012-08-15,3.31,3.31,3.22,3.28,3.28,19
2012-08-16,3.3,3.3,3.26,3.26,3.26,5
2012-08-17,3.3,3.42,3.28,3.39,3.39,397
2012-08-20,3.36,3.43,3.36,3.42,3.42,299
2012-08-21,3.42,3.55,3.42,3.49,3.49,3670
2012-08-22,3.52,3.54,3.5,3.5,3.5,148
2012-08-23,3.56,3.56,3.48,3.5,3.5,95
2012-08-24,3.46,3.46,3.44,3.44,3.44,127
2012-08-27,3.44,3.47,3.44,3.47,3.47,29
2012-08-28,3.44,3.46,3.43,3.43,3.43,10
2012-08-29,3.46,3.49,3.4,3.43,3.43,357
2012-08-30,3.44,3.44,3.38,3.38,3.38,88
2012-08-31,3.4,3.43,3.38,3.4,3.4,10
2012-09-03,3.46,3.5,3.45,3.48,3.48,316
2012-09-04,3.52,3.62,3.52,3.61,3.61,149
2012-09-05,3.6,3.67,3.54,3.55,3.55,333
2012-09-06,3.58,3.62,3.55,3.62,3.62,103
2012-09-07,3.65,3.69,3.63,3.63,3.63,178
2012-09-10,3.65,3.65,3.54,3.58,3.58,232
2012-09-11,3.55,3.65,3.55,3.63,3.63,35
2012-09-12,3.64,3.78,3.64,3.72,3.72,324
2012-09-13,3.67,3.67,3.66,3.66,3.66,17
2012-09-14,3.75,3.78,3.71,3.72,3.72,495
2012-09-17,3.76,3.76,3.66,3.7,3.7,79
2012-09-18,3.68,3.68,3.63,3.64,3.64,183
2012-09-19,3.64,3.68,3.64,3.68,3.68,19
2012-09-20,3.72,3.78,3.72,3.74,3.74,210
2012-09-21,3.76,3.76,3.66,3.68,3.68,114
2012-09-24,3.71,3.71,3.63,3.65,3.65,447
2012-09-25,3.68,3.69,3.66,3.69,3.69,13
2012-09-26,3.69,3.69,3.6,3.61,3.61,31
2012-09-27,3.67,3.67,3.62,3.62,3.62,1272
