Date,Open,High,Low,Close,Adj Close,Volume
2018-12-04,0.54,0.54,0.53,0.53,0.53,2645200
2018-12-06,0.5,0.51,0.47,0.47,0.47,10596300
2018-12-07,0.5,0.52,0.49,0.49,0.49,9449200
2018-12-11,0.47,0.51,0.47,0.5,0.5,15328500
2018-12-12,0.5,0.5,0.48,0.48,0.48,2555400
2018-12-13,0.5,0.5,0.44,0.44,0.44,10573400
2018-12-14,0.44,0.47,0.44,0.45,0.45,27302300
2018-12-17,0.46,0.46,0.42,0.44,0.44,21452000
2018-12-18,0.43,0.44,0.37,0.42,0.42,28597700
2018-12-19,0.41,0.42,0.39,0.41,0.41,26600800
2018-12-20,0.39,0.41,0.34,0.38,0.38,27718300
2018-12-21,0.37,0.4,0.37,0.39,0.39,17803800
2018-12-24,0.36,0.42,0.36,0.41,0.41,11367500
2018-12-25,0.39,0.39,0.37,0.38,0.38,8937700
2018-12-26,0.38,0.39,0.36,0.37,0.37,22104000
2018-12-27,0.41,0.44,0.37,0.37,0.37,14911200
2018-12-28,0.38,0.43,0.38,0.41,0.41,15173300
2019-01-02,0.43,0.43,0.4,0.4,0.4,17445100
2019-01-03,0.41,0.41,0.37,0.37,0.37,17383300
2019-01-04,0.37,0.42,0.36,0.42,0.42,39403700
2019-01-07,0.43,0.43,0.4,0.4,0.4,13341600
2019-01-08,0.4,0.44,0.4,0.42,0.42,27073600
