Date,Open,High,Low,Close,Adj Close,Volume
2018-06-26,1.12,1.12,1.06,1.06,1.06,83000
2018-06-27,1.04,1.05,1.02,1.05,1.05,4348300
2018-06-28,1.04,1.07,1.02,1.07,1.07,5265600
2018-06-29,1.07,1.09,1.05,1.07,1.07,7434300
2018-07-02,1.06,1.07,1.02,1.02,1.02,6442600
2018-07-03,1.03,1.03,0.94,0.94,0.94,4933600
2018-07-04,0.94,0.99,0.94,0.97,0.97,9429000
2018-07-05,1,1.13,1,1.11,1.11,20143500
2018-07-06,1.1,1.2,1.08,1.08,1.08,36070900
2018-07-09,1.04,1.09,1.04,1.05,1.05,6545100
2018-07-10,1.03,1.06,0.99,0.99,0.99,5170500
2018-07-11,1.02,1.03,0.98,1,1,8786900
2018-07-12,1,1,0.95,0.97,0.97,3997600
2018-07-13,0.94,0.95,0.92,0.95,0.95,4975500
2018-07-16,0.94,0.97,0.93,0.96,0.96,6301800
2018-07-17,0.97,1,0.95,0.98,0.98,13805800
2018-07-18,0.97,1,0.96,0.97,0.97,7852300
2018-07-19,0.95,0.96,0.92,0.92,0.92,2838300
2018-07-20,0.92,0.92,0.84,0.85,0.85,4361100
2018-07-23,0.86,0.9,0.81,0.81,0.81,8894600
2018-07-24,0.78,0.83,0.75,0.82,0.82,16966900
2018-07-25,0.8,0.81,0.78,0.79,0.79,11832400
2018-07-26,0.78,0.81,0.78,0.79,0.79,3517100
2018-07-31,0.8,0.83,0.8,0.82,0.82,7798200
2018-08-01,0.8,0.8,0.76,0.76,0.76,4678900
2018-08-02,0.77,0.77,0.76,0.76,0.76,4043400
2018-08-03,0.76,0.77,0.74,0.76,0.76,3998400
2018-08-06,0.76,0.92,0.76,0.9,0.9,25782900
2018-08-07,0.88,0.88,0.8,0.8,0.8,7185100
2018-08-08,0.81,0.81,0.77,0.77,0.77,3060100
2018-08-09,0.77,0.81,0.75,0.8,0.8,12004800
2018-08-10,0.81,0.86,0.81,0.85,0.85,7469500
2018-08-14,0.87,0.87,0.85,0.86,0.86,8919000
2018-08-15,0.87,0.88,0.85,0.88,0.88,6168600
2018-08-16,0.87,0.94,0.87,0.92,0.92,16533500
2018-08-17,0.91,0.91,0.85,0.86,0.86,7449700
2018-08-20,0.85,0.86,0.84,0.84,0.84,2081300
2018-08-21,0.84,0.87,0.79,0.83,0.83,3032600
2018-08-22,0.83,0.83,0.82,0.82,0.82,2214900
2018-08-23,0.8,0.82,0.79,0.79,0.79,5360400
2018-08-24,0.81,0.81,0.77,0.77,0.77,7264500
2018-08-27,0.77,0.77,0.74,0.76,0.76,2274400
2018-08-28,0.74,0.75,0.72,0.74,0.74,4802900
2018-08-29,0.73,0.75,0.73,0.74,0.74,4505400
2018-08-30,0.72,0.72,0.68,0.68,0.68,6872200
2018-08-31,0.7,0.72,0.69,0.69,0.69,4643500
2018-09-03,0.7,0.71,0.69,0.7,0.7,6917200
2018-09-04,0.73,0.76,0.73,0.75,0.75,7230700
2018-09-05,0.75,0.81,0.73,0.81,0.81,13493600
2018-09-06,0.79,0.8,0.75,0.75,0.75,4731100
2018-09-07,0.77,0.79,0.76,0.78,0.78,5419800
2018-09-10,0.78,0.81,0.78,0.78,0.78,13848000
2018-09-11,0.79,0.82,0.79,0.82,0.82,6822200
2018-09-12,0.83,0.92,0.82,0.88,0.88,20186800
2018-09-13,0.82,0.83,0.73,0.73,0.73,2367300
2018-09-14,0.73,0.74,0.72,0.73,0.73,7042600
2018-09-17,0.74,0.77,0.74,0.77,0.77,6253300
2018-09-18,0.77,0.77,0.66,0.67,0.67,6478000
2018-09-19,0.67,0.69,0.66,0.69,0.69,8573900
2018-09-20,0.66,0.66,0.6,0.64,0.64,14159900
2018-09-21,0.63,0.66,0.63,0.65,0.65,9494600
2018-09-24,0.68,0.68,0.65,0.68,0.68,7890400
2018-09-25,0.65,0.66,0.64,0.66,0.66,7494700
2018-09-26,0.65,0.66,0.64,0.65,0.65,3915700
2018-09-27,0.64,0.68,0.63,0.63,0.63,13659600
2018-09-28,0.63,0.67,0.63,0.65,0.65,8572700
2018-10-01,0.64,0.64,0.59,0.61,0.61,9119000
2018-10-02,0.62,0.64,0.6,0.63,0.63,8886900
2018-10-03,0.62,0.62,0.5,0.52,0.52,33301400
2018-10-04,0.54,0.57,0.51,0.55,0.55,26310600
2018-10-05,0.57,0.57,0.53,0.56,0.56,14661700
2018-10-08,0.55,0.71,0.55,0.71,0.71,30976500
2018-10-09,0.68,0.7,0.67,0.69,0.69,11748900
2018-10-10,0.65,0.68,0.63,0.64,0.64,8397000
2018-10-11,0.77,0.77,0.71,0.72,0.72,11293700
2018-10-12,0.68,0.7,0.68,0.68,0.68,4312700
2018-10-16,0.71,0.73,0.65,0.65,0.65,13204500
2018-10-17,0.65,0.67,0.64,0.66,0.66,6277400
2018-10-18,0.69,0.73,0.69,0.72,0.72,5038100
2018-10-19,0.73,0.75,0.73,0.74,0.74,6524100
2018-10-22,0.74,0.79,0.74,0.78,0.78,7420400
