Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,0.26,0.27,0.26,0.26,0.26,640500
2017-03-07,0.26,0.26,0.26,0.26,0.26,729400
2017-03-08,0.26,0.26,0.23,0.24,0.24,873200
2017-03-09,0.23,0.23,0.23,0.23,0.23,189700
2017-03-10,0.23,0.23,0.22,0.22,0.22,349800
2017-03-13,0.22,0.22,0.22,0.22,0.22,179800
2017-03-14,0.22,0.25,0.22,0.24,0.24,1000
2017-03-15,0.24,0.24,0.24,0.24,0.24,179800
2017-03-16,0.25,0.25,0.24,0.25,0.25,1829400
2017-03-20,0.25,0.25,0.24,0.24,0.24,3059600
2017-03-21,0.24,0.24,0.24,0.24,0.24,3399800
2017-03-22,0.23,0.23,0.23,0.23,0.23,459600
2017-03-24,0.23,0.23,0.22,0.22,0.22,1279800
2017-03-28,0.22,0.23,0.22,0.23,0.23,939400
2017-03-29,0.23,0.24,0.23,0.24,0.24,2199800
2017-03-30,0.24,0.24,0.24,0.24,0.24,479800
2017-03-31,0.25,0.25,0.24,0.24,0.24,479900
2017-04-04,0.24,0.24,0.23,0.23,0.23,1279800
2017-04-05,0.23,0.23,0.23,0.23,0.23,549900
2017-04-07,0.23,0.23,0.23,0.23,0.23,739400
2017-04-10,0.23,0.23,0.23,0.23,0.23,379800
2017-04-12,0.24,0.25,0.24,0.25,0.25,1075900
2017-04-17,0.24,0.24,0.23,0.23,0.23,70000
2017-04-18,0.24,0.25,0.24,0.24,0.24,4700100
2017-04-19,0.24,0.24,0.24,0.24,0.24,210000
2017-04-20,0.23,0.23,0.23,0.23,0.23,7656000
2017-04-21,0.24,0.25,0.24,0.25,0.25,1179800
2017-04-24,0.25,0.25,0.24,0.24,0.24,1659000
2017-04-25,0.25,0.25,0.24,0.24,0.24,1700000
2017-04-26,0.25,0.26,0.24,0.25,0.25,1919700
2017-04-27,0.25,0.27,0.25,0.27,0.27,3829900
2017-04-28,0.27,0.27,0.25,0.25,0.25,1360000
2017-05-02,0.25,0.25,0.25,0.25,0.25,1500000
2017-05-03,0.23,0.23,0.23,0.23,0.23,1000000
2017-05-04,0.25,0.25,0.24,0.25,0.25,3878000
2017-05-05,0.24,0.24,0.24,0.24,0.24,581300
2017-05-08,0.24,0.26,0.23,0.23,0.23,16361700
2017-05-09,0.25,0.25,0.23,0.23,0.23,4522100
2017-05-11,0.24,0.24,0.24,0.24,0.24,1000000
2017-05-15,0.22,0.22,0.21,0.22,0.22,3205800
2017-05-16,0.22,0.23,0.22,0.23,0.23,1660000
2017-05-17,0.23,0.24,0.23,0.24,0.24,2000300
2017-05-18,0.23,0.23,0.23,0.23,0.23,1861400
2017-05-19,0.23,0.23,0.23,0.23,0.23,1803000
2017-05-22,0.23,0.23,0.22,0.22,0.22,2279800
2017-05-23,0.23,0.24,0.23,0.23,0.23,2379800
2017-05-24,0.23,0.23,0.23,0.23,0.23,359600
2017-05-25,0.23,0.23,0.23,0.23,0.23,509000
2017-05-26,0.24,0.28,0.24,0.28,0.28,5520100
2017-05-29,0.28,0.28,0.27,0.27,0.27,5368600
2017-05-30,0.26,0.26,0.26,0.26,0.26,2888100
2017-05-31,0.26,0.26,0.22,0.24,0.24,5798500
2017-06-01,0.24,0.25,0.24,0.24,0.24,5364300
2017-06-02,0.23,0.24,0.23,0.23,0.23,1005900
2017-06-05,0.24,0.24,0.23,0.24,0.24,2179900
2017-06-06,0.25,0.25,0.25,0.25,0.25,417800
2017-06-07,0.25,0.25,0.24,0.24,0.24,585800
2017-06-08,0.24,0.25,0.24,0.25,0.25,5959800
2017-06-09,0.26,0.27,0.25,0.25,0.25,1027100
2017-06-12,0.25,0.25,0.25,0.25,0.25,2341000
2017-06-13,0.26,0.26,0.25,0.25,0.25,2750600
2017-06-14,0.26,0.29,0.26,0.28,0.28,11311000
2017-06-15,0.28,0.29,0.27,0.28,0.28,4423400
2017-06-16,0.28,0.29,0.27,0.27,0.27,5611400
2017-06-19,0.27,0.28,0.26,0.26,0.26,2768200
2017-06-20,0.28,0.29,0.27,0.27,0.27,2688200
2017-06-21,0.26,0.27,0.26,0.27,0.27,2434300
2017-06-22,0.27,0.28,0.27,0.27,0.27,3602000
2017-06-23,0.28,0.28,0.28,0.28,0.28,300000
2017-06-26,0.28,0.28,0.27,0.27,0.27,600000
2017-06-27,0.27,0.27,0.26,0.26,0.26,2409200
2017-06-28,0.26,0.26,0.24,0.24,0.24,2556100
2017-06-29,0.25,0.25,0.24,0.25,0.25,1599300
2017-06-30,0.23,0.23,0.22,0.23,0.23,7905000
2017-07-03,0.23,0.23,0.23,0.23,0.23,600000
2017-07-04,0.23,0.23,0.23,0.23,0.23,10000
2017-07-05,0.23,0.23,0.23,0.23,0.23,1831700
2017-07-06,0.22,0.22,0.22,0.22,0.22,250200
2017-07-07,0.22,0.22,0.21,0.21,0.21,282300
2017-07-11,0.22,0.23,0.22,0.22,0.22,3070600
2017-07-12,0.22,0.23,0.22,0.22,0.22,10981600
2017-07-13,0.22,0.23,0.22,0.22,0.22,1463400
2017-07-14,0.23,0.23,0.22,0.22,0.22,4005500
2017-07-17,0.22,0.22,0.19,0.2,0.2,2902700
2017-07-18,0.2,0.2,0.19,0.19,0.19,380000
2017-07-19,0.19,0.19,0.19,0.19,0.19,1500
2017-07-20,0.19,0.19,0.19,0.19,0.19,3658100
2017-07-21,0.19,0.19,0.19,0.19,0.19,100
2017-07-24,0.19,0.19,0.18,0.19,0.19,3601000
2017-07-25,0.18,0.18,0.17,0.17,0.17,2750000
2017-07-26,0.18,0.2,0.18,0.19,0.19,7358000
2017-07-27,0.2,0.2,0.18,0.18,0.18,4997200
2017-07-31,0.19,0.19,0.19,0.19,0.19,180000
2017-08-01,0.2,0.2,0.2,0.2,0.2,4795600
2017-08-02,0.2,0.21,0.2,0.2,0.2,7024000
2017-08-03,0.2,0.2,0.19,0.19,0.19,3667000
2017-08-07,0.19,0.19,0.18,0.18,0.18,1402500
2017-08-08,0.18,0.19,0.18,0.18,0.18,2246600
2017-08-09,0.19,0.19,0.18,0.19,0.19,4081000
2017-08-10,0.19,0.19,0.18,0.18,0.18,101000
2017-08-11,0.18,0.18,0.18,0.18,0.18,6000
2017-08-15,0.19,0.19,0.19,0.19,0.19,2706100
2017-08-16,0.2,0.2,0.2,0.2,0.2,2075900
2017-08-17,0.19,0.19,0.19,0.19,0.19,330500
2017-08-18,0.19,0.19,0.19,0.19,0.19,1501000
2017-08-21,0.19,0.2,0.19,0.19,0.19,3417200
2017-08-23,0.2,0.2,0.2,0.2,0.2,1721600
2017-08-25,0.2,0.2,0.2,0.2,0.2,415700
2017-08-28,0.2,0.2,0.2,0.2,0.2,1595700
2017-08-29,0.2,0.23,0.2,0.22,0.22,10290300
2017-08-30,0.22,0.22,0.22,0.22,0.22,3573200
2017-08-31,0.21,0.21,0.21,0.21,0.21,4134400
2017-09-01,0.21,0.21,0.2,0.2,0.2,935000
2017-09-04,0.2,0.22,0.2,0.21,0.21,8878400
2017-09-05,0.21,0.23,0.21,0.22,0.22,3474900
2017-09-06,0.23,0.25,0.23,0.24,0.24,5099300
2017-09-07,0.24,0.24,0.24,0.24,0.24,3202800
2017-09-08,0.24,0.26,0.24,0.24,0.24,5735200
2017-09-11,0.24,0.24,0.23,0.23,0.23,4024600
2017-09-12,0.24,0.24,0.23,0.23,0.23,1220000
2017-09-13,0.23,0.24,0.23,0.23,0.23,10006600
2017-09-14,0.25,0.29,0.25,0.28,0.28,13065600
2017-09-15,0.27,0.28,0.27,0.28,0.28,4215800
2017-09-18,0.28,0.29,0.28,0.28,0.28,3086000
2017-09-19,0.28,0.28,0.26,0.26,0.26,6065400
2017-09-20,0.26,0.28,0.26,0.28,0.28,2075000
2017-09-21,0.27,0.28,0.27,0.27,0.27,1700000
2017-09-22,0.27,0.27,0.25,0.25,0.25,6192000
2017-09-25,0.26,0.26,0.25,0.25,0.25,2446400
2017-09-26,0.26,0.26,0.25,0.25,0.25,3782000
2017-09-27,0.26,0.28,0.25,0.26,0.26,10596800
2017-09-28,0.25,0.26,0.23,0.24,0.24,6398800
2017-09-29,0.24,0.26,0.24,0.25,0.25,5848200
2017-10-02,0.26,0.28,0.26,0.27,0.27,7607800
2017-10-03,0.27,0.28,0.27,0.27,0.27,6922700
2017-10-04,0.27,0.32,0.27,0.32,0.32,6597300
2017-10-05,0.31,0.32,0.3,0.3,0.3,6565500
2017-10-06,0.31,0.33,0.31,0.31,0.31,11414100
2017-10-09,0.32,0.32,0.31,0.31,0.31,1000000
2017-10-10,0.29,0.3,0.28,0.29,0.29,2471800
2017-10-11,0.31,0.32,0.31,0.31,0.31,6249900
2017-10-12,0.33,0.33,0.32,0.32,0.32,7801100
2017-10-16,0.32,0.32,0.31,0.31,0.31,1900000
2017-10-17,0.31,0.31,0.31,0.31,0.31,1205000
2017-10-18,0.31,0.31,0.3,0.3,0.3,1640000
2017-10-19,0.29,0.29,0.25,0.26,0.26,4887000
2017-10-20,0.26,0.28,0.26,0.27,0.27,4508600
2017-10-24,0.28,0.29,0.28,0.29,0.29,2070000
2017-10-25,0.3,0.31,0.25,0.28,0.28,13983800
2017-10-27,0.3,0.35,0.3,0.32,0.32,4826600
2017-10-30,0.33,0.33,0.32,0.32,0.32,9720300
2017-10-31,0.32,0.33,0.31,0.32,0.32,3740000
