Date,Open,High,Low,Close,Adj Close,Volume
2013-10-02,0.88,0.88,0.88,0.88,0.88,5000
2013-10-03,0.91,1.02,0.91,1.02,1.02,15000
2013-10-04,1.01,1.04,1.01,1.04,1.04,40000
2013-10-07,1.11,1.11,1.06,1.06,1.06,10000
2013-10-08,1.1,1.1,1.1,1.1,1.1,10000
2013-10-10,1.15,1.15,1.15,1.15,1.15,10000
2013-10-11,1.1,1.1,1.1,1.1,1.1,10000
2013-10-15,1.13,1.13,1.11,1.11,1.11,20000
2013-10-17,1.12,1.12,1.1,1.12,1.12,100000
2013-10-18,1.09,1.1,1.08,1.1,1.1,45000
2013-10-25,1.01,1.01,1.01,1.01,1.01,7000
2013-10-28,1.01,1.01,1.01,1.01,1.01,8000
2013-10-29,1.04,1.04,1.04,1.04,1.04,10000
2013-10-30,1.02,1.02,1.02,1.02,1.02,10000
2013-10-31,0.88,0.9,0.8,0.81,0.81,210000
2013-11-01,0.73,0.75,0.73,0.75,0.75,20000
2013-11-05,0.74,0.77,0.74,0.77,0.77,40000
2013-11-06,0.76,0.78,0.76,0.78,0.78,520000
2013-11-07,0.79,0.8,0.76,0.76,0.76,50000
2013-11-08,0.73,0.73,0.72,0.72,0.72,40000
2013-11-11,0.69,0.72,0.69,0.72,0.72,510000
2013-11-13,0.78,0.78,0.78,0.78,0.78,20000
2013-11-20,0.74,0.74,0.72,0.72,0.72,140000
2013-11-21,0.7,0.7,0.7,0.7,0.7,1005000
2013-11-22,0.6,0.6,0.59,0.59,0.59,145000
2013-11-25,0.6,0.61,0.58,0.59,0.59,1050000
2013-11-26,0.61,0.61,0.61,0.61,0.61,100
2013-11-28,0.7,0.7,0.64,0.65,0.65,872100
2013-11-29,0.63,0.63,0.63,0.63,0.63,115700
2013-12-02,0.64,0.69,0.64,0.69,0.69,220000
2013-12-03,0.69,0.69,0.66,0.67,0.67,256900
2013-12-04,0.67,0.67,0.67,0.67,0.67,2700
2013-12-06,0.64,0.64,0.63,0.63,0.63,42400
2013-12-11,0.63,0.63,0.62,0.62,0.62,5000
2013-12-12,0.63,0.63,0.58,0.58,0.58,35000
2013-12-13,0.52,0.52,0.51,0.51,0.51,1500
2013-12-16,0.53,0.53,0.51,0.51,0.51,8500
2013-12-18,0.5,0.5,0.5,0.5,0.5,30000
2014-01-02,0.36,0.36,0.36,0.36,0.36,30000
2014-01-07,0.34,0.35,0.34,0.35,0.35,200000
2014-01-15,0.48,0.48,0.47,0.47,0.47,200300
2014-01-16,0.51,0.52,0.5,0.51,0.51,48600
2014-01-17,0.51,0.51,0.47,0.47,0.47,65300
2014-01-20,0.49,0.49,0.48,0.48,0.48,73500
2014-01-21,0.48,0.48,0.47,0.47,0.47,44900
2014-01-22,0.45,0.45,0.45,0.45,0.45,42600
2014-01-23,0.45,0.45,0.45,0.45,0.45,10400
2014-01-24,0.45,0.45,0.45,0.45,0.45,6200
2014-01-27,0.42,0.42,0.42,0.42,0.42,3600
2014-01-28,0.4,0.4,0.4,0.4,0.4,1000
2014-01-29,0.38,0.38,0.38,0.38,0.38,400
2014-02-03,0.47,0.47,0.47,0.47,0.47,500
2014-02-07,0.47,0.47,0.47,0.47,0.47,2500
2014-02-11,0.49,0.49,0.49,0.49,0.49,22500
2014-02-12,0.49,0.49,0.49,0.49,0.49,22500
2014-02-13,0.51,0.52,0.51,0.51,0.51,2900
2014-02-17,0.52,0.52,0.52,0.52,0.52,2800
2014-02-18,0.52,0.53,0.52,0.53,0.53,1700
2014-02-19,0.54,0.54,0.54,0.54,0.54,50000
2014-02-20,0.53,0.53,0.49,0.5,0.5,200000
2014-03-10,0.58,0.58,0.58,0.58,0.58,36400
2014-03-24,0.51,0.51,0.51,0.51,0.51,20000
2014-03-26,0.52,0.52,0.52,0.52,0.52,100
2014-04-01,0.56,0.56,0.56,0.56,0.56,20000
2014-04-02,0.57,0.57,0.57,0.57,0.57,20000
2014-04-04,0.58,0.58,0.58,0.58,0.58,1000000
2014-04-08,0.5,0.5,0.5,0.5,0.5,100
2014-04-09,0.49,0.49,0.47,0.47,0.47,10100
2014-04-10,0.49,0.49,0.49,0.49,0.49,10000
2014-04-18,0.57,0.57,0.57,0.57,0.57,1000000
2014-04-22,0.57,0.57,0.57,0.57,0.57,300
2014-05-29,0.33,0.33,0.33,0.33,0.33,50100
2014-05-30,0.34,0.34,0.34,0.34,0.34,3000
2014-06-02,0.33,0.34,0.33,0.34,0.34,5000
2014-06-03,0.4,0.4,0.4,0.4,0.4,10000
2014-06-05,0.38,0.38,0.38,0.38,0.38,40000
2014-06-06,0.36,0.37,0.36,0.37,0.37,83000
2014-06-12,0.4,0.4,0.4,0.4,0.4,100
2014-06-19,0.25,0.27,0.24,0.27,0.27,8595200
2014-06-23,0.28,0.28,0.28,0.28,0.28,4000
