Date,Open,High,Low,Close,Adj Close,Volume
2015-10-09,0.38,0.38,0.38,0.38,0.38,200000
2015-10-30,0.36,0.36,0.36,0.36,0.36,60000
2015-11-02,0.34,0.35,0.34,0.35,0.35,460000
2015-11-03,0.34,0.34,0.34,0.34,0.34,72000
2015-11-06,0.31,0.31,0.29,0.3,0.3,277000
2015-11-09,0.28,0.29,0.27,0.28,0.28,223200
2015-11-10,0.29,0.3,0.29,0.3,0.3,13000
2015-11-11,0.28,0.3,0.28,0.3,0.3,170000
2015-11-16,0.37,0.39,0.37,0.39,0.39,21000
2015-11-18,0.38,0.38,0.38,0.38,0.38,1000
2015-11-25,0.4,0.4,0.4,0.4,0.4,120000
2015-12-01,0.49,0.53,0.49,0.53,0.53,536000
2015-12-02,0.52,0.53,0.49,0.52,0.52,84000
2015-12-03,0.54,0.54,0.54,0.54,0.54,50000
2015-12-15,0.42,0.42,0.37,0.37,0.37,22000
2015-12-16,0.41,0.41,0.41,0.41,0.41,22000
2015-12-17,0.42,0.43,0.42,0.43,0.43,40000
2015-12-18,0.42,0.42,0.41,0.41,0.41,15000
2015-12-21,0.63,0.83,0.63,0.83,0.83,35000
2015-12-22,1.03,1.15,0.97,1.15,1.15,6100
2015-12-23,1.03,1.03,1.03,1.03,1.03,100
2015-12-24,1.01,1.01,1.01,1.01,1.01,1000
2015-12-25,1,1.02,1,1.02,1.02,1100
2015-12-29,0.97,0.97,0.97,0.97,0.97,5000
2016-03-08,0.43,0.51,0.4,0.51,0.51,451800
2016-03-09,0.57,0.57,0.54,0.54,0.54,242000
2016-03-10,0.46,0.48,0.38,0.46,0.46,5721200
2016-03-11,0.42,0.45,0.41,0.42,0.42,1101800
2016-03-14,0.39,0.45,0.39,0.45,0.45,5303600
2016-03-15,0.49,0.52,0.48,0.52,0.52,1113200
2016-03-16,0.47,0.5,0.44,0.44,0.44,646800
2016-03-17,0.42,0.52,0.41,0.52,0.52,944900
2016-03-18,0.47,0.5,0.44,0.44,0.44,5500600
2016-03-21,0.41,0.43,0.39,0.39,0.39,7108400
2016-03-23,0.33,0.47,0.33,0.43,0.43,10684400
2016-03-24,0.43,0.45,0.39,0.39,0.39,4796000
2016-03-25,0.41,0.48,0.41,0.47,0.47,16104500
2016-03-28,0.45,0.58,0.45,0.58,0.58,18367300
2016-03-29,0.6,0.62,0.52,0.56,0.56,7601500
2016-03-30,0.52,0.52,0.47,0.48,0.48,10810800
2016-03-31,0.47,0.47,0.43,0.45,0.45,13853600
2016-04-01,0.44,0.48,0.43,0.48,0.48,12852700
2016-04-04,0.46,0.48,0.45,0.48,0.48,5831900
2016-04-05,0.48,0.48,0.37,0.41,0.41,20647400
2016-04-07,0.38,0.38,0.32,0.35,0.35,15603800
2016-04-08,0.33,0.36,0.33,0.35,0.35,13223000
2016-04-11,0.32,0.32,0.29,0.29,0.29,6170300
2016-04-12,0.28,0.28,0.19,0.19,0.19,24542600
2016-04-18,0.13,0.14,0.1,0.13,0.13,26520500
2016-04-19,0.12,0.13,0.11,0.12,0.12,9111700
2016-04-20,0.12,0.12,0.08,0.09,0.09,10160600
2016-04-21,0.08,0.09,0.08,0.08,0.08,5320800
2016-04-22,0.08,0.1,0.06,0.09,0.09,9096200
2016-04-25,0.08,0.09,0.08,0.08,0.08,3692900
2016-04-26,0.07,0.08,0.07,0.08,0.08,866000
2016-04-27,0.07,0.07,0.07,0.07,0.07,95000
2016-04-28,0.07,0.08,0.07,0.08,0.08,602700
2016-04-29,0.06,0.06,0.05,0.06,0.06,2275100
2016-05-03,0.04,0.04,0.04,0.04,0.04,395000
2016-05-04,0.04,0.04,0.04,0.04,0.04,100
2016-05-09,0.03,0.04,0.03,0.04,0.04,200100
2016-05-10,0.02,0.03,0.02,0.03,0.03,72400
2016-05-11,0.02,0.02,0.02,0.02,0.02,20000
2016-05-16,0.01,0.01,0.01,0.01,0.01,1451000
2016-05-17,0.02,0.02,0.02,0.02,0.02,625000
2016-05-19,0.01,0.01,0.01,0.01,0.01,605000
2016-05-23,0.01,0.01,0.01,0.01,0.01,4050500
2016-05-24,0.01,0.01,0.01,0.01,0.01,1210000
