Date,Open,High,Low,Close,Adj Close,Volume
2013-05-29,0.26,0.27,0.24,0.25,0.25,3079900
2013-05-30,0.24,0.25,0.22,0.25,0.25,1208300
2013-05-31,0.25,0.25,0.22,0.22,0.22,1296200
2013-06-03,0.23,0.23,0.18,0.18,0.18,1494000
2013-06-04,0.18,0.19,0.17,0.18,0.18,1924200
2013-06-05,0.16,0.16,0.15,0.15,0.15,293400
2013-06-06,0.12,0.13,0.1,0.11,0.11,8905100
2013-06-07,0.12,0.15,0.12,0.15,0.15,12818600
2013-06-10,0.15,0.15,0.13,0.13,0.13,5147500
2013-06-11,0.13,0.13,0.09,0.11,0.11,6229400
2013-06-12,0.1,0.11,0.1,0.1,0.1,1507700
2013-06-13,0.07,0.1,0.07,0.1,0.1,34223000
2013-06-14,0.12,0.13,0.11,0.13,0.13,24179700
2013-06-17,0.13,0.14,0.12,0.14,0.14,5821200
2013-06-18,0.14,0.15,0.11,0.12,0.12,9063000
2013-06-19,0.13,0.13,0.11,0.11,0.11,8825400
2013-06-20,0.1,0.1,0.09,0.09,0.09,8170200
2013-06-21,0.08,0.09,0.07,0.08,0.08,3878500
2013-06-24,0.08,0.08,0.07,0.07,0.07,112500
2013-06-25,0.07,0.08,0.07,0.07,0.07,5502800
2013-06-26,0.09,0.11,0.08,0.11,0.11,7106800
2013-06-27,0.13,0.13,0.1,0.12,0.12,12168400
2013-06-28,0.12,0.12,0.11,0.11,0.11,5574100
2013-07-02,0.11,0.12,0.11,0.11,0.11,3263500
2013-07-03,0.11,0.12,0.11,0.12,0.12,201100
2013-07-04,0.12,0.13,0.12,0.13,0.13,1770000
2013-07-05,0.12,0.13,0.11,0.13,0.13,1913000
2013-07-08,0.12,0.12,0.11,0.11,0.11,3598200
2013-07-09,0.11,0.11,0.08,0.09,0.09,9837100
2013-07-10,0.09,0.09,0.06,0.07,0.07,102598100
2013-07-11,0.07,0.09,0.07,0.08,0.08,49406600
2013-07-12,0.09,0.1,0.08,0.1,0.1,31850800
2013-07-15,0.09,0.11,0.09,0.1,0.1,9007100
2013-07-16,0.1,0.1,0.1,0.1,0.1,10328900
2013-07-17,0.1,0.1,0.1,0.1,0.1,3256500
2013-07-18,0.1,0.13,0.1,0.12,0.12,52508700
2013-07-19,0.12,0.12,0.11,0.12,0.12,6454400
2013-07-23,0.13,0.15,0.13,0.14,0.14,23327100
2013-07-24,0.14,0.16,0.14,0.15,0.15,23188900
2013-07-25,0.14,0.14,0.11,0.11,0.11,53332100
2013-07-26,0.11,0.12,0.11,0.12,0.12,55718400
2013-07-29,0.11,0.12,0.11,0.12,0.12,36780400
2013-07-30,0.12,0.12,0.1,0.1,0.1,20124400
2013-07-31,0.1,0.11,0.08,0.1,0.1,40922300
2013-08-01,0.1,0.12,0.1,0.11,0.11,26325600
2013-08-02,0.11,0.11,0.1,0.1,0.1,20087200
2013-08-05,0.1,0.1,0.09,0.1,0.1,5960200
2013-08-06,0.1,0.11,0.09,0.09,0.09,10715100
2013-08-07,0.1,0.1,0.1,0.1,0.1,8200000
2013-08-08,0.11,0.11,0.1,0.1,0.1,19276000
2013-08-09,0.1,0.11,0.09,0.1,0.1,27493800
2013-08-13,0.11,0.13,0.09,0.12,0.12,29794200
2013-08-14,0.12,0.13,0.12,0.12,0.12,11413300
2013-08-15,0.12,0.12,0.11,0.12,0.12,13262500
2013-08-16,0.12,0.13,0.11,0.11,0.11,22403000
2013-08-19,0.11,0.12,0.09,0.09,0.09,33717800
2013-08-20,0.09,0.09,0.07,0.07,0.07,45540600
2013-08-21,0.08,0.09,0.08,0.08,0.08,7635900
2013-08-22,0.08,0.09,0.07,0.09,0.09,4576400
2013-08-23,0.08,0.09,0.07,0.07,0.07,1349100
2013-08-26,0.08,0.09,0.07,0.07,0.07,15552000
2013-08-27,0.08,0.08,0.07,0.07,0.07,7219100
2013-08-28,0.07,0.08,0.06,0.08,0.08,4736100
2013-08-29,0.08,0.08,0.07,0.07,0.07,2999200
2013-08-30,0.08,0.08,0.06,0.07,0.07,2153200
2013-09-02,0.07,0.08,0.07,0.08,0.08,1156000
2013-09-03,0.07,0.08,0.07,0.07,0.07,2501300
2013-09-04,0.07,0.07,0.06,0.06,0.06,6444100
2013-09-05,0.07,0.07,0.06,0.06,0.06,387600
2013-09-06,0.06,0.07,0.06,0.06,0.06,6542300
2013-09-09,0.07,0.07,0.06,0.06,0.06,7719500
2013-09-10,0.07,0.08,0.06,0.07,0.07,5186100
2013-09-11,0.07,0.07,0.06,0.06,0.06,4956700
2013-09-12,0.07,0.08,0.07,0.07,0.07,1602100
2013-09-13,0.06,0.07,0.06,0.07,0.07,3318600
2013-09-16,0.07,0.09,0.07,0.08,0.08,17390300
2013-09-17,0.08,0.09,0.07,0.09,0.09,5516600
2013-09-18,0.09,0.09,0.07,0.08,0.08,6866600
2013-09-19,0.08,0.1,0.08,0.1,0.1,17850500
2013-09-20,0.09,0.1,0.08,0.1,0.1,4415600
2013-09-23,0.08,0.09,0.07,0.07,0.07,4441800
2013-09-24,0.07,0.08,0.06,0.07,0.07,7078900
2013-09-25,0.07,0.07,0.05,0.07,0.07,17397600
2013-09-26,0.07,0.08,0.06,0.07,0.07,6693700
2013-09-27,0.06,0.07,0.06,0.07,0.07,500
2013-09-30,0.06,0.06,0.05,0.06,0.06,13741300
2013-10-01,0.06,0.06,0.05,0.06,0.06,4487300
2013-10-02,0.06,0.07,0.06,0.07,0.07,2963000
2013-10-03,0.07,0.1,0.07,0.09,0.09,29298600
2013-10-04,0.09,0.1,0.08,0.1,0.1,11327900
2013-10-07,0.1,0.12,0.1,0.11,0.11,42387900
2013-10-08,0.1,0.13,0.09,0.11,0.11,23555500
2013-10-09,0.11,0.12,0.11,0.12,0.12,8135300
2013-10-10,0.12,0.13,0.11,0.11,0.11,16471800
2013-10-11,0.12,0.12,0.11,0.11,0.11,7373900
2013-10-14,0.1,0.1,0.09,0.09,0.09,28163400
2013-10-15,0.1,0.12,0.1,0.11,0.11,27587000
2013-10-16,0.1,0.11,0.1,0.1,0.1,20542900
2013-10-17,0.11,0.11,0.09,0.09,0.09,13742500
2013-10-18,0.1,0.11,0.09,0.1,0.1,13914700
2013-10-21,0.1,0.1,0.08,0.08,0.08,15494800
2013-10-22,0.09,0.1,0.07,0.09,0.09,13281500
2013-10-24,0.08,0.1,0.08,0.09,0.09,6111100
2013-10-25,0.09,0.1,0.08,0.08,0.08,2043100
2013-10-28,0.09,0.09,0.07,0.09,0.09,3680200
2013-10-29,0.09,0.09,0.08,0.09,0.09,4911700
2013-10-30,0.09,0.1,0.07,0.07,0.07,8411000
2013-10-31,0.06,0.09,0.06,0.07,0.07,18650500
2013-11-01,0.07,0.07,0.06,0.07,0.07,4711300
2013-11-04,0.06,0.07,0.06,0.06,0.06,4276300
2013-11-05,0.06,0.07,0.06,0.06,0.06,752200
2013-11-06,0.07,0.08,0.06,0.07,0.07,5604500
