Date,Open,High,Low,Close,Adj Close,Volume
2006-09-18,3.2,3.24,3.12,3.16,3.16,65763016
2006-09-19,3.16,3.26,3,3,3,54338400
2006-09-21,2.7,2.88,2.7,2.78,2.78,17854000
2006-09-22,2.82,2.94,2.62,2.72,2.72,15008900
2006-09-25,2.74,2.8,2.74,2.8,2.8,4326100
2006-09-26,2.86,2.92,2.86,2.86,2.86,9018100
2006-09-27,2.76,2.8,2.72,2.72,2.72,3076800
2006-09-28,2.76,2.76,2.64,2.64,2.64,3647800
2006-09-29,2.68,2.68,2.62,2.62,2.62,1800000
2006-10-02,2.66,2.68,2.62,2.62,2.62,703400
2006-10-03,2.64,2.66,2.64,2.64,2.64,1075000
2006-10-04,2.68,2.84,2.68,2.82,2.82,6882000
2006-10-05,2.88,2.92,2.82,2.84,2.84,11095800
2006-10-06,2.86,2.86,2.78,2.78,2.78,3035200
2006-10-09,2.82,2.82,2.74,2.74,2.74,874400
2006-10-10,2.8,2.82,2.76,2.82,2.82,4810800
2006-10-11,2.84,2.98,2.84,2.96,2.96,20430200
2006-10-12,2.96,2.98,2.88,2.88,2.88,12465700
2006-10-13,2.92,3.04,2.9,2.96,2.96,17902200
2006-10-16,3,3,2.9,2.92,2.92,2867300
2006-10-17,2.92,2.96,2.86,2.92,2.92,3435900
2006-10-18,2.92,2.98,2.9,2.94,2.94,3687300
2006-10-19,2.98,3.1,2.96,3.04,3.04,29965800
2006-10-20,3.06,3.08,3,3,3,8469000
2006-10-24,3.04,3.08,3,3.06,3.06,6283600
2006-10-25,3.06,3.06,2.98,2.98,2.98,7845800
2006-10-26,3,3.04,2.98,2.98,2.98,6375300
2006-10-27,2.98,3,2.96,2.96,2.96,2413500
2006-10-30,2.96,2.98,2.94,2.96,2.96,1310200
2006-10-31,2.98,3.04,2.98,3,3,4905700
2006-11-01,3.04,3.06,3,3.02,3.02,3726700
2006-11-02,3.04,3.04,2.98,3,3,2941302
2006-11-03,3.02,3.08,3,3.04,3.04,7280400
2006-11-06,3.06,3.14,3.04,3.14,3.14,12269800
2006-11-07,3.18,3.18,3.1,3.1,3.1,12217200
2006-11-08,3.12,3.14,3.06,3.08,3.08,4923300
2006-11-09,3.1,3.16,3.08,3.1,3.1,12243500
2006-11-10,3.14,3.14,3.08,3.08,3.08,3292000
2006-11-13,3.08,3.14,3.06,3.12,3.12,7264900
2006-11-14,3.14,3.14,3.04,3.06,3.06,5288600
2006-11-15,3.06,3.08,3.04,3.04,3.04,2597600
2006-11-16,3.06,3.06,2.94,2.96,2.96,4647900
2006-11-17,2.96,3,2.96,2.98,2.98,2818505
2006-11-20,3,3,2.92,3,3,5215000
2006-11-21,3,3,2.94,2.96,2.96,1533700
2006-11-22,2.96,2.98,2.94,2.94,2.94,1811200
2006-11-23,2.94,2.96,2.92,2.92,2.92,1723001
2006-11-24,2.94,2.96,2.9,2.92,2.92,923800
2006-11-27,2.92,2.92,2.88,2.9,2.9,918200
2006-11-28,2.9,2.94,2.9,2.9,2.9,1171600
2006-11-29,2.9,2.92,2.9,2.9,2.9,513901
2006-11-30,2.92,3,2.92,2.98,2.98,1801100
2006-12-01,2.98,2.98,2.94,2.96,2.96,972800
2006-12-04,2.96,3.04,2.96,3,3,3841500
2006-12-06,3.02,3.04,2.96,2.96,2.96,3575500
2006-12-07,2.98,3,2.96,2.96,2.96,1294300
2006-12-08,2.96,2.98,2.94,2.98,2.98,659400
2006-12-12,2.98,2.98,2.92,2.92,2.92,396900
2006-12-13,2.94,3,2.94,2.94,2.94,2477200
2006-12-14,2.98,2.98,2.84,2.86,2.86,1074201
2006-12-15,2.86,2.86,2.82,2.82,2.82,995100
2006-12-18,2.82,2.86,2.8,2.82,2.82,322400
2006-12-19,2.76,2.76,1.98,2.14,2.14,2705200
2006-12-20,2.5,2.72,2.5,2.72,2.72,4137100
2006-12-21,3.2,3.2,2.72,2.82,2.82,17508400
2006-12-22,2.8,2.86,2.78,2.8,2.8,1887200
2006-12-25,2.8,2.82,2.78,2.78,2.78,910800
2006-12-26,2.78,2.8,2.76,2.8,2.8,737200
2006-12-27,2.84,2.84,2.8,2.8,2.8,656800
2006-12-28,2.84,2.84,2.72,2.78,2.78,1747600
2006-12-29,2.74,2.84,2.74,2.76,2.76,1699801
2007-01-03,2.6,2.7,2.6,2.66,2.66,934800
2007-01-04,2.68,2.7,2.56,2.56,2.56,993200
2007-01-05,2.52,2.54,2.48,2.48,2.48,2781400
2007-01-08,2.48,2.56,2.48,2.52,2.52,803500
2007-01-09,2.54,2.56,2.4,2.44,2.44,1034800
2007-01-10,2.4,2.46,2.4,2.42,2.42,670600
2007-01-11,2.46,2.52,2.46,2.5,2.5,494800
2007-01-12,2.58,2.58,2.5,2.5,2.5,448301
2007-01-15,2.5,2.56,2.48,2.56,2.56,615600
2007-01-16,2.56,2.58,2.5,2.52,2.52,313300
2007-01-17,2.54,2.56,2.52,2.52,2.52,500800
2007-01-18,2.54,2.68,2.54,2.6,2.6,1561800
2007-01-19,2.6,2.66,2.56,2.62,2.62,1301000
2007-01-22,2.62,2.62,2.58,2.58,2.58,120800
2007-01-23,2.6,2.62,2.54,2.56,2.56,172100
2007-01-24,2.56,2.6,2.54,2.54,2.54,270300
2007-01-25,2.56,2.58,2.52,2.58,2.58,530000
2007-01-26,2.52,2.6,2.52,2.6,2.6,190001
2007-01-29,2.6,2.64,2.56,2.56,2.56,360800
2007-01-30,2.54,2.58,2.54,2.56,2.56,128500
2007-01-31,2.56,2.58,2.56,2.56,2.56,237001
2007-02-01,2.58,2.6,2.56,2.6,2.6,127100
2007-02-02,2.62,2.7,2.62,2.7,2.7,1729400
2007-02-05,2.72,2.72,2.64,2.66,2.66,527100
2007-02-06,2.68,2.8,2.66,2.74,2.74,2768800
2007-02-07,2.72,2.74,2.7,2.7,2.7,663900
2007-02-08,2.74,2.76,2.7,2.7,2.7,731600
2007-02-09,2.7,2.74,2.7,2.7,2.7,1010100
2007-02-12,2.74,2.74,2.7,2.72,2.72,1012100
2007-02-13,2.8,2.86,2.78,2.78,2.78,4659700
2007-02-14,2.78,2.82,2.76,2.8,2.8,878200
2007-02-15,2.78,2.8,2.72,2.72,2.72,974800
2007-02-16,2.74,2.82,2.72,2.78,2.78,1447301
2007-02-19,2.78,2.8,2.76,2.76,2.76,287600
2007-02-20,2.8,2.8,2.78,2.8,2.8,431600
2007-02-21,2.82,2.9,2.82,2.88,2.88,3960900
2007-02-22,2.92,3,2.9,2.96,2.96,8320100
2007-02-23,3,3,2.86,2.88,2.88,3090900
2007-02-26,2.9,2.94,2.84,2.88,2.88,1597300
2007-02-27,2.92,2.92,2.8,2.82,2.82,3445800
2007-02-28,2.7,2.88,2.7,2.82,2.82,4307700
2007-03-01,2.84,2.9,2.84,2.84,2.84,126401296
2007-03-02,2.86,2.9,2.82,2.82,2.82,3763000
2007-03-06,2.84,2.84,2.78,2.8,2.8,1487300
2007-03-07,2.8,2.86,2.8,2.84,2.84,1116400
2007-03-08,2.86,2.92,2.86,2.88,2.88,3213900
2007-03-09,2.92,2.92,2.88,2.9,2.9,2098400
2007-03-12,2.9,2.9,2.86,2.86,2.86,751800
2007-03-13,2.86,2.88,2.84,2.84,2.84,571900
2007-03-14,2.84,2.88,2.84,2.84,2.84,856900
2007-03-15,2.88,2.88,2.86,2.86,2.86,257800
2007-03-16,2.88,2.88,2.86,2.88,2.88,501000
2007-03-19,2.86,2.86,2.84,2.84,2.84,863700
2007-03-20,2.86,2.88,2.84,2.86,2.86,775000
2007-03-21,2.86,2.88,2.8,2.84,2.84,1810400
2007-03-22,2.84,2.86,2.84,2.84,2.84,565200
2007-03-23,2.86,2.88,2.86,2.86,2.86,641400
2007-03-26,2.88,2.88,2.84,2.86,2.86,447300
2007-03-27,2.86,2.86,2.86,2.86,2.86,720400
2007-03-28,2.88,2.9,2.84,2.84,2.84,3532500
2007-03-29,2.86,2.86,2.82,2.84,2.84,2609100
2007-03-30,2.68,2.68,2.66,2.68,2.68,8348900
2007-04-02,2.68,2.68,2.66,2.68,2.68,89400
