Date,Open,High,Low,Close,Adj Close,Volume
2012-03-29,0.54,0.58,0.54,0.58,0.58,209400
2012-03-30,0.56,0.57,0.53,0.53,0.53,95000
2012-04-02,0.54,0.56,0.54,0.56,0.56,240000
2012-04-03,0.61,0.63,0.61,0.63,0.63,24400
2012-04-04,0.59,0.59,0.57,0.57,0.57,75600
2012-04-05,0.56,0.56,0.51,0.51,0.51,84600
2012-04-12,0.54,0.54,0.52,0.52,0.52,34000
2012-04-17,0.52,0.52,0.51,0.51,0.51,45000
2012-04-18,0.49,0.49,0.49,0.49,0.49,4000
2012-04-19,0.55,0.6,0.55,0.58,0.58,131100
2012-04-20,0.57,0.57,0.55,0.56,0.56,120900
2012-04-23,0.56,0.57,0.52,0.52,0.52,146700
2012-04-24,0.53,0.55,0.53,0.54,0.54,49700
2012-04-25,0.54,0.54,0.51,0.52,0.52,100000
2012-04-26,0.53,0.53,0.53,0.53,0.53,29700
2012-04-30,0.63,0.64,0.63,0.64,0.64,208700
2012-05-02,0.64,0.64,0.64,0.64,0.64,62000
2012-05-03,0.63,0.63,0.6,0.6,0.6,132600
2012-05-04,0.63,0.63,0.58,0.6,0.6,52000
2012-05-08,0.57,0.58,0.56,0.57,0.57,164300
2012-05-09,0.55,0.55,0.53,0.53,0.53,11000
2012-05-10,0.5,0.52,0.47,0.49,0.49,325000
2012-05-11,0.48,0.48,0.47,0.47,0.47,40000
2012-05-14,0.5,0.5,0.49,0.49,0.49,12000
2012-05-15,0.46,0.51,0.46,0.49,0.49,613600
2012-05-16,0.45,0.46,0.41,0.44,0.44,119000
2012-05-17,0.47,0.47,0.47,0.47,0.47,64300
2012-05-18,0.44,0.44,0.44,0.44,0.44,3000
2012-05-21,0.41,0.42,0.4,0.4,0.4,51500
2012-05-22,0.36,0.36,0.35,0.35,0.35,77500
2012-05-23,0.33,0.35,0.33,0.35,0.35,119000
2012-05-28,0.39,0.39,0.39,0.39,0.39,74400
2012-05-29,0.41,0.45,0.41,0.45,0.45,68400
2012-05-30,0.41,0.42,0.41,0.42,0.42,156800
2012-05-31,0.44,0.44,0.44,0.44,0.44,116000
2012-06-01,0.44,0.44,0.43,0.43,0.43,64000
2012-06-06,0.34,0.37,0.34,0.37,0.37,317500
2012-06-07,0.38,0.39,0.38,0.39,0.39,20100
2012-06-08,0.38,0.39,0.38,0.39,0.39,58200
2012-06-11,0.43,0.43,0.43,0.43,0.43,92900
2012-06-12,0.46,0.46,0.46,0.46,0.46,2000
2012-06-13,0.5,0.51,0.5,0.5,0.5,164900
2012-06-14,0.48,0.48,0.47,0.47,0.47,167000
2012-06-15,0.5,0.5,0.5,0.5,0.5,224000
2012-06-27,0.57,0.57,0.55,0.55,0.55,1062900
2012-06-28,0.53,0.54,0.53,0.54,0.54,58500
2012-06-29,0.56,0.56,0.56,0.56,0.56,86800
2012-07-03,0.57,0.57,0.57,0.57,0.57,50000
2012-07-04,0.55,0.55,0.54,0.54,0.54,1050000
2012-07-05,0.53,0.54,0.53,0.54,0.54,245700
2012-07-06,0.53,0.53,0.5,0.5,0.5,639100
2012-07-11,0.52,0.52,0.52,0.52,0.52,100
2012-07-12,0.49,0.49,0.49,0.49,0.49,50000
2012-07-13,0.51,0.54,0.51,0.54,0.54,320200
2012-07-16,0.53,0.57,0.53,0.56,0.56,404100
2012-07-17,0.56,0.56,0.54,0.54,0.54,56000
2012-07-18,0.54,0.55,0.54,0.54,0.54,120000
2012-07-19,0.58,0.58,0.48,0.48,0.48,851000
2012-07-20,0.49,0.49,0.47,0.47,0.47,315000
2012-07-23,0.45,0.45,0.45,0.45,0.45,30000
2012-07-24,0.47,0.47,0.47,0.47,0.47,30000
2012-07-25,0.52,0.52,0.52,0.52,0.52,110000
2012-07-26,0.53,0.53,0.53,0.53,0.53,100000
2012-07-27,0.53,0.54,0.52,0.54,0.54,800000
2012-07-30,0.57,0.6,0.57,0.6,0.6,200000
2012-08-06,0.66,0.66,0.64,0.65,0.65,11600
2012-08-07,0.62,0.63,0.62,0.63,0.63,156000
2012-08-08,0.62,0.62,0.62,0.62,0.62,1100
2012-08-10,0.66,0.66,0.64,0.64,0.64,200
2012-08-14,0.66,0.69,0.66,0.69,0.69,50500
2012-08-16,0.67,0.67,0.65,0.65,0.65,54100
2012-08-17,0.6,0.6,0.59,0.59,0.59,203200
2012-08-20,0.58,0.58,0.58,0.58,0.58,2000
2012-08-21,0.54,0.54,0.54,0.54,0.54,3200
2012-08-31,0.46,0.52,0.46,0.52,0.52,393700
2012-09-03,0.52,0.52,0.51,0.51,0.51,169500
2012-09-04,0.57,0.57,0.57,0.57,0.57,4500
2012-09-06,0.63,0.68,0.63,0.67,0.67,625200
2012-09-07,0.68,0.68,0.68,0.68,0.68,4500
2012-09-10,0.64,0.64,0.64,0.64,0.64,10000
