Date,Open,High,Low,Close,Adj Close,Volume
2018-04-12,0.15,0.16,0.13,0.14,0.14,1547200
2018-04-17,0.15,0.15,0.13,0.13,0.13,4142600
2018-04-18,0.14,0.14,0.13,0.13,0.13,1084500
2018-04-19,0.14,0.14,0.12,0.12,0.12,7478000
2018-04-20,0.13,0.13,0.11,0.12,0.12,10700200
2018-04-23,0.11,0.12,0.11,0.11,0.11,14311100
2018-04-24,0.1,0.1,0.1,0.1,0.1,10000
2018-04-25,0.09,0.09,0.08,0.08,0.08,2503200
2018-04-26,0.09,0.09,0.09,0.09,0.09,2109100
2018-04-27,0.09,0.09,0.09,0.09,0.09,400100
2018-05-03,0.09,0.09,0.08,0.08,0.08,3418700
2018-05-04,0.08,0.08,0.07,0.07,0.07,1713000
2018-05-07,0.07,0.07,0.07,0.07,0.07,4000
2018-05-08,0.08,0.08,0.08,0.08,0.08,2221400
2018-05-10,0.07,0.07,0.07,0.07,0.07,1300000
2018-05-11,0.08,0.08,0.08,0.08,0.08,400000
2018-05-14,0.08,0.08,0.08,0.08,0.08,1157200
2018-05-15,0.08,0.08,0.08,0.08,0.08,137500
2018-05-16,0.07,0.07,0.07,0.07,0.07,767200
2018-05-17,0.06,0.06,0.06,0.06,0.06,1107200
2018-05-18,0.06,0.06,0.06,0.06,0.06,6000
2018-05-21,0.06,0.07,0.06,0.06,0.06,1200200
2018-05-22,0.07,0.07,0.07,0.07,0.07,1200200
2018-05-23,0.07,0.07,0.06,0.07,0.07,2121600
2018-05-24,0.06,0.06,0.06,0.06,0.06,2400000
2018-05-25,0.06,0.06,0.06,0.06,0.06,2800000
2018-05-28,0.06,0.07,0.06,0.06,0.06,1350100
2018-05-30,0.06,0.06,0.06,0.06,0.06,2566800
2018-05-31,0.05,0.05,0.05,0.05,0.05,800000
2018-06-01,0.06,0.06,0.06,0.06,0.06,770000
2018-06-05,0.06,0.09,0.06,0.09,0.09,1456800
2018-06-06,0.09,0.1,0.09,0.09,0.09,481600
2018-06-07,0.09,0.09,0.08,0.08,0.08,955100
2018-06-08,0.07,0.07,0.06,0.06,0.06,955100
2018-06-12,0.07,0.08,0.07,0.08,0.08,231000
2018-06-15,0.05,0.07,0.05,0.07,0.07,7000
2018-06-19,0.06,0.06,0.04,0.04,0.04,1004600
2018-06-27,0.03,0.03,0.03,0.03,0.03,13600
2018-07-04,0.03,0.03,0.03,0.03,0.03,10000
2018-07-19,0.03,0.03,0.03,0.03,0.03,100
2018-07-23,0.05,0.06,0.05,0.06,0.06,1000000
2018-07-24,0.05,0.05,0.04,0.05,0.05,2009100
2018-07-25,0.05,0.05,0.05,0.05,0.05,2005100
2018-07-31,0.06,0.06,0.06,0.06,0.06,250100
2018-08-02,0.04,0.05,0.04,0.05,0.05,2770100
2018-08-03,0.04,0.05,0.04,0.05,0.05,2270000
2018-08-08,0.04,0.04,0.04,0.04,0.04,2005000
2018-08-10,0.05,0.05,0.05,0.05,0.05,19000
2018-08-14,0.03,0.04,0.03,0.04,0.04,2000100
2018-08-16,0.02,0.02,0.02,0.02,0.02,2000100
2018-09-06,0.01,0.01,0.01,0.01,0.01,14000
