Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,225,226,225,225.5,225.5,5
2015-02-04,226.5,226.5,226.5,226.5,226.5,1
2015-02-11,224,224,224,224,224,4
2015-02-13,225,225.4,225,225.4,225.4,2
2015-02-17,223.5,223.5,221,221,221,2
2015-02-18,221.97,221.98,221.97,221.98,221.98,4
2015-02-20,222,222,222,222,222,2
2015-02-23,215.5,215.5,215.5,215.5,215.5,21
2015-02-24,221,221,221,221,221,150
2015-02-26,215,215,215,215,215,1
2015-02-27,216.3,216.5,216,216.5,216.5,4
2015-03-03,221.85,221.85,221.85,221.85,221.85,551
2015-03-05,224.99,224.99,224.99,224.99,224.99,501
2015-03-06,224.45,226,224.45,225.98,225.98,33
2015-03-09,225.97,225.99,224.5,224.5,224.5,24
2015-03-10,224.95,224.95,222.01,222.01,222.01,2
2015-03-11,222,225.5,222,225.5,225.5,25
2015-03-12,221.01,221.01,221.01,221.01,221.01,1
2015-03-13,224.99,225,222,223,223,26
2015-03-16,221,221,221,221,221,31
2015-03-17,220.75,221,220.75,221,221,3
2015-03-18,222,224,222,224,224,107
2015-03-19,225.01,225.01,225,225,225,124
2015-03-20,224,224.5,222.08,224.5,224.5,124
2015-03-23,227,227,227,227,227,40
2015-03-24,220,223.5,220,223.5,223.5,22
2015-03-26,221,221,220.5,220.5,220.5,2
2015-03-27,222.75,222.75,222.75,222.75,222.75,141
2015-03-30,225.25,225.8,225.25,225.8,225.8,22
2015-03-31,225.99,225.99,225.5,225.5,225.5,73
2015-04-01,225.78,225.99,225.78,225.99,225.99,2
2015-04-02,225.99,227.5,225.99,226.8,226.8,35
2015-04-03,227.49,227.6,226.7,227.6,227.6,30
2015-04-07,228,229.45,228,229.45,229.45,98
2015-04-08,229,229,228,228,228,35
2015-04-09,228.01,230,228,230,230,12
2015-04-10,229.5,231.4,229.5,231.4,231.4,5
2015-04-16,228.5,233,228.4,233,233,6
2015-04-17,230.51,232.51,230.51,232.51,232.51,3
2015-04-20,231.5,231.5,228.5,229,229,7
2015-04-21,230,230,230,230,230,601
2015-04-22,227.01,227.5,225,225,225,209
2015-04-23,222.5,223.5,219.5,219.5,219.5,221
2015-04-24,222,222,222,222,222,100
2015-04-27,219.5,219.5,216.2,217,217,817
2015-04-28,215,215,210,210,210,74
2015-04-29,211,212,208.53,210.5,210.5,61
2015-04-30,210.5,210.5,210.5,210.5,210.5,64
2015-05-06,206.01,206.01,201.78,203,203,197
2015-05-07,204,204.75,201.6,202.7,202.7,518
2015-05-08,203,207.5,203,207.5,207.5,147
2015-05-11,212,212,209.82,210.5,210.5,75
2015-05-12,209,210,205.62,206,206,51
2015-05-13,208.5,208.5,207,207.12,207.12,21
2015-05-14,207,208,207,208,208,25
2015-05-15,206.45,209.5,206.45,208.45,208.45,5
2015-05-18,206.5,207.5,206.5,207.5,207.5,23
2015-05-19,207.5,207.5,206,207.45,207.45,507
2015-05-20,207.02,207.02,201,202,202,602
2015-05-21,202,202,199,200,200,67
2015-05-22,201,202,201,201,201,75
2015-05-25,199,200.9,199,199,199,36
2015-05-26,197.02,198.5,197.01,198.5,198.5,32
2015-05-27,197.01,198.09,197,198,198,56
2015-05-28,197.59,197.59,195,196,196,14
2015-05-29,196,196.5,195,196.5,196.5,7
2015-06-02,193,193,191.5,192.5,192.5,62
2015-06-03,194,195,194,195,195,11
2015-06-04,195.19,199,194,199,199,33
2015-06-05,200,202,200,202,202,284
2015-06-09,200,201,200,200.5,200.5,30
2015-06-10,201.55,203,201.4,202,202,12
2015-06-11,203,204,201.73,204,204,30
2015-06-12,203,203,203,203,203,1
2015-06-15,200.1,200.2,200.1,200.2,200.2,52
2015-06-16,200,200.5,199.5,199.5,199.5,74
2015-06-17,198.34,198.34,198.34,198.34,198.34,21
2015-06-18,199.99,199.99,199.99,199.99,199.99,1
2015-06-19,198.5,198.5,197.04,197.04,197.04,3
2015-06-22,198.99,199,198.99,199,199,22
2015-06-23,201,201,198.5,198.5,198.5,7
2015-06-24,199.9,199.9,199.5,199.5,199.5,2
2015-06-26,200,202,200,202,202,136
2015-06-29,198,198,196,196,196,34
