Date,Open,High,Low,Close,Adj Close,Volume
2018-11-22,0.33,0.35,0.3,0.3,0.3,524300
2018-11-23,0.32,0.35,0.3,0.35,0.35,15544700
2018-11-26,0.34,0.35,0.32,0.34,0.34,7998300
2018-11-27,0.35,0.36,0.34,0.34,0.34,13496900
2018-11-28,0.34,0.38,0.34,0.37,0.37,13242800
2018-11-29,0.37,0.37,0.31,0.31,0.31,8339000
2018-11-30,0.32,0.32,0.3,0.31,0.31,16253700
2018-12-03,0.34,0.36,0.33,0.34,0.34,26498000
2018-12-04,0.35,0.39,0.35,0.37,0.37,18866200
2018-12-06,0.35,0.36,0.33,0.35,0.35,19662100
2018-12-07,0.36,0.42,0.35,0.39,0.39,14990900
2018-12-11,0.37,0.38,0.35,0.35,0.35,6604900
2018-12-12,0.37,0.39,0.36,0.36,0.36,5852800
2018-12-13,0.37,0.37,0.34,0.35,0.35,8529100
2018-12-14,0.34,0.35,0.33,0.33,0.33,5483400
2018-12-17,0.33,0.33,0.29,0.31,0.31,5522400
2018-12-18,0.3,0.3,0.28,0.28,0.28,3189800
2018-12-19,0.29,0.32,0.29,0.32,0.32,10173400
2018-12-20,0.31,0.31,0.3,0.3,0.3,4984400
2018-12-21,0.3,0.3,0.29,0.29,0.29,1075400
2018-12-24,0.28,0.28,0.28,0.28,0.28,916600
2018-12-25,0.25,0.25,0.21,0.21,0.21,553900
2018-12-26,0.22,0.25,0.22,0.24,0.24,10302200
2018-12-27,0.25,0.26,0.22,0.22,0.22,2074700
2018-12-28,0.22,0.23,0.22,0.23,0.23,4002000
2019-01-02,0.23,0.23,0.22,0.22,0.22,1895400
2019-01-03,0.22,0.22,0.21,0.21,0.21,22000
2019-01-04,0.21,0.21,0.19,0.19,0.19,3120700
2019-01-07,0.21,0.24,0.21,0.23,0.23,11344600
2019-01-08,0.23,0.24,0.23,0.23,0.23,803500
2019-01-09,0.23,0.23,0.23,0.23,0.23,14008200
2019-01-10,0.00,0.00,0.00,0.00,0.00,0
