Date,Open,High,Low,Close,Adj Close,Volume
2017-10-06,1.53,1.53,1.49,1.49,1.49,42000
2017-10-09,1.34,1.39,1.34,1.34,1.34,210200
2017-10-10,1.33,1.39,1.33,1.37,1.37,359200
2017-10-11,1.43,1.45,1.41,1.45,1.45,54000
2017-10-12,1.4,1.4,1.36,1.36,1.36,167000
2017-10-16,1.29,1.29,1.24,1.24,1.24,256800
2017-10-17,1.16,1.16,1.11,1.12,1.12,472900
2017-10-18,1.1,1.2,1.1,1.13,1.13,627000
2017-10-19,1.14,1.18,1.11,1.12,1.12,554600
2017-10-20,1.14,1.14,1.08,1.09,1.09,426100
2017-10-24,1.09,1.14,1.09,1.14,1.14,270700
2017-10-25,1.15,1.17,1.15,1.15,1.15,188600
2017-10-27,1.2,1.25,1.2,1.24,1.24,899000
2017-10-30,1.22,1.33,1.22,1.33,1.33,567200
2017-10-31,1.28,1.3,1.28,1.3,1.3,126800
2017-11-01,1.28,1.28,1.22,1.22,1.22,290800
2017-11-02,1.24,1.24,1.18,1.21,1.21,291800
2017-11-03,1.16,1.17,1.13,1.17,1.17,354400
2017-11-06,1.18,1.22,1.18,1.22,1.22,207400
2017-11-07,1.22,1.24,1.21,1.24,1.24,203800
2017-11-08,1.03,1.03,0.87,0.88,0.88,500000
2017-11-09,0.88,0.88,0.72,0.72,0.72,466600
2017-11-10,0.72,0.72,0.69,0.69,0.69,424500
2017-11-13,0.68,0.73,0.66,0.71,0.71,495000
2017-11-14,0.71,0.71,0.69,0.7,0.7,220100
2017-11-15,0.65,0.67,0.64,0.65,0.65,169900
2017-11-16,0.65,0.67,0.6,0.61,0.61,339300
2017-11-17,0.63,0.71,0.62,0.71,0.71,597800
2017-11-20,0.7,0.7,0.66,0.66,0.66,169600
2017-11-21,0.66,0.68,0.64,0.67,0.67,230300
2017-11-22,0.66,0.69,0.66,0.67,0.67,336000
2017-11-23,0.66,0.68,0.66,0.66,0.66,250000
2017-11-24,0.66,0.66,0.64,0.64,0.64,127800
2017-11-27,0.63,0.63,0.59,0.59,0.59,253400
2017-11-28,0.6,0.62,0.6,0.61,0.61,128000
2017-11-29,0.62,0.64,0.6,0.6,0.6,334400
2017-11-30,0.59,0.59,0.58,0.58,0.58,167800
2017-12-04,0.57,0.58,0.57,0.58,0.58,126200
2017-12-06,0.63,0.63,0.58,0.58,0.58,206800
2017-12-07,0.59,0.63,0.59,0.63,0.63,338600
2017-12-08,0.67,0.68,0.67,0.67,0.67,337800
2017-12-12,0.66,0.66,0.65,0.66,0.66,192000
2017-12-13,0.67,0.72,0.67,0.71,0.71,508300
2017-12-14,0.66,0.66,0.6,0.6,0.6,322000
2017-12-15,0.62,0.62,0.59,0.59,0.59,83500
2017-12-18,0.58,0.61,0.57,0.6,0.6,364400
2017-12-19,0.62,0.62,0.59,0.59,0.59,172300
2017-12-20,0.59,0.61,0.59,0.61,0.61,675600
2017-12-21,0.61,0.61,0.61,0.61,0.61,127200
2017-12-22,0.61,0.61,0.61,0.61,0.61,42200
2017-12-25,0.59,0.59,0.56,0.57,0.57,210000
2017-12-26,0.58,0.58,0.58,0.58,0.58,62200
2017-12-27,0.56,0.56,0.55,0.55,0.55,103000
2017-12-28,0.54,0.54,0.47,0.47,0.47,168200
2017-12-29,0.49,0.5,0.49,0.49,0.49,252000
2018-01-03,0.49,0.52,0.48,0.52,0.52,171000
2018-01-04,0.52,0.52,0.51,0.51,0.51,172000
2018-01-05,0.51,0.51,0.45,0.45,0.45,126800
2018-01-08,0.44,0.45,0.41,0.42,0.42,128600
2018-01-09,0.41,0.42,0.41,0.42,0.42,208800
2018-01-10,0.41,0.42,0.41,0.42,0.42,170600
2018-01-11,0.38,0.4,0.38,0.4,0.4,170200
2018-01-12,0.4,0.42,0.4,0.42,0.42,41400
2018-01-15,0.39,0.39,0.39,0.39,0.39,41400
2018-01-16,0.4,0.4,0.4,0.4,0.4,42400
2018-01-17,0.4,0.44,0.4,0.43,0.43,188300
2018-01-18,0.45,0.45,0.44,0.44,0.44,84000
2018-01-19,0.44,0.44,0.43,0.43,0.43,87200
2018-01-23,0.36,0.36,0.36,0.36,0.36,168800
2018-01-24,0.36,0.37,0.36,0.36,0.36,213600
2018-01-25,0.32,0.32,0.31,0.31,0.31,83200
2018-01-26,0.31,0.31,0.27,0.27,0.27,253400
