Date,Open,High,Low,Close,Adj Close,Volume
2015-12-25,0.5,0.5,0.46,0.48,0.48,600000
2015-12-29,0.45,0.45,0.45,0.45,0.45,200000
2016-01-14,0.54,0.54,0.54,0.54,0.54,100000
2016-01-18,0.54,0.54,0.54,0.54,0.54,500
2016-01-19,0.57,0.57,0.54,0.55,0.55,156300
2016-01-20,0.56,0.56,0.54,0.54,0.54,133800
2016-01-21,0.52,0.54,0.52,0.53,0.53,25000
2016-01-22,0.54,0.56,0.54,0.56,0.56,19000
2016-01-26,0.55,0.55,0.55,0.55,0.55,24000
2016-01-27,0.55,0.55,0.55,0.55,0.55,40000
2016-01-28,0.55,0.55,0.55,0.55,0.55,600
2016-01-29,0.61,0.61,0.61,0.61,0.61,290600
2016-02-01,0.61,0.65,0.61,0.65,0.65,291000
2016-02-02,0.63,0.63,0.63,0.63,0.63,1000
2016-02-03,0.63,0.63,0.62,0.62,0.62,642200
2016-02-04,0.62,0.62,0.62,0.62,0.62,452300
2016-02-05,0.62,0.64,0.62,0.64,0.64,457100
2016-02-08,0.66,0.68,0.66,0.68,0.68,218600
2016-02-09,0.67,0.68,0.67,0.68,0.68,309800
2016-02-11,0.69,0.69,0.68,0.68,0.68,34000
2016-02-12,0.62,0.62,0.57,0.58,0.58,682400
2016-02-15,0.63,0.63,0.62,0.62,0.62,231200
2016-02-16,0.69,0.69,0.68,0.68,0.68,278000
2016-02-17,0.69,0.69,0.63,0.63,0.63,426800
2016-02-18,0.76,0.76,0.74,0.76,0.76,591300
2016-02-19,0.73,0.73,0.71,0.71,0.71,21500
2016-02-23,0.77,0.79,0.77,0.78,0.78,597400
2016-02-24,0.78,0.78,0.73,0.78,0.78,591400
2016-02-25,0.83,0.86,0.83,0.84,0.84,38800
2016-02-26,0.85,0.85,0.81,0.81,0.81,43800
2016-02-29,0.82,0.82,0.82,0.82,0.82,10000
2016-03-01,0.82,0.82,0.75,0.75,0.75,1062700
2016-03-02,0.76,0.76,0.72,0.72,0.72,222800
2016-03-03,0.71,0.73,0.71,0.71,0.71,216200
2016-03-07,0.73,0.75,0.73,0.74,0.74,673700
2016-03-08,0.75,0.75,0.75,0.75,0.75,50000
2016-03-09,0.74,0.74,0.74,0.74,0.74,13000
2016-03-10,0.76,0.77,0.76,0.77,0.77,118000
2016-03-11,0.75,0.82,0.75,0.82,0.82,123000
2016-03-14,0.86,0.86,0.85,0.85,0.85,30000
2016-03-16,0.82,0.83,0.82,0.83,0.83,113000
2016-03-17,0.82,0.83,0.82,0.83,0.83,352000
2016-03-24,0.85,0.85,0.85,0.85,0.85,5000
2016-03-25,0.83,0.83,0.83,0.83,0.83,20000
2016-03-28,0.77,0.78,0.77,0.78,0.78,96000
2016-03-31,0.7,0.7,0.62,0.64,0.64,493700
2016-04-01,0.62,0.65,0.62,0.65,0.65,450400
2016-04-04,0.67,0.7,0.67,0.7,0.7,227800
2016-04-05,0.67,0.67,0.65,0.67,0.67,258500
2016-04-07,0.65,0.65,0.64,0.64,0.64,133200
2016-04-08,0.63,0.63,0.62,0.63,0.63,43400
2016-04-11,0.64,0.69,0.64,0.65,0.65,206000
2016-04-12,0.71,0.71,0.65,0.65,0.65,67200
2016-04-18,0.66,0.66,0.65,0.65,0.65,28500
2016-04-19,0.73,0.78,0.73,0.77,0.77,128900
2016-04-20,0.78,0.78,0.73,0.76,0.76,156200
2016-04-21,0.76,0.77,0.76,0.77,0.77,20000
2016-04-22,0.75,0.76,0.74,0.75,0.75,446300
2016-04-25,0.73,0.73,0.7,0.7,0.7,42600
2016-04-26,0.71,0.71,0.67,0.67,0.67,154600
2016-04-27,0.67,0.67,0.61,0.61,0.61,403000
2016-04-28,0.64,0.68,0.64,0.68,0.68,657000
2016-04-29,0.71,0.71,0.71,0.71,0.71,10000
2016-05-03,0.72,0.74,0.72,0.74,0.74,93500
