Date,Open,High,Low,Close,Adj Close,Volume
2013-11-20,41.87,41.87,41.87,41.87,41.87,5
2013-11-21,40.41,40.41,40.41,40.41,40.41,5
2013-11-25,40.53,40.53,40.53,40.53,40.53,10
2013-12-17,40.5,40.5,40.5,40.5,40.5,10
2014-01-02,36.47,36.47,36.47,36.47,36.47,200
2014-01-31,36.87,36.87,36.87,36.87,36.87,10
2014-04-11,44.64,44.79,44.64,44.79,44.79,300
2014-05-22,40.58,40.58,40.58,40.58,40.58,25
2014-05-29,43.23,43.23,43.23,43.23,43.23,200
2014-06-02,43.99,43.99,43.99,43.99,43.99,25
2014-06-06,44.58,44.58,44.58,44.58,44.58,25
2014-06-10,47.07,47.07,47.07,47.07,47.07,25
2014-06-12,46.5,46.5,46.5,46.5,46.5,200
2014-06-16,46.87,46.87,46.69,46.69,46.69,15
2014-06-26,44.9,44.9,44.9,44.9,44.9,75
2014-06-27,44.91,44.91,44.91,44.91,44.91,275
