Date,Open,High,Low,Close,Adj Close,Volume
2016-02-12,0.47,0.47,0.46,0.46,0.46,422000
2016-02-15,0.47,0.48,0.45,0.48,0.48,4202600
2016-02-16,0.48,0.48,0.46,0.46,0.46,1555200
2016-02-17,0.45,0.45,0.44,0.45,0.45,5414300
2016-02-18,0.46,0.48,0.46,0.46,0.46,3131600
2016-02-19,0.45,0.48,0.45,0.48,0.48,9768400
2016-02-23,0.48,0.5,0.48,0.49,0.49,6639900
2016-02-24,0.48,0.51,0.48,0.51,0.51,6276400
2016-02-25,0.51,0.51,0.5,0.5,0.5,3019400
2016-02-26,0.52,0.52,0.51,0.51,0.51,10329400
2016-02-29,0.51,0.51,0.49,0.49,0.49,1818000
2016-03-01,0.48,0.49,0.48,0.49,0.49,3150800
2016-03-02,0.51,0.54,0.51,0.53,0.53,6018900
2016-03-03,0.53,0.54,0.52,0.52,0.52,5769000
2016-03-04,0.53,0.54,0.53,0.53,0.53,6536900
2016-03-07,0.54,0.56,0.54,0.54,0.54,12469200
2016-03-08,0.53,0.54,0.51,0.52,0.52,3799300
2016-03-09,0.52,0.53,0.5,0.53,0.53,6264200
2016-03-10,0.54,0.54,0.52,0.53,0.53,2204600
2016-03-11,0.53,0.54,0.53,0.54,0.54,4944400
2016-03-14,0.55,0.55,0.52,0.53,0.53,5132200
2016-03-15,0.53,0.54,0.53,0.53,0.53,2876700
2016-03-16,0.54,0.54,0.5,0.5,0.5,5267200
2016-03-17,0.51,0.52,0.51,0.51,0.51,2211700
2016-03-18,0.52,0.52,0.51,0.52,0.52,1081100
2016-03-21,0.51,0.52,0.51,0.52,0.52,5732800
2016-03-22,0.53,0.54,0.52,0.54,0.54,6081500
2016-03-23,0.54,0.58,0.54,0.58,0.58,9500200
2016-03-24,0.56,0.56,0.54,0.55,0.55,15423500
2016-03-25,0.54,0.55,0.53,0.53,0.53,2292300
2016-03-28,0.52,0.52,0.51,0.51,0.51,1186900
2016-03-29,0.51,0.52,0.5,0.51,0.51,2996800
2016-03-30,0.52,0.54,0.52,0.53,0.53,5579000
2016-03-31,0.53,0.54,0.52,0.52,0.52,2877800
2016-04-01,0.52,0.52,0.51,0.51,0.51,669800
2016-04-04,0.51,0.51,0.51,0.51,0.51,315000
2016-04-05,0.49,0.49,0.46,0.46,0.46,8250700
2016-04-07,0.46,0.46,0.4,0.4,0.4,1829600
2016-04-08,0.39,0.43,0.39,0.43,0.43,13471000
2016-04-11,0.42,0.42,0.39,0.4,0.4,4846800
2016-04-12,0.4,0.41,0.4,0.41,0.41,3952400
2016-04-18,0.41,0.42,0.39,0.41,0.41,7383700
2016-04-19,0.42,0.44,0.42,0.43,0.43,7791400
2016-04-20,0.43,0.43,0.42,0.43,0.43,2444900
2016-04-21,0.43,0.44,0.43,0.43,0.43,4687700
2016-04-22,0.41,0.41,0.39,0.4,0.4,2948000
2016-04-25,0.4,0.4,0.39,0.4,0.4,218100
2016-04-26,0.39,0.4,0.38,0.38,0.38,4215800
2016-04-27,0.38,0.38,0.38,0.38,0.38,755200
2016-04-28,0.38,0.38,0.38,0.38,0.38,3420200
2016-04-29,0.38,0.39,0.37,0.39,0.39,3164200
2016-05-03,0.39,0.41,0.39,0.4,0.4,3834000
2016-05-04,0.38,0.39,0.37,0.38,0.38,799100
2016-05-09,0.38,0.38,0.37,0.38,0.38,3095500
2016-05-10,0.38,0.39,0.38,0.38,0.38,667100
2016-05-11,0.38,0.38,0.35,0.35,0.35,4557100
2016-05-12,0.35,0.36,0.35,0.36,0.36,7058000
2016-05-13,0.35,0.35,0.33,0.33,0.33,2619300
2016-05-16,0.34,0.36,0.34,0.35,0.35,8326200
2016-05-17,0.34,0.36,0.34,0.35,0.35,9813500
2016-05-18,0.35,0.35,0.34,0.34,0.34,2174700
2016-05-19,0.34,0.34,0.33,0.33,0.33,1739500
2016-05-23,0.34,0.36,0.34,0.35,0.35,3424300
2016-05-24,0.35,0.35,0.34,0.34,0.34,117500
2016-05-25,0.35,0.37,0.35,0.36,0.36,8362600
2016-05-26,0.37,0.38,0.36,0.36,0.36,2090900
