Date,Open,High,Low,Close,Adj Close,Volume
2011-05-03,19,19,19,19,19,1
2011-06-03,18.82,18.85,18.82,18.85,18.85,2
2011-06-16,17.7,17.7,17.7,17.7,17.7,1
2011-06-30,19.2,19.2,19.2,19.2,19.2,1
2011-07-06,20.5,20.5,20.3,20.35,20.35,3
2011-07-11,20.35,20.35,20.35,20.35,20.35,1
2011-07-12,20.16,20.16,19.8,19.97,19.97,41
2011-07-13,20.35,20.35,20.35,20.35,20.35,1
2011-07-21,20.43,20.43,20.39,20.39,20.39,2
2011-07-25,20.77,20.95,20.77,20.95,20.95,4
2011-07-29,21,21,21,21,21,1
2011-08-03,20.65,20.65,20.61,20.62,20.62,7
2011-08-04,20.62,20.65,20.61,20.62,20.62,7
2011-08-05,19.85,19.92,19.35,19.92,19.92,21
2011-08-09,19.23,19.25,19.23,19.25,19.25,4
2011-08-16,20.63,20.65,20.63,20.65,20.65,11
2011-08-17,20.85,20.9,20.85,20.9,20.9,2
2011-08-18,21.1,21.1,21.1,21.1,21.1,1
2011-08-19,20.51,20.51,20.51,20.51,20.51,1
2011-08-23,20.35,20.35,20.16,20.16,20.16,2
2011-08-24,19.9,19.9,19.9,19.9,19.9,1
2011-08-25,19.51,19.51,18.26,18.3,18.3,21
2011-08-26,18.4,18.85,18.4,18.85,18.85,2
2011-08-29,19.46,19.46,19,19,19,7
2011-08-30,19.27,19.27,19.27,19.27,19.27,1
2011-09-05,19,19,19,19,19,1
2011-09-13,18.4,18.4,18.4,18.4,18.4,1
2011-09-14,18.1,18.1,18.1,18.1,18.1,1
2011-09-15,18.6,18.6,18.6,18.6,18.6,1
2011-09-16,18.9,19,18.85,18.85,18.85,4
2011-09-22,18.1,18.1,18,18,18,3
2011-09-23,17.6,17.6,17.05,17.05,17.05,17
2011-09-26,16.85,16.85,15.3,15.95,15.95,23
2011-09-27,16.6,16.6,16.4,16.6,16.6,33
2011-09-28,16.32,16.64,16.16,16.16,16.16,42
2011-09-29,16.04,16.26,15.95,16.11,16.11,32
2011-09-30,16.13,16.29,15.7,15.75,15.75,49
2011-10-03,15.11,15.2,14.3,14.4,14.4,186
2011-10-04,14.2,14.55,13.25,13.65,13.65,260
2011-10-05,14,14,13.41,13.49,13.49,195
2011-10-06,13.99,14.5,13.8,14.45,14.45,235
2011-10-07,14.75,14.86,14.33,14.36,14.36,130
2011-10-10,14.26,14.68,14,14.68,14.68,220
2011-10-11,15.11,15.84,14.97,15.23,15.23,212
2011-10-12,15.1,16.1,15.05,16,16,278
2011-10-13,16.15,16.15,14.96,14.96,14.96,326
2011-10-14,15,16,14.99,15.75,15.75,440
2011-10-17,16,16.14,15.7,15.88,15.88,236
2011-10-18,15.55,15.55,15.12,15.38,15.38,184
2011-10-19,15.51,15.53,14.42,14.45,14.45,370
2011-10-20,14.2,14.2,13.2,13.7,13.7,584
2011-10-21,13.55,14.03,13.48,13.92,13.92,326
2011-10-25,14,14.6,13.9,14.55,14.55,251
2011-10-26,14.35,14.57,14.18,14.31,14.31,184
2011-10-27,14.59,15.26,14.55,15.21,15.21,263
2011-10-28,15.51,15.84,15.38,15.4,15.4,285
2011-10-31,15.35,15.53,15.17,15.19,15.19,199
2011-11-01,15,15.08,14.34,14.38,14.38,437
2011-11-02,14.19,15.02,14.11,14.85,14.85,435
2011-11-03,14.49,14.66,14.11,14.65,14.65,463
2011-11-04,14.98,14.98,14.5,14.57,14.57,244
2011-11-07,14.59,14.6,14.3,14.34,14.34,344
2011-11-08,14.5,15.08,14.46,15.08,15.08,329
2011-11-09,14.98,14.98,14.5,14.54,14.54,289
2011-11-10,14.2,14.48,14.13,14.48,14.48,418
2011-11-11,14.4,14.4,14.25,14.28,14.28,135
2011-11-14,14.45,14.69,14.45,14.54,14.54,134
2011-11-15,14.55,14.88,14.5,14.54,14.54,158
2011-11-16,14.7,14.92,14.56,14.9,14.9,125
2011-11-17,14.77,14.85,14.56,14.61,14.61,196
2011-11-18,14.42,14.55,14.42,14.5,14.5,85
2011-11-21,14.4,14.46,14.17,14.18,14.18,264
2011-11-22,14.34,14.39,14.12,14.35,14.35,238
2011-11-23,14.22,14.3,14.16,14.3,14.3,220
2011-11-24,14.25,14.34,14.18,14.34,14.34,218
2011-11-25,14.25,14.28,14.16,14.22,14.22,201
2011-11-28,14.41,14.49,14.32,14.48,14.48,162
2011-11-29,14.41,14.75,14.41,14.62,14.62,364
2011-11-30,14.68,14.72,14.57,14.62,14.62,205
2011-12-01,15.15,15.25,15.06,15.14,15.14,381
2011-12-02,15.16,15.5,15.15,15.48,15.48,284
2011-12-06,15.45,15.5,15.33,15.4,15.4,287
2011-12-07,15.5,16.1,15.5,16.1,16.1,395
2011-12-08,15.99,16.11,15.81,15.86,15.86,448
2011-12-09,15.71,15.74,15.43,15.64,15.64,641
2011-12-13,15.49,15.6,15.35,15.5,15.5,401
2011-12-14,15.49,15.5,14.86,14.92,14.92,726
2011-12-15,14.72,15.16,14.63,15.15,15.15,901
2011-12-16,15.17,15.46,15.1,15.45,15.45,668
2011-12-19,15.35,15.49,15.22,15.34,15.34,620
2011-12-20,15.37,15.45,15.3,15.39,15.39,296
2011-12-21,15.56,15.6,15.43,15.47,15.47,528
2011-12-22,15.4,15.45,15.15,15.36,15.36,679
2011-12-23,15.4,15.41,15.26,15.27,15.27,345
2011-12-26,15.31,15.36,15.25,15.3,15.3,398
2011-12-27,15.32,15.32,15.17,15.23,15.23,702
2011-12-28,15.17,15.21,15.06,15.14,15.14,878
2011-12-29,15.08,15.25,15,15.11,15.11,1740
2011-12-30,15.19,15.22,15.15,15.17,15.17,754
2012-01-04,15.31,15.32,15,15.14,15.14,2147
2012-01-05,15.15,15.17,14.57,14.74,14.74,3595
2012-01-06,14.63,14.86,14.59,14.8,14.8,2278
2012-01-09,14.71,14.95,14.66,14.95,14.95,1829
2012-01-10,14.99,15,14.75,14.94,14.94,2029
2012-01-11,14.9,14.91,14.68,14.69,14.69,1753
2012-01-12,14.73,14.85,14.7,14.85,14.85,1556
2012-01-13,14.79,14.81,14.68,14.71,14.71,1496
2012-01-16,14.62,14.72,14.58,14.67,14.67,1094
2012-01-17,14.79,15,14.75,14.97,14.97,1837
2012-01-18,15.01,15.01,14.85,14.88,14.88,1094
2012-01-19,14.99,15.02,14.9,14.94,14.94,1063
2012-01-23,14.91,15.11,14.91,15.08,15.08,960
2012-01-24,15.09,15.38,15.07,15.22,15.22,2078
2012-01-25,15.25,15.3,15.01,15.08,15.08,2093
2012-01-26,15.15,15.27,15.1,15.25,15.25,1494
2012-01-27,15.27,15.3,15.18,15.23,15.23,838
2012-01-30,15.24,15.28,15.16,15.21,15.21,982
2012-01-31,15.27,15.37,15.19,15.36,15.36,1589
2012-02-01,15.35,15.47,15.21,15.45,15.45,1643
2012-02-02,15.46,15.73,15.46,15.59,15.59,3452
2012-02-03,15.63,15.7,15.52,15.7,15.7,1627
2012-02-06,15.76,15.86,15.5,15.56,15.56,3218
2012-02-07,15.56,15.73,15.44,15.73,15.73,2301
2012-02-08,15.79,16.1,15.77,16.06,16.06,4174
2012-02-09,16,16.58,16,16.55,16.55,4126
2012-02-10,16.59,16.68,16.45,16.53,16.53,1555
2012-02-13,16.58,16.95,16.52,16.94,16.94,2428
2012-02-14,16.93,17.07,16.55,16.63,16.63,3744
2012-02-15,16.78,17.2,16.77,17.09,17.09,2747
2012-02-16,17,17.03,16.79,16.87,16.87,2363
2012-02-17,17.03,17.18,16.8,17.16,17.16,3334
2012-02-20,17.32,17.47,17.3,17.4,17.4,2412
2012-02-21,17.34,17.46,17.25,17.44,17.44,2462
2012-02-22,17.42,17.69,17.27,17.32,17.32,3166
2012-02-23,17.27,17.48,17.15,17.26,17.26,4399
2012-02-24,17.3,17.35,17.21,17.34,17.34,949
2012-02-27,17.32,17.33,16.85,16.88,16.88,2199
2012-02-28,16.92,17.19,16.85,17.18,17.18,1731
2012-02-29,17.26,17.47,17.26,17.45,17.45,2673
2012-03-01,17.4,17.48,17.25,17.43,17.43,1757
2012-03-02,17.48,17.49,17.3,17.32,17.32,1428
2012-03-05,17.25,17.36,17.2,17.23,17.23,1666
2012-03-06,17.19,17.36,17.18,17.26,17.26,1764
2012-03-08,17.26,17.5,17.26,17.48,17.48,1847
2012-03-09,17.47,17.9,17.39,17.68,17.68,3845
2012-03-12,17.72,17.83,17.45,17.52,17.52,2721
2012-03-13,17.62,17.68,17.42,17.6,17.6,2101
2012-03-14,17.7,18.04,17.66,17.88,17.88,4075
2012-03-15,17.9,18.3,17.89,18.27,18.27,3356
2012-03-16,18.4,18.51,18.21,18.49,18.49,1947
2012-03-19,18.5,18.69,18.45,18.51,18.51,2780
2012-03-20,18.52,18.68,18.46,18.5,18.5,2117
2012-03-21,18.54,18.78,18.44,18.77,18.77,1640
2012-03-22,18.76,18.85,18.39,18.41,18.41,1822
2012-03-23,18.45,18.47,17.8,18.1,18.1,2364
2012-03-26,18.2,18.2,17.42,17.46,17.46,1328
2012-03-27,17.7,17.84,17.64,17.78,17.78,1224
2012-03-28,17.7,17.71,17.53,17.68,17.68,523
2012-03-29,17.6,17.69,17.52,17.65,17.65,838
