Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,23.11,23.11,23.11,23.11,23.11,1
2015-02-04,22.9,22.9,22.9,22.9,22.9,1005
2015-02-05,23.06,23.24,23.06,23.24,23.24,10
2015-02-09,23,23,23,23,23,3
2015-02-11,23,23.1,23,23.1,23.1,5
2015-02-13,23.74,23.74,23.67,23.67,23.67,6
2015-02-17,23.31,23.32,23.02,23.02,23.02,6
2015-02-18,23.26,23.27,23.26,23.27,23.27,203
2015-02-20,23,23.3,23,23.3,23.3,4
2015-02-23,23.7,23.7,23.7,23.7,23.7,100
2015-02-24,23.11,23.11,23.11,23.11,23.11,101
2015-02-27,22.85,22.89,22.8,22.8,22.8,4
2015-03-03,22.41,22.41,22.41,22.41,22.41,1
2015-03-05,22.48,22.48,22.48,22.48,22.48,6
2015-03-06,23.1,23.35,23.1,23.35,23.35,3
2015-03-09,23.2,23.2,23.13,23.13,23.13,7
2015-03-10,22.93,22.93,22.59,22.59,22.59,116
2015-03-11,22.31,22.31,22.3,22.3,22.3,13
2015-03-12,22.8,22.9,22.8,22.9,22.9,4
2015-03-13,22.82,22.82,22.82,22.82,22.82,3
2015-03-16,22.46,22.46,22.38,22.42,22.42,37
2015-03-17,22.42,22.82,22.42,22.8,22.8,52
2015-03-18,22.34,22.79,22.34,22.6,22.6,17
2015-03-19,22.75,22.75,22.75,22.75,22.75,10
2015-03-20,22.88,22.88,22.88,22.88,22.88,2
2015-03-23,22.5,22.74,22.5,22.74,22.74,11
2015-03-24,22.53,22.67,22.53,22.67,22.67,5
2015-03-25,22.8,22.8,22.74,22.74,22.74,4
2015-03-26,22.65,22.7,22.65,22.66,22.66,34
2015-03-27,22.53,22.75,22.44,22.75,22.75,127
2015-03-30,22.7,22.7,22.7,22.7,22.7,1
2015-03-31,22.7,22.7,22.7,22.7,22.7,4
2015-04-01,22.72,22.8,22.72,22.8,22.8,4
2015-04-02,22.79,23,22.79,23,23,28
2015-04-03,23.02,23.03,23,23,23,9
2015-04-07,23.07,23.12,23.07,23.12,23.12,19
2015-04-08,23.2,23.2,23.16,23.16,23.16,4
2015-04-09,23.23,23.5,23.23,23.47,23.47,11
2015-04-10,23.41,23.43,23.3,23.35,23.35,12
2015-04-16,23.32,23.58,23.32,23.5,23.5,16
2015-04-17,23.46,23.46,23.24,23.24,23.24,15
2015-04-20,23.15,23.15,23.1,23.1,23.1,3
2015-04-21,23,23.35,23,23.34,23.34,38
2015-04-22,23.15,23.15,22.01,22.01,22.01,163
2015-04-23,21.83,22.1,21.1,21.12,21.12,127
2015-04-24,21.39,21.5,21.2,21.41,21.41,36
2015-04-27,21.34,21.59,20.67,20.67,20.67,155
2015-04-28,20.67,20.87,20.42,20.46,20.46,30
2015-04-29,20.59,20.74,20.35,20.49,20.49,330
2015-04-30,20.49,20.49,20.49,20.49,20.49,1
2015-05-06,20.4,20.4,19.96,19.97,19.97,40
2015-05-07,20.2,20.54,20.09,20.19,20.19,65
2015-05-08,20.35,20.67,20.29,20.67,20.67,42
2015-05-11,21.01,21.02,20.3,20.3,20.3,448
2015-05-12,20.3,20.3,20.21,20.22,20.22,5
2015-05-13,20.34,20.35,20.2,20.35,20.35,11
2015-05-14,20.2,20.2,19.96,20.03,20.03,36
2015-05-15,20.11,20.3,20.11,20.3,20.3,9
2015-05-18,20.19,20.38,20.19,20.34,20.34,13
2015-05-19,20.49,20.49,20.45,20.46,20.46,11
2015-05-20,20.44,20.44,19.95,20,20,99
2015-05-21,19.9,19.9,19.15,19.19,19.19,187
2015-05-22,19.1,19.3,19.1,19.15,19.15,27
2015-05-25,19.22,19.22,18.85,18.85,18.85,38
2015-05-26,19,19,18.57,18.58,18.58,30
2015-05-27,18.56,19,18.56,19,19,30
2015-05-28,18.95,18.96,18.71,18.71,18.71,36
2015-05-29,18.71,18.71,18.62,18.7,18.7,12
2015-06-02,18.61,18.61,18.19,18.19,18.19,44
2015-06-03,18.4,18.44,18.27,18.38,18.38,80
2015-06-04,18.33,18.65,18.31,18.65,18.65,46
2015-06-05,18.52,18.82,18.52,18.75,18.75,537
2015-06-08,18.8,18.8,18.7,18.7,18.7,13
2015-06-09,18.55,18.62,18.5,18.5,18.5,112
2015-06-10,18.47,18.65,18.47,18.65,18.65,123
2015-06-11,18.62,18.65,18.62,18.65,18.65,2004
2015-06-12,18.55,18.55,18.45,18.45,18.45,505
2015-06-15,18.47,18.51,18.45,18.51,18.51,4
2015-06-16,18.42,18.5,18.42,18.5,18.5,4
2015-06-17,18.5,18.58,18.5,18.58,18.58,11
2015-06-18,18.59,18.66,18.56,18.59,18.59,302
2015-06-19,18.5,18.51,18.29,18.32,18.32,350
2015-06-22,18.4,18.44,18.32,18.44,18.44,28
2015-06-23,18.43,18.44,18.43,18.44,18.44,5
2015-06-24,18.47,18.5,18.47,18.47,18.47,510
2015-06-25,18.41,18.46,18.16,18.2,18.2,168
2015-06-26,18.3,18.42,18.28,18.28,18.28,38
2015-06-29,18.1,18.3,18.05,18.2,18.2,48
2015-06-30,18.1,18.1,17.58,17.62,17.62,834
2015-07-02,17.7,17.7,15.99,17.1,17.1,1383
2015-07-03,17,17.56,16.97,17.51,17.51,382
2015-07-06,17.4,17.4,17.18,17.2,17.2,300
2015-07-07,17.3,17.4,17.3,17.33,17.33,429
2015-07-08,17.1,17.19,17.06,17.06,17.06,141
2015-07-09,17.07,17.28,17.03,17.23,17.23,78
2015-07-10,17.26,17.64,17.26,17.58,17.58,589
2015-07-13,17.64,18.14,17.55,18.1,18.1,297
2015-07-14,18.13,18.13,17.86,17.88,17.88,97
2015-07-15,17.9,17.94,17.65,17.7,17.7,68
2015-07-16,17.71,17.71,17.35,17.56,17.56,1185
2015-07-17,17.5,17.57,17.48,17.48,17.48,19
2015-07-20,17.58,17.58,17.36,17.36,17.36,53
2015-07-21,17.31,17.31,17.05,17.08,17.08,345
2015-07-22,17.31,17.68,17.31,17.68,17.68,1376
2015-07-23,17.71,17.82,17.46,17.5,17.5,295
2015-07-24,17.49,17.49,17.06,17.28,17.28,438
2015-07-27,17.16,17.25,17.06,17.08,17.08,414
2015-07-28,17.2,17.24,16.98,17.18,17.18,271
2015-07-29,17.25,17.33,17.06,17.32,17.32,97
2015-07-31,17.38,17.7,17.34,17.68,17.68,232
2015-08-03,17.61,17.83,17.61,17.77,17.77,147
